WSPLIT+3TORS [2,24] search RH=26 TH=26 BH=26 Part=1/3
PROGRESS tested=200000 p=2348 rank2=2236 pre3=0 tors=0 hits24=0 hits224=0
PROGRESS tested=400000 p=3028 rank2=2754 pre3=2 tors=2 hits24=0 hits224=0
PROGRESS tested=600000 p=5422 rank2=4696 pre3=2 tors=2 hits24=0 hits224=0
PROGRESS tested=800000 p=8452 rank2=7453 pre3=4 tors=4 hits24=0 hits224=0
PROGRESS tested=1000000 p=8952 rank2=7870 pre3=6 tors=6 hits24=0 hits224=0
PROGRESS tested=1200000 p=10186 rank2=8799 pre3=6 tors=6 hits24=0 hits224=0
PROGRESS tested=1400000 p=12530 rank2=10707 pre3=8 tors=8 hits24=0 hits224=0
PROGRESS tested=1600000 p=15138 rank2=13172 pre3=10 tors=10 hits24=0 hits224=0
PROGRESS tested=1800000 p=15946 rank2=13857 pre3=10 tors=10 hits24=0 hits224=0
PROGRESS tested=2000000 p=19254 rank2=16740 pre3=12 tors=12 hits24=0 hits224=0
PROGRESS tested=2200000 p=22948 rank2=20113 pre3=16 tors=16 hits24=0 hits224=0
PROGRESS tested=2400000 p=23620 rank2=20696 pre3=18 tors=18 hits24=0 hits224=0
PROGRESS tested=2600000 p=24616 rank2=21441 pre3=20 tors=20 hits24=0 hits224=0
PROGRESS tested=2800000 p=27428 rank2=23793 pre3=22 tors=22 hits24=0 hits224=0
PROGRESS tested=3000000 p=30164 rank2=26352 pre3=26 tors=26 hits24=0 hits224=0
PROGRESS tested=3200000 p=30928 rank2=27010 pre3=26 tors=26 hits24=0 hits224=0
PROGRESS tested=3400000 p=33538 rank2=29220 pre3=28 tors=28 hits24=0 hits224=0
PROGRESS tested=3600000 p=37968 rank2=33274 pre3=32 tors=32 hits24=0 hits224=0
PROGRESS tested=3800000 p=39156 rank2=34364 pre3=34 tors=34 hits24=0 hits224=0
PROGRESS tested=4000000 p=40630 rank2=35648 pre3=34 tors=34 hits24=0 hits224=0
PROGRESS tested=4200000 p=44792 rank2=39341 pre3=40 tors=40 hits24=0 hits224=0
PROGRESS tested=4400000 p=48358 rank2=42684 pre3=44 tors=44 hits24=0 hits224=0
PROGRESS tested=4600000 p=49522 rank2=43760 pre3=48 tors=48 hits24=0 hits224=0
PROGRESS tested=4800000 p=52438 rank2=46330 pre3=56 tors=56 hits24=0 hits224=0
PROGRESS tested=5000000 p=56520 rank2=50000 pre3=70 tors=70 hits24=0 hits224=0
