# label | f-coeffs (ascending) | h-coeffs (ascending)   from LMFDB g2c_curves_new, y^2+h*y=f
225.a2 | 0,-15,-5,-5 | 0,1,0,1
1800.d1 | 5,0,-5,0,-1 | 0,1,0,1
2925.c1 | 0,-15,27,1,0,2 | 0,1,0,1
3150.c2 | -17,-4,0,9,7,3,1 | 0,1,1
3150.c5 | 14279,-52837,12098,2869,3202,300 | 1,0,1
5040.m2 | 731,-308,675,-157,248,-26,40 | 1,1
5760.x10 | 432,707,406,-574,-217,84,28 | 1
8820.i2 | 4,2,6,9,7,3,1 | 0,1,1
12600.ba6 | 0,210,464,-431,7,-53,36 | 0,0,1,1
18450.g2 | 331993,567753,63853,-1965,1675,-75 | 0,1,1
21420.n2 | 20900,-41160,5070,-4253,123,-105,-7 | 0,1,1
25200.t3 | 46512,6762,10198,-1523,-318,-195,-55 | 0,0,1
50400.dj1 | 252,0,-24,0,-4 | 0,1,0,1
573300.ir1 | 7524,-1530,-10562,797,3630,140 | 0,1,1
8100.j1 | 9,-27,53,-62,53,-27,9 | 0,1,1
352800.ge1 | 405,0,30,0,5 | 0,1,0,1
69300.bu1 | 9,-33,3,61,3,-33,-11 | 0,1,1
371700.k1 | 9,69,33,-170,-3,105,-35 | 0,1,1
8100.e4 | 4,6,-4,-6,5,-3,1 | 0,1,1
18900.e2 | 1,-13,19,111,19,-13,1 | 0,1,1
225.a6 | 448,0,-7,0,-2,0,7 | 0,0,1
255.a5 | 0,-80,-71,20,-6,10,3 | 0,0,1
315.a1 | 16,-8,9,-4,2,-1 | 0,0,1,1
315.a3 | 0,16,9,8,2,1 | 0,0,1
315.a8 | -448,0,-543,0,-208,0,-25 | 0,0,1
315.a11 | 1763456,1299350,61568,313,115,-3 | 1,0,1
360.a7 | -24,154,-83,67,-16,6 | 1,1
360.a12 | 165,0,547,0,159,0,8 | 0,1,0,1
360.a13 | 426,1399,262,-128,209,-24 | 1,1
