label,cond,abs_disc,eqn
100352.f.401408.1,100352,401408,"[[1,4,1,-9,-6,2],[]]"
100352.g.401408.1,100352,401408,"[[1,0,-1,1,2,1],[]]"
10176.c.651264.1,10176,651264,"[[4,-7,9,-4,1,1],[]]"
10240.d.40960.1,10240,40960,"[[1,2,-2,-5,0,2],[]]"
102400.a.102400.1,102400,102400,"[[-1,-1,-1,-1,1,1],[]]"
102400.b.102400.1,102400,102400,"[[0,-1,0,-1,0,1],[]]"
102400.c.102400.1,102400,102400,"[[-1,-1,1,1,1,1],[]]"
102400.d.102400.1,102400,102400,"[[1,-1,-1,1,-1,1],[]]"
102400.e.102400.1,102400,102400,"[[0,1,0,3,0,1],[]]"
102400.f.102400.1,102400,102400,"[[1,-1,1,-1,-1,1],[]]"
10304.a.659456.1,10304,659456,"[[3,31,105,110,-22,1],[]]"
10304.e.659456.1,10304,659456,"[[12,8,12,4,3],[0,0,1,1]]"
10496.b.671744.1,10496,671744,"[[0,0,1,4,2,-2,1],[1,1]]"
10624.a.679936.1,10624,679936,"[[0,3,10,10,7,1],[1,0,1]]"
106496.a.425984.1,106496,425984,"[[0,2,-1,-1,-1,1],[]]"
106496.b.425984.1,106496,425984,"[[0,2,6,1,-5,2],[]]"
106496.c.425984.1,106496,425984,"[[0,2,1,-1,1,1],[]]"
106496.d.425984.1,106496,425984,"[[0,2,-6,1,5,2],[]]"
106496.e.425984.1,106496,425984,"[[0,-2,-3,-1,1,1],[]]"
106496.f.425984.1,106496,425984,"[[0,-2,3,-1,-1,1],[]]"
10752.e.86016.1,10752,86016,"[[2,-3,6,-5,5,-2,1],[]]"
107520.g.430080.1,107520,430080,"[[0,1,-8,17,-8,1],[]]"
107520.h.430080.1,107520,430080,"[[0,1,8,17,8,1],[]]"
109568.a.876544.1,109568,876544,"[[2,-3,-3,5,-2,2],[]]"
109568.b.876544.1,109568,876544,"[[4,6,4,5,1,1],[]]"
11008.a.176128.1,11008,176128,"[[0,0,-1,-2,2,4],[1]]"
11008.b.176128.1,11008,176128,"[[0,1,0,-4,-2,4],[1]]"
11008.c.704512.1,11008,704512,"[[-1,-4,-4,0,1,2],[]]"
11008.d.704512.1,11008,704512,"[[-1,2,-1,4,0,2],[]]"
11008.d.704512.2,11008,704512,"[[-1,4,-2,-8,7,2],[]]"
110592.a.110592.1,110592,110592,"[[0,1,4,3,-2,1],[]]"
110592.b.110592.1,110592,110592,"[[0,1,-4,3,2,1],[]]"
111104.e.888832.1,111104,888832,"[[1,1,-2,1],[0,1,0,1]]"
11136.a.356352.1,11136,356352,"[[0,1,-2,-1,-2],[0,1,0,1]]"
11264.a.360448.1,11264,360448,"[[4,12,4,-5,-2,1],[]]"
11264.b.720896.1,11264,720896,"[[0,-1,-2,-4,-2,1],[]]"
11264.c.720896.1,11264,720896,"[[0,-1,2,-4,2,1],[]]"
112640.a.225280.1,112640,225280,"[[-1,-3,-1,2,-1,-1,1],[]]"
112640.b.225280.1,112640,225280,"[[-1,-1,1,2,1,-3,1],[]]"
112640.c.225280.1,112640,225280,"[[-1,-3,-3,-2,0,2],[]]"
112640.d.225280.1,112640,225280,"[[1,-3,3,-2,0,2],[]]"
1136.a.290816.1,1136,290816,"[[-24,40,25,-9,-5],[0,0,1,1]]"
114688.a.114688.1,114688,114688,"[[1,1,-1,-3,1,1],[]]"
114688.b.114688.1,114688,114688,"[[0,1,-2,1,-2,1],[]]"
114688.c.114688.1,114688,114688,"[[0,1,2,1,2,1],[]]"
114688.d.114688.1,114688,114688,"[[-1,1,1,-3,-1,1],[]]"
114688.e.114688.1,114688,114688,"[[0,-1,2,-1,-2,1],[]]"
114688.f.114688.1,114688,114688,"[[-1,1,3,-1,-1,1],[]]"
114688.g.114688.1,114688,114688,"[[1,1,-3,-1,1,1],[]]"
114688.h.114688.1,114688,114688,"[[0,-1,2,1,-2,1],[]]"
1152.a.147456.1,1152,147456,"[[-1,0,2,0,-2,0,1],[]]"
11520.d.368640.1,11520,368640,"[[-6,-13,-27,-28,-27,-13,-6],[]]"
11648.d.372736.1,11648,372736,"[[0,-2,4,0,-6,4],[1]]"
116736.c.700416.1,116736,700416,"[[4,2,-4,0,3,1],[]]"
116736.d.700416.1,116736,700416,"[[4,6,0,-4,-1,1],[]]"
