# Unconditional per-R nonexistence certificates for [4,16]/[2,4,16] on M_1(8,4)
# (Claude prod session 2026-07-18, target #3; see notes/claude_prod_03_416.md)
#
# For each listed R = a/b (and automatically its involution mirror 1/R via
# (R,w) -> (1/R,1/w)), BOTH genus-1 membership quartics
#   C_R^+ : y^2 = -(a+b)(b^2 w^2-a^2)(w+1)((a+3b)w-(3a+b))
#   C_R^- : y^2 =  (a+b)(w-1)((a+3b)w+(3a+b))(b^2(a^2+2ab-b^2)w^2+a^2(a^2-2ab-b^2))
# have 2-descent rank upper bound 0 (PARI ellrank r2 = 0, unconditional:
# Selmer - torsion - Cassels pairing), so all rational w on the fiber are
# images of torsion points of the two elliptic models.  Every such torsion
# image w (listed; in the event all 628 non-boundary images were non-degenerate)
# is killed by an audited all-twist kill residue (w:killP, sound: good
# reduction at P + residue proven incompatible with exponent-16 torsion for
# every twist; prime histogram 11:217 13:171 17:151 19:38 23:38 29:9 31:2 37:2).
# Hence NO rational w gives a [4,16] or [2,4,16] Jacobian over these fibers.
# Format: a b  w:status ...
-1 2  1/4:kill13
1 2  1/4:kill11
-2 3  4/9:kill17
-1 3  1/9:kill11
2 3  4/9:kill11
-1 4  1/16:kill11
1 4  1/16:kill13
-4 5  16/25:kill11
-3 5  9/25:kill11
-1 5  1/25:kill11
1 5  1/25:kill17
3 5  9/25:kill13
-1 6  1/36:kill17
-4 7  16/49:kill17
5 7  25/49:kill11
-7 8  49/64:kill11
-1 8  1/6:kill31 1/64:kill17
7 8  49/64:kill13
-7 9  49/81:kill17
-4 9  16/81:kill11
1 9  1/81:kill13
4 9  16/81:kill17
-9 10  81/100:kill13
-7 10  49/100:kill11
-10 11  100/121:kill19
-7 11  49/121:kill13
-4 11  16/121:kill17
4 11  16/121:kill13
10 11  100/121:kill19
-1 12  1/144:kill17
1 12  1/144:kill17
5 12  25/144:kill19
-6 13  36/169:kill11
11 14  121/196:kill13
-2 15  4/225:kill19
2 15  4/225:kill11
7 15  49/225:kill13
-9 16  81/256:kill11
1 16  1/256:kill13
-14 17  196/289:kill13
-6 17  36/289:kill19
-4 17  16/289:kill19
-2 17  4/289:kill11
3 17  9/289:kill11
15 17  225/289:kill11
-8 19  64/361:kill13
-6 19  36/361:kill11
-1 19  1/361:kill17
7 19  49/361:kill17
8 19  64/361:kill13
14 19  196/361:kill13
18 19  324/361:kill13
-13 20  169/400:kill17
-9 20  81/400:kill17
13 21  169/441:kill19
19 21  361/441:kill13
-19 22  361/484:kill17
-9 22  81/484:kill17
-7 22  49/484:kill17
-5 22  25/484:kill13
5 22  25/484:kill19
9 22  81/484:kill17
19 22  361/484:kill17
-12 23  144/529:kill13
-9 23  81/529:kill11
-5 23  25/529:kill11
6 23  36/529:kill11
9 23  81/529:kill13
20 23  400/529:kill17
-19 24  361/576:kill11
-11 24  121/576:kill19
-22 25  484/625:kill13
-13 25  169/625:kill17
-8 25  64/625:kill23
-7 25  49/625:kill17
6 25  36/625:kill11
13 25  169/625:kill11
3 26  9/676:kill17
7 26  49/676:kill17
-16 27  256/729:kill13
-11 27  121/729:kill23
-10 27  100/729:kill13
10 27  100/729:kill11
11 27  121/729:kill13
-23 28  529/784:kill19
-15 29  225/841:kill17
7 29  49/841:kill13
23 29  529/841:kill11
-13 30  169/900:kill11
-9 31  81/961:kill13
-6 31  36/961:kill13
2 31  4/961:kill13
6 31  36/961:kill11
16 31  256/961:kill13
19 31  361/961:kill11
24 31  576/961:kill13
-19 32  361/1024:kill11
-11 32  121/1024:kill13
-5 32  25/1024:kill13
23 32  529/1024:kill13
-31 33  961/1089:kill13
2 33  4/1089:kill13
13 33  169/1089:kill29
17 33  289/1089:kill19
-19 34  361/1156:kill13
-9 34  81/1156:kill11
13 34  169/1156:kill11
-16 35  256/1225:kill13
-13 35  169/1225:kill23
-1 35  1/1225:kill13
31 35  961/1225:kill17
-23 36  529/1296:kill11
-35 37  1225/1369:kill13
-27 37  729/1369:kill11
-20 37  400/1369:kill11
-8 37  64/1369:kill13
17 37  289/1369:kill11
-33 38  1089/1444:kill23
-31 38  961/1444:kill11
-11 38  121/1444:kill13
31 38  961/1444:kill17
33 38  1089/1444:kill13
-16 39  256/1521:kill17
-4 39  16/1521:kill17
-2 39  4/1521:kill11
-37 40  1369/1600:kill17
-31 40  961/1600:kill17
-27 40  729/1600:kill23
13 40  169/1600:kill17
27 40  729/1600:kill11
-34 41  1156/1681:kill13
-11 41  121/1681:kill23
-6 41  36/1681:kill11
-1 41  1/1681:kill13
1 41  1/1681:kill11
17 41  289/1681:kill19
-1 42  1/1764:kill11
-28 43  784/1849:kill11
-21 43  441/1849:kill13
-13 43  169/1849:kill11
-6 43  36/1849:kill11
-5 43  25/1849:kill17
3 43  9/1849:kill11
5 43  25/1849:kill11
6 43  36/1849:kill17
7 43  49/1849:kill17
16 43  256/1849:kill11
20 43  400/1849:kill11
25 43  625/1849:kill11
30 43  900/1849:kill17
32 43  1024/1849:kill23
-31 44  961/1936:kill17
-41 45  1681/2025:kill13
-22 45  484/2025:kill17
-17 45  289/2025:kill19
-8 45  64/2025:kill13
8 45  64/2025:kill11
-33 46  1089/2116:kill17
-29 46  841/2116:kill11
-17 46  289/2116:kill11
-7 46  49/2116:kill11
-1 46  1/2116:kill13
1 46  1/2116:kill11
7 46  49/2116:kill17
25 46  625/2116:kill11
29 46  841/2116:kill13
33 46  1089/2116:kill17
-45 47  2025/2209:kill11
-36 47  1296/2209:kill17
-26 47  676/2209:kill11
-21 47  441/2209:kill23
-15 47  225/2209:kill11
-3 47  9/2209:kill13
