label,level,level_fac,hecke_field_disc,M_f,largest_prime,n_primes,method,eisenstein_pattern,curve_status,torsion_attained,curve_eq
2190.2.a.v,2190,2*3*5*73,12,37,37,42,ap_p199_exact,37|73+1,curve_over_cubic_only,,
1830.2.a.q,1830,2*3*5*61,8,31,31,42,ap_p199_exact,31|61+1,curve_over_Q,31,"[[-126,816,-2466,4300,-4587,2841,-839],[0,-1,-1]]"
834.2.a.j,834,2*3*139,12,23,23,43,ap_p199_exact,23|139-1,curve_over_Q,1,"[[-1107,-5238,-16191,-16992,-20700,29376,-6912],[]]"
4110.2.a.w,4110,2*3*5*137,8,23,23,42,ap_p199_exact,23|137+1,curve_over_Q,23,"[[-99,-1209,-6441,-19071,-33090,-31950,-13500],[0,-1,-1]]"
74.2.a.b,74,2*37,5,19,19,44,ap_p199_exact,19|37+1,curve_over_Q,19,"[[4,-38,152,-327,394,-254,68],[0,-1,-1]]"
453.2.a.a,453,3*151,5,19,19,43,ap_p199_exact,19|151+1,curve_over_Q,19,"[[73730,337140,643721,657181,378483,116623,15024],[-1,0,-1,-1]]"
555.2.a.c,555,3*5*37,5,19,19,42,ap_p199_exact,19|37+1,curve_over_Q,19,"[[-4,15,-7,-18,18,-8,2],[-1,0,-1,-1]]"
1554.2.a.s,1554,2*3*7*37,24,19,19,42,ap_p199_exact,19|37+1,curve_over_cubic_only,,
618.2.a.j,618,2*3*103,8,17,17,43,ap_p199_exact,17|103-1,curve_over_Q,17,"[[90,600,1746,2712,2061,525,45],[0,-1,-1]]"
670.2.a.f,670,2*5*67,8,17,17,43,ap_p199_exact,17|67+1,curve_over_Q,17,"[[256,-848,1094,-679,199,-23,1],[0,-1,-1]]"
43920.2.a.cr,43920,2^4*3^2*5*61,8,31,31,3,traces_chain_p47_strong,31|61+1,no_curve_known,,
13680.2.a.ch,13680,2^4*3^2*5*19,5,29,29,3,traces_chain_p47_strong,none,no_curve_known,,
13770.2.a.cc,13770,2*3^4*5*17,12,23,23,3,traces_chain_p47_strong,none,no_curve_known,,
45810.2.a.bk,45810,2*3^2*5*509,8,23,23,3,traces_chain_p47_strong,none,no_curve_known,,
10830.2.a.bp,10830,2*3*5*19^2,5,19,19,3,traces_chain_p47_strong,none,no_curve_known,,
14246.2.a.f,14246,2*17*419,5,19,19,9,traces_chain_p47_strong,19|419-1,no_curve_known,,
17070.2.a.z,17070,2*3*5*569,17,19,19,3,traces_chain_p47_strong,19|569+1,no_curve_known,,
29760.2.a.dm,29760,2^6*3*5*31,17,19,19,3,traces_chain_p47_strong,none,no_curve_known,,
31170.2.a.m,31170,2*3*5*1039,5,19,19,3,traces_chain_p47_strong,none,no_curve_known,,
40050.2.a.cg,40050,2*3^2*5^2*89,5,19,19,3,traces_chain_p47_strong,none,no_curve_known,,
14160.2.a.bj,14160,2^4*3*5*59,8,17,17,3,traces_chain_p47_strong,none,no_curve_known,,
37950.2.a.du,37950,2*3*5^2*11*23,12,97,97,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.ei,47190,2*3*5*11^2*13,12,97,97,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.do,47190,2*3*5*11^2*13,12,97,97,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.em,47190,2*3*5*11^2*13,12,97,97,1,traces_chain_p47_weak,none,no_curve_known,,
25740.2.a.i,25740,2^2*3^2*5*11*13,5,89,89,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dd,47190,2*3*5*11^2*13,5,89,89,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.en,47190,2*3*5*11^2*13,5,89,89,1,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.cp,12870,2*3^2*5*11*13,8,79,79,1,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.cs,12870,2*3^2*5*11*13,8,79,79,1,traces_chain_p47_weak,none,no_curve_known,,
25740.2.a.n,25740,2^2*3^2*5*11*13,5,79,79,1,traces_chain_p47_weak,none,no_curve_known,,
33330.2.a.l,33330,2*3*5*11*101,8,79,79,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dj,47190,2*3*5*11^2*13,5,79,79,1,traces_chain_p47_weak,none,no_curve_known,,
46800.2.a.gi,46800,2^4*3^2*5^2*13,40,71,71,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dg,47190,2*3*5*11^2*13,5,61,61,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dw,47190,2*3*5*11^2*13,12,61,61,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.eu,47190,2*3*5*11^2*13,12,61,61,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dz,47190,2*3*5*11^2*13,12,59,59,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.el,47190,2*3*5*11^2*13,12,59,59,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.eh,47190,2*3*5*11^2*13,12,59,59,1,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.cn,12870,2*3^2*5*11*13,17,53,53,1,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.cr,12870,2*3^2*5*11*13,17,53,53,1,traces_chain_p47_weak,none,no_curve_known,,
44850.2.a.db,44850,2*3*5^2*13*23,17,53,53,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dq,47190,2*3*5*11^2*13,44,53,53,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.ep,47190,2*3*5*11^2*13,44,53,53,1,traces_chain_p47_weak,none,no_curve_known,,
13200.2.a.df,13200,2^4*3*5^2*11,8,47,47,2,traces_chain_p47_weak,none,no_curve_known,,
29370.2.a.by,29370,2*3*5*11*89,8,47,47,2,traces_chain_p47_weak,none,no_curve_known,,
38610.2.a.ca,38610,2*3^3*5*11*13,17,47,47,1,traces_chain_p47_weak,none,no_curve_known,,
38610.2.a.cd,38610,2*3^3*5*11*13,17,47,47,1,traces_chain_p47_weak,none,no_curve_known,,
39600.2.a.gz,39600,2^4*3^2*5^2*11,8,47,47,2,traces_chain_p47_weak,none,no_curve_known,,
46800.2.a.hj,46800,2^4*3^2*5^2*13,8,47,47,2,traces_chain_p47_weak,none,no_curve_known,,
13200.2.a.dd,13200,2^4*3*5^2*11,24,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
13260.2.a.r,13260,2^2*3*5*13*17,17,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
19800.2.a.ck,19800,2^3*3^2*5^2*11,24,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
34320.2.a.cs,34320,2^4*3*5*11*13,17,43,43,1,traces_chain_p47_weak,none,no_curve_known,,
35640.2.a.ba,35640,2^3*3^4*5*11,24,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
35640.2.a.bd,35640,2^3*3^4*5*11,24,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
38610.2.a.bz,38610,2*3^3*5*11*13,17,43,43,1,traces_chain_p47_weak,none,no_curve_known,,
38610.2.a.cc,38610,2*3^3*5*11*13,17,43,43,1,traces_chain_p47_weak,none,no_curve_known,,
39600.2.a.he,39600,2^4*3^2*5^2*11,24,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
44070.2.a.bd,44070,2*3*5*13*113,17,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
46530.2.a.bh,46530,2*3^2*5*11*47,17,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
46530.2.a.bk,46530,2*3^2*5*11*47,17,43,43,2,traces_chain_p47_weak,none,no_curve_known,,
19800.2.a.cm,19800,2^3*3^2*5^2*11,5,41,41,2,traces_chain_p47_weak,none,no_curve_known,,
24090.2.a.p,24090,2*3*5*11*73,5,41,41,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dr,47190,2*3*5*11^2*13,5,41,41,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.ef,47190,2*3*5*11^2*13,5,41,41,1,traces_chain_p47_weak,none,no_curve_known,,
21450.2.a.dj,21450,2*3*5^2*11*13,28,37,37,1,traces_chain_p47_weak,none,no_curve_known,,
21450.2.a.dc,21450,2*3*5^2*11*13,8,31,31,1,traces_chain_p47_weak,none,no_curve_known,,
21450.2.a.dh,21450,2*3*5^2*11*13,8,31,31,1,traces_chain_p47_weak,none,no_curve_known,,
25740.2.a.j,25740,2^2*3^2*5*11*13,8,31,31,1,traces_chain_p47_weak,none,no_curve_known,,
25740.2.a.o,25740,2^2*3^2*5*11*13,8,31,31,1,traces_chain_p47_weak,none,no_curve_known,,
27390.2.a.bn,27390,2*3*5*11*83,8,31,31,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.ea,47190,2*3*5*11^2*13,28,93,31,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.ek,47190,2*3*5*11^2*13,5,31,31,1,traces_chain_p47_weak,none,no_curve_known,,
10890.2.a.da,10890,2*3^2*5*11^2,5,29,29,2,traces_chain_p47_weak,none,no_curve_known,,
18150.2.a.eg,18150,2*3*5^2*11^2,5,29,29,2,traces_chain_p47_weak,none,no_curve_known,,
29040.2.a.dr,29040,2^4*3*5*11^2,5,29,29,2,traces_chain_p47_weak,none,no_curve_known,,
33930.2.a.br,33930,2*3^2*5*13*29,5,29,29,2,traces_chain_p47_weak,none,no_curve_known,,
34320.2.a.cn,34320,2^4*3*5*11*13,5,29,29,1,traces_chain_p47_weak,none,no_curve_known,,
44850.2.a.cy,44850,2*3*5^2*13*23,5,29,29,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dh,47190,2*3*5*11^2*13,28,29,29,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.dp,47190,2*3*5*11^2*13,24,29,29,1,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.eq,47190,2*3*5*11^2*13,24,29,29,1,traces_chain_p47_weak,none,no_curve_known,,
14430.2.a.bw,14430,2*3*5*13*37,8,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
22230.2.a.cb,22230,2*3^2*5*13*19,8,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
25740.2.a.k,25740,2^2*3^2*5*11*13,12,23,23,1,traces_chain_p47_weak,none,no_curve_known,,
27390.2.a.bj,27390,2*3*5*11*83,12,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
28050.2.a.ek,28050,2*3*5^2*11*17,41,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
37050.2.a.dq,37050,2*3*5^2*13*19,8,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
45630.2.a.fc,45630,2*3^3*5*13^2,12,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
45630.2.a.fa,45630,2*3^3*5*13^2,12,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
46800.2.a.gb,46800,2^4*3^2*5^2*13,8,23,23,2,traces_chain_p47_weak,none,no_curve_known,,
47190.2.a.ew,47190,2*3*5*11^2*13,12,23,23,1,traces_chain_p47_weak,none,no_curve_known,,
10890.2.a.cg,10890,2*3^2*5*11^2,5,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
12480.2.a.dv,12480,2^6*3*5*13,73,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.cl,12870,2*3^2*5*11*13,28,57,19,1,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.cm,12870,2*3^2*5*11*13,17,19,19,1,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.ct,12870,2*3^2*5*11*13,5,19,19,1,traces_chain_p47_weak,none,no_curve_known,,
12870.2.a.da,12870,2*3^2*5*11*13,17,19,19,1,traces_chain_p47_weak,none,no_curve_known,,
17160.2.a.be,17160,2^3*3*5*11*13,17,19,19,1,traces_chain_p47_weak,none,no_curve_known,,
18150.2.a.ey,18150,2*3*5^2*11^2,5,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
20280.2.a.bs,20280,2^3*3*5*13^2,17,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
26910.2.a.bw,26910,2*3^2*5*13*23,5,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
29250.2.a.f,29250,2*3^2*5^3*13,5,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
30360.2.a.bn,30360,2^3*3*5*11*23,17,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
30420.2.a.be,30420,2^2*3^2*5*13^2,73,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
32670.2.a.dl,32670,2*3^3*5*11^2,5,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
32670.2.a.eh,32670,2*3^3*5*11^2,5,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
35310.2.a.bf,35310,2*3*5*11*107,17,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
36300.2.a.df,36300,2^2*3*5^2*11^2,5,95,19,2,traces_chain_p47_weak,none,no_curve_known,,
37950.2.a.eb,37950,2*3*5^2*11*23,17,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
40560.2.a.du,40560,2^4*3*5*13^2,17,19,19,2,traces_chain_p47_weak,none,no_curve_known,,
