CONTACT6_M612_TB_RECOVERY_HEIGHT_SIEVE H=100000 modulus=111469 masks=23
SURVIVOR branch=-1 n=0 d=1
SURVIVOR branch=-1 n=1 d=1
SURVIVOR branch=-1 n=3 d=1
SURVIVOR branch=-1 n=18282 d=43
SURVIVOR branch=-1 n=75727 d=292
SURVIVOR branch=-1 n=77213 d=509
SURVIVOR branch=-1 n=99399 d=1202
SURVIVOR branch=-1 n=43610 d=1593
SURVIVOR branch=-1 n=88835 d=2304
SURVIVOR branch=-1 n=56503 d=2929
SURVIVOR branch=-1 n=29869 d=3392
SURVIVOR branch=-1 n=81393 d=3403
SURVIVOR branch=-1 n=41529 d=3470
SURVIVOR branch=-1 n=61427 d=3517
SURVIVOR branch=-1 n=58685 d=3683
SURVIVOR branch=-1 n=88598 d=4605
SURVIVOR branch=-1 n=18204 d=4795
SURVIVOR branch=-1 n=78761 d=5069
SURVIVOR branch=-1 n=31635 d=5969
SURVIVOR branch=-1 n=89284 d=6355
SURVIVOR branch=-1 n=91595 d=6828
SURVIVOR branch=-1 n=59153 d=6895
SURVIVOR branch=-1 n=95033 d=6970
SURVIVOR branch=-1 n=69527 d=7055
SURVIVOR branch=-1 n=64922 d=7413
SURVIVOR branch=-1 n=23725 d=7471
SURVIVOR branch=-1 n=75518 d=7697
SURVIVOR branch=-1 n=48391 d=8220
SURVIVOR branch=-1 n=51783 d=8909
SURVIVOR branch=-1 n=583 d=9796
SURVIVOR branch=-1 n=16732 d=10153
SURVIVOR branch=-1 n=93069 d=10355
SURVIVOR branch=-1 n=14838 d=10507
SURVIVOR branch=-1 n=43401 d=10549
SURVIVOR branch=-1 n=77182 d=10797
SURVIVOR branch=-1 n=73273 d=11968
SURVIVOR branch=-1 n=19823 d=12002
SURVIVOR branch=-1 n=21648 d=12631
SURVIVOR branch=-1 n=71858 d=13271
SURVIVOR branch=-1 n=61 d=13728
SURVIVOR branch=-1 n=87167 d=13795
SURVIVOR branch=-1 n=72509 d=13838
SURVIVOR branch=-1 n=11857 d=14141
SURVIVOR branch=-1 n=52989 d=14407
SURVIVOR branch=-1 n=11800 d=14421
SURVIVOR branch=-1 n=65179 d=14671
SURVIVOR branch=-1 n=8223 d=14938
SURVIVOR branch=-1 n=3143 d=15812
SURVIVOR branch=-1 n=72881 d=16026
SURVIVOR branch=-1 n=73196 d=16683
SURVIVOR branch=-1 n=50611 d=17818
SURVIVOR branch=-1 n=49487 d=18121
SURVIVOR branch=-1 n=14502 d=18157
SURVIVOR branch=-1 n=51956 d=18245
SURVIVOR branch=-1 n=14787 d=18512
SURVIVOR branch=-1 n=7743 d=18530
SURVIVOR branch=-1 n=97838 d=18565
SURVIVOR branch=-1 n=48791 d=18921
SURVIVOR branch=-1 n=11537 d=19437
SURVIVOR branch=-1 n=54505 d=19451
SURVIVOR branch=-1 n=56481 d=20155
SURVIVOR branch=-1 n=54455 d=20169
SURVIVOR branch=-1 n=80261 d=20481
SURVIVOR branch=-1 n=90259 d=20746
SURVIVOR branch=-1 n=83938 d=20941
SURVIVOR branch=-1 n=75613 d=21386
SURVIVOR branch=-1 n=62698 d=21437
SURVIVOR branch=-1 n=27489 d=21722
SURVIVOR branch=-1 n=27492 d=21995
SURVIVOR branch=-1 n=38656 d=22707
SURVIVOR branch=-1 n=87027 d=23116
SURVIVOR branch=-1 n=9955 d=23161
SURVIVOR branch=-1 n=74222 d=23583
SURVIVOR branch=-1 n=6603 d=23987
SURVIVOR branch=-1 n=6401 d=24080
SURVIVOR branch=-1 n=48318 d=24395
SURVIVOR branch=-1 n=65032 d=24591
SURVIVOR branch=-1 n=52889 d=25665
SURVIVOR branch=-1 n=22794 d=25705
SURVIVOR branch=-1 n=74326 d=26151
SURVIVOR branch=-1 n=343 d=26353
SURVIVOR branch=-1 n=86703 d=26486
SURVIVOR branch=-1 n=52159 d=26520
SURVIVOR branch=-1 n=46904 d=26843
SURVIVOR branch=-1 n=77207 d=26937
SURVIVOR branch=-1 n=32882 d=27119
SURVIVOR branch=-1 n=2276 d=27623
SURVIVOR branch=-1 n=77024 d=28203
SURVIVOR branch=-1 n=75101 d=29202
SURVIVOR branch=-1 n=33891 d=29299
SURVIVOR branch=-1 n=77368 d=29579
SURVIVOR branch=-1 n=10132 d=30127
SURVIVOR branch=-1 n=51034 d=30401
SURVIVOR branch=-1 n=29767 d=30769
SURVIVOR branch=-1 n=99815 d=31816
SURVIVOR branch=-1 n=19763 d=32813
SURVIVOR branch=-1 n=30959 d=33655
SURVIVOR branch=-1 n=90376 d=34469
SURVIVOR branch=-1 n=83122 d=34655
SURVIVOR branch=-1 n=91015 d=34694
SURVIVOR branch=-1 n=90769 d=34903
SURVIVOR branch=-1 n=42413 d=34974
SURVIVOR branch=-1 n=73321 d=35956
SURVIVOR branch=-1 n=99875 d=36182
SURVIVOR branch=-1 n=18241 d=37150
SURVIVOR branch=-1 n=54129 d=37513
SURVIVOR branch=-1 n=77203 d=37672
SURVIVOR branch=-1 n=79926 d=38179
SURVIVOR branch=-1 n=95423 d=39343
SURVIVOR branch=-1 n=65144 d=39425
SURVIVOR branch=-1 n=75638 d=40511
SURVIVOR branch=-1 n=57499 d=40762
SURVIVOR branch=-1 n=41287 d=41038
SURVIVOR branch=-1 n=57349 d=41369
SURVIVOR branch=-1 n=6557 d=41612
SURVIVOR branch=-1 n=44221 d=42075
SURVIVOR branch=-1 n=85636 d=42153
SURVIVOR branch=-1 n=98553 d=42524
SURVIVOR branch=-1 n=45893 d=42660
SURVIVOR branch=-1 n=52603 d=44086
SURVIVOR branch=-1 n=87527 d=44899
SURVIVOR branch=-1 n=6375 d=44929
SURVIVOR branch=-1 n=84226 d=45637
SURVIVOR branch=-1 n=31476 d=46379
SURVIVOR branch=-1 n=95897 d=46591
SURVIVOR branch=-1 n=26411 d=46784
SURVIVOR branch=-1 n=43604 d=47159
SURVIVOR branch=-1 n=21260 d=47541
SURVIVOR branch=-1 n=11439 d=48472
SURVIVOR branch=-1 n=2206 d=48749
SURVIVOR branch=-1 n=20881 d=49551
SURVIVOR branch=-1 n=56603 d=49633
SURVIVOR branch=-1 n=89149 d=50309
SURVIVOR branch=-1 n=28689 d=50327
SURVIVOR branch=-1 n=12172 d=50397
SURVIVOR branch=-1 n=48380 d=50439
SURVIVOR branch=-1 n=28600 d=50641
SURVIVOR branch=-1 n=34751 d=51479
SURVIVOR branch=-1 n=74825 d=51612
SURVIVOR branch=-1 n=22886 d=51925
SURVIVOR branch=-1 n=3757 d=52668
SURVIVOR branch=-1 n=1853 d=53281
SURVIVOR branch=-1 n=52955 d=53341
SURVIVOR branch=-1 n=4182 d=53801
SURVIVOR branch=-1 n=95836 d=54529
SURVIVOR branch=-1 n=25459 d=54613
SURVIVOR branch=-1 n=31851 d=55022
SURVIVOR branch=-1 n=98830 d=55077
SURVIVOR branch=-1 n=81501 d=55504
SURVIVOR branch=-1 n=47882 d=55991
SURVIVOR branch=-1 n=18760 d=56443
SURVIVOR branch=-1 n=53719 d=56473
SURVIVOR branch=-1 n=98274 d=56579
SURVIVOR branch=-1 n=63495 d=56621
SURVIVOR branch=-1 n=25092 d=56687
SURVIVOR branch=-1 n=19401 d=56722
SURVIVOR branch=-1 n=99070 d=56969
SURVIVOR branch=-1 n=85463 d=57297
SURVIVOR branch=-1 n=78518 d=57583
SURVIVOR branch=-1 n=28901 d=57648
SURVIVOR branch=-1 n=3507 d=57872
SURVIVOR branch=-1 n=92858 d=58459
SURVIVOR branch=-1 n=12744 d=58873
SURVIVOR branch=-1 n=59902 d=59143
SURVIVOR branch=-1 n=68875 d=59848
