E = Elliptic Curve defined by y^2 + 54*x*y + 78732*y = x^3 + 4374*x^2 + 4251528*x over Rational Field, rank gens = 2, torsion = [ 2 ]
==== Z/24 curves from family points ====
  (r,t)=(-8386772810840259716907429943/4229810801500425687212964797115,2137770155590537931/364030118898639445) torsion=[ 8 ]  [not 24]
  (r,t)=(1/3,-1) torsion=[ 24 ] 2rank=1 simple=true
  (r,t)=(-3547603023210943513076067242051/756124897424429255681188030632,56774971796001607/1857940298804206968) torsion=[ 8 ]  [not 24]
  (r,t)=(1628420830511391895371799/19822561308001096531887505,-1168957594415524/925368070236323) torsion=[ 8 ]  [not 24]
  (r,t)=(-1286958697071443229787801/30774649247083851749640,-336558055243879/270178552023039) torsion=[ 8 ]  [not 24]
  (r,t)=(-117454831212408260407/18618385046440045680,1188657997857/54824803760) torsion=[ 8 ]  [not 24]
  (r,t)=(133381274036572436193/119735487485580909313,1101342835783/1215046665063) torsion=[ 8 ]  [not 24]
  (r,t)=(409600000/12499486014679191,-4483962449/111438360) torsion=[ 8 ]  [not 24]
  (r,t)=(12192795175283249/287995186129560,-256000/4376510311) torsion=[ 8 ]  [not 24]
  (r,t)=(1258284197543/3326526283509,-16974593/16913793) torsion=[ 8 ]  [not 24]
  (r,t)=(1121154893057/62359382960,18191447/842960) torsion=[ 8 ]  [not 24]
  (r,t)=(-90224199/608142955,275684/70161) torsion=[ 8 ]  [not 24]
  (r,t)=(-115856201/7795320,59319/204877) torsion=[ 8 ]  [not 24]
  (r,t)=(16807/4804872,-6859/2296) torsion=[ 8 ]  [not 24]
  (r,t)=(2476099/358995,-343/3705) torsion=[ 8 ]  [not 24]
  (r,t)=(4096/3895,-125/76) torsion=[ 8 ]  [not 24]
  (r,t)=(3125/3276,256/105) torsion=[ 8 ]  [not 24]
  (r,t)=(-1/285,27/5) torsion=[ 8 ]  [not 24]
  (r,t)=(-243/56,1/24) torsion=[ 8 ]  [not 24]
  (r,t)=(1/15,-4/3) torsion=[ 8 ]  [not 24]
  (r,t)=(-1/5,4) torsion=[ 8 ]  [not 24]
  (r,t)=(1/456,-27/8) torsion=[ 8 ]  [not 24]
  (r,t)=(243/35,-1/15) torsion=[ 8 ]  [not 24]
  (r,t)=(4096/4305,-125/84) torsion=[ 8 ]  [not 24]
  (r,t)=(3125/2964,256/95) torsion=[ 8 ]  [not 24]
  (r,t)=(-16807/2856555,6859/1365) torsion=[ 8 ]  [not 24]
  (r,t)=(-2476099/603848,343/6232) torsion=[ 8 ]  [not 24]
  (r,t)=(90224199/1689210865,-275684/194883) torsion=[ 8 ]  [not 24]
  (r,t)=(115856201/2806440,-59319/73759) torsion=[ 8 ]  [not 24]
  (r,t)=(1258284197543/169660030320,-16974593/862640) torsion=[ 8 ]  [not 24]
  (r,t)=(1121154893057/1222681182177,18191447/16527927) torsion=[ 8 ]  [not 24]
  (r,t)=(-409600000/11907613630679111,4483962449/106161560) torsion=[ 8 ]  [not 24]
  (r,t)=(-12192795175283249/302310094446360,256000/4594046391) torsion=[ 8 ]  [not 24]
  (r,t)=(117454831212408260407/402265775218000379301,-1188657997857/1184535722657) torsion=[ 8 ]  [not 24]
  (r,t)=(-133381274036572436193/5541812272052305840,-1101342835783/56236965840) torsion=[ 8 ]  [not 24]
  (r,t)=(-1628420830511391895371799/6066476749355716396361835,1168957594415524/283198714609041) torsion=[ 8 ]  [not 24]
  (r,t)=(1286958697071443229787801/100557934471163557216920,336558055243879/882823940955917) torsion=[ 8 ]  [not 24]
  (r,t)=(8386772810840259716907429943/6440911791780677977750790550888,-2137770155590537931/554324057365839384) torsion=[ 8 ]  [not 24]
  (r,t)=(3547603023210943513076067242051/496554736627599146811560761235,-56774971796001607/1220127863644024265) torsion=[ 8 ]  [not 24]
