# a,b,c,d | signatures
0,0,0,1 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,2 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,3 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,4 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,5 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,6 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,7 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,8 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,9 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,10 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,11 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,0,12 | E12++E12-+E13++E13-+E23++E23-+Z1+Z2+Z3
0,0,1,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,2,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,3,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,4,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,5,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,6,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,7,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,8,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,9,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,10,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,11,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,0,12,0 | E12++E12-+E14++E14-+E24++E24-+Z1+Z2+Z4
0,1,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,1,1,2 | E23++Z1
0,1,1,11 | E23++Z1
0,1,2,1 | E24++Z1
0,1,2,12 | E24-+Z1
0,1,6,6 | E34++Z1
0,1,6,7 | E34-+Z1
0,1,7,6 | E34-+Z1
0,1,7,7 | E34++Z1
0,1,11,1 | E24++Z1
0,1,11,12 | E24-+Z1
0,1,12,2 | E23-+Z1
0,1,12,11 | E23-+Z1
0,2,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,2,1,1 | E34++Z1
0,2,1,12 | E34-+Z1
0,2,2,4 | E23++Z1
0,2,2,9 | E23++Z1
0,2,4,2 | E24++Z1
0,2,4,11 | E24-+Z1
0,2,9,2 | E24++Z1
0,2,9,11 | E24-+Z1
0,2,11,4 | E23-+Z1
0,2,11,9 | E23-+Z1
0,2,12,1 | E34-+Z1
0,2,12,12 | E34++Z1
0,3,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,3,3,6 | E23++Z1
0,3,3,7 | E23++Z1
0,3,5,5 | E34++Z1
0,3,5,8 | E34-+Z1
0,3,6,3 | E24++Z1
0,3,6,10 | E24-+Z1
0,3,7,3 | E24++Z1
0,3,7,10 | E24-+Z1
0,3,8,5 | E34-+Z1
0,3,8,8 | E34++Z1
0,3,10,6 | E23-+Z1
0,3,10,7 | E23-+Z1
0,4,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,4,2,2 | E34++Z1
0,4,2,11 | E34-+Z1
0,4,4,5 | E23++Z1
0,4,4,8 | E23++Z1
0,4,5,4 | E24++Z1
0,4,5,9 | E24-+Z1
0,4,8,4 | E24++Z1
0,4,8,9 | E24-+Z1
0,4,9,5 | E23-+Z1
0,4,9,8 | E23-+Z1
0,4,11,2 | E34-+Z1
0,4,11,11 | E34++Z1
0,5,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,5,3,5 | E24++Z1
0,5,3,8 | E24-+Z1
0,5,4,4 | E34++Z1
0,5,4,9 | E34-+Z1
0,5,5,3 | E23++Z1
0,5,5,10 | E23++Z1
0,5,8,3 | E23-+Z1
0,5,8,10 | E23-+Z1
0,5,9,4 | E34-+Z1
0,5,9,9 | E34++Z1
0,5,10,5 | E24++Z1
0,5,10,8 | E24-+Z1
0,6,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,6,1,6 | E24++Z1
0,6,1,7 | E24-+Z1
0,6,3,3 | E34++Z1
0,6,3,10 | E34-+Z1
0,6,6,1 | E23++Z1
0,6,6,12 | E23++Z1
0,6,7,1 | E23-+Z1
0,6,7,12 | E23-+Z1
0,6,10,3 | E34-+Z1
0,6,10,10 | E34++Z1
0,6,12,6 | E24++Z1
0,6,12,7 | E24-+Z1
0,7,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,7,1,6 | E24-+Z1
0,7,1,7 | E24++Z1
0,7,3,3 | E34++Z1
0,7,3,10 | E34-+Z1
0,7,6,1 | E23-+Z1
0,7,6,12 | E23-+Z1
0,7,7,1 | E23++Z1
0,7,7,12 | E23++Z1
0,7,10,3 | E34-+Z1
0,7,10,10 | E34++Z1
0,7,12,6 | E24-+Z1
0,7,12,7 | E24++Z1
0,8,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
0,8,3,5 | E24-+Z1
0,8,3,8 | E24++Z1
0,8,4,4 | E34++Z1
0,8,4,9 | E34-+Z1
0,8,5,3 | E23-+Z1
0,8,5,10 | E23-+Z1
0,8,8,3 | E23++Z1
0,8,8,10 | E23++Z1
0,8,9,4 | E34-+Z1
0,8,9,9 | E34++Z1
0,8,10,5 | E24-+Z1
0,8,10,8 | E24++Z1
0,9,0,0 | E13++E13-+E14++E14-+E34++E34-+Z1+Z3+Z4
