CANDIDATE | curve=[ 1, 16, 18, 1682 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 1, 16, 18, 50 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 1, 2, 4, 50 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 1, 98, 100, 1682 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 10, 315, 588, 1050 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 10, 98, 175, 560 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 1078, 1210, 1260, 1925 ] | local_A2244=false | A2244_obstruction=23 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 117, 390, 1200, 1690 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 12, 45, 50, 1470 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 12, 63, 112, 588 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 120, 600, 720, 961 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 1200, 1445, 1452, 1620 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 121, 484, 1444, 1936 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 13, 325, 405, 845 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 130, 720, 975, 1014 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 14, 1078, 1925, 1936 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 14, 242, 308, 539 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 14, 49, 112, 338 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 14, 49, 50, 112 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 15, 147, 175, 315 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 15, 36, 100, 240 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 15, 48, 50, 90 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 15, 560, 882, 1050 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 160, 288, 960, 1875 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 162, 256, 294, 1587 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 168, 1008, 1176, 1849 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 175, 392, 400, 1400 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 176, 484, 539, 676 ] | local_A2244=false | A2244_obstruction=19 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 18, 75, 80, 1470 ] | local_A2244=false | A2244_obstruction=23 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 180, 588, 605, 1200 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 192, 735, 810, 1250 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 195, 650, 720, 1014 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 2, 100, 121, 338 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 2, 144, 294, 363 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 2, 25, 50, 100 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 2, 3, 12, 18 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 2, 50, 80, 245 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 20, 144, 225, 1620 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 20, 300, 363, 720 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 20, 300, 720, 867 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 208, 637, 648, 1352 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 24, 48, 49, 72 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 240, 360, 361, 600 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 242, 286, 1300, 1859 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 25, 336, 630, 1470 ] | local_A2244=false | A2244_obstruction=29 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 25, 75, 225, 363 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 27, 405, 605, 675 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 27, 98, 108, 162 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 270, 405, 432, 1250 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 272, 289, 338, 850 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 28, 192, 567, 588 ] | local_A2244=false | A2244_obstruction=13 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 28, 49, 126, 578 ] | local_A2244=false | A2244_obstruction=23 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 28, 49, 50, 126 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 289, 1088, 1250, 1666 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 3, 45, 75, 245 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 3, 49, 75, 81 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 30, 45, 48, 50 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 30, 45, 50, 192 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 300, 484, 507, 576 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 32, 605, 800, 1280 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 336, 625, 630, 1470 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 338, 1344, 1638, 1911 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 34, 289, 338, 612 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 34, 289, 612, 1250 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 35, 112, 200, 1960 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 35, 150, 294, 1260 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 35, 63, 75, 735 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 350, 882, 900, 1575 ] | local_A2244=false | A2244_obstruction=13 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 39, 468, 676, 768 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 4, 242, 529, 578 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 4, 6, 9, 726 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 40, 72, 75, 240 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 414, 529, 578, 1472 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 44, 484, 1024, 1859 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
