CANDIDATE | curve=[ 10, 315, 588, 1050 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 120, 600, 720, 961 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 1200, 1445, 1452, 1620 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 14, 242, 308, 539 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 14, 49, 112, 338 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 14, 49, 50, 112 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 15, 147, 175, 315 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 15, 48, 50, 90 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 160, 288, 960, 1875 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 162, 256, 294, 1587 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 175, 392, 400, 1400 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 180, 588, 605, 1200 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 192, 735, 810, 1250 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 2, 144, 294, 363 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 20, 300, 720, 867 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 24, 48, 49, 72 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 242, 286, 1300, 1859 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 25, 336, 630, 1470 ] | local_A2244=false | A2244_obstruction=29 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 25, 75, 225, 363 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 28, 192, 567, 588 ] | local_A2244=false | A2244_obstruction=13 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 28, 49, 126, 578 ] | local_A2244=false | A2244_obstruction=23 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 300, 484, 507, 576 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 35, 63, 75, 735 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 39, 468, 676, 768 ] | local_A2244=false | A2244_obstruction=7 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 4, 242, 529, 578 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 40, 72, 75, 240 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 44, 77, 98, 1694 ] | local_A2244=false | A2244_obstruction=17 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 48, 144, 169, 192 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 49, 350, 448, 578 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 5, 361, 605, 1225 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 50, 169, 196, 242 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 520, 832, 845, 1800 ] | local_A2244=false | A2244_obstruction=19 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 560, 1400, 1521, 1960 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 6, 75, 98, 144 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 60, 490, 567, 1050 ] | local_A2244=false | A2244_obstruction=23 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 75, 121, 363, 1089 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 92, 529, 578, 1150 ] | local_A2244=false | A2244_obstruction=5 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
CANDIDATE | curve=[ 98, 144, 147, 294 ] | local_A2244=false | A2244_obstruction=11 | local_cover=false | cover_obstruction=0 | exact_witnesses=0
SUMMARY | input_file=data/surface_tuples_B2000_bad11_23.txt | full_check=true | primes=[ 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47 ] | surface_tuples=38 | local_A2244=0 | local_cover=0 | exact_sources=0 | exact_witnesses=0
