source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 62234, 64090 ] | perm=[ 1, 2, 3, 4 ] | eps=[-1,-1,1] | full=false | rho=-952/975 sigma=495/448 tau=-561/520 | intermediate=314721/270400 | F=[-889249/227136000,351823363609/57836025000000,1325728868409/170191853977600,-93288444843/20472524800000] | q=[0,593147/7605000,1151403/13045760,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 62234, 64090 ] | perm=[ 1, 2, 3, 4 ] | eps=[-1,1,-1] | full=false | rho=-952/975 sigma=-495/448 tau=561/520 | intermediate=314721/270400 | F=[-1168561/227136000,284017582489/57836025000000,1070225423289/170191853977600,-122590228827/20472524800000] | q=[0,532933/7605000,1034517/13045760,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 62234, 64090 ] | perm=[ 1, 2, 3, 4 ] | eps=[1,-1,-1] | full=false | rho=952/975 sigma=495/448 tau=561/520 | intermediate=314721/270400 | F=[1964351041/227136000,477433556164009/57836025000000,1799048936548809/170191853977600,206074174658187/20472524800000] | q=[0,21850253/7605000,42415197/13045760,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 62234, 64090 ] | perm=[ 1, 2, 3, 4 ] | eps=[1,1,1] | full=false | rho=952/975 sigma=-495/448 tau=-561/520 | intermediate=314721/270400 | F=[3713329/227136000,1469145198889/57836025000000,5535983119689/170191853977600,389554205403/20472524800000] | q=[0,1212083/7605000,2352867/13045760,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 64090, 62234 ] | perm=[ 1, 2, 4, 3 ] | eps=[-1,-1,1] | full=false | rho=-952/975 sigma=561/520 tau=-495/448 | intermediate=314721/270400 | F=[-1168561/227136000,284017582489/57836025000000,-122590228827/20472524800000,1070225423289/170191853977600] | q=[0,532933/7605000,0,1034517/13045760]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 64090, 62234 ] | perm=[ 1, 2, 4, 3 ] | eps=[-1,1,-1] | full=false | rho=-952/975 sigma=-561/520 tau=495/448 | intermediate=314721/270400 | F=[-889249/227136000,351823363609/57836025000000,-93288444843/20472524800000,1325728868409/170191853977600] | q=[0,593147/7605000,0,1151403/13045760]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 64090, 62234 ] | perm=[ 1, 2, 4, 3 ] | eps=[1,-1,-1] | full=false | rho=952/975 sigma=561/520 tau=495/448 | intermediate=314721/270400 | F=[1964351041/227136000,477433556164009/57836025000000,206074174658187/20472524800000,1799048936548809/170191853977600] | q=[0,21850253/7605000,0,42415197/13045760]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 55216, 56550, 64090, 62234 ] | perm=[ 1, 2, 4, 3 ] | eps=[1,1,1] | full=false | rho=952/975 sigma=-561/520 tau=-495/448 | intermediate=314721/270400 | F=[3713329/227136000,1469145198889/57836025000000,389554205403/20472524800000,5535983119689/170191853977600] | q=[0,1212083/7605000,0,2352867/13045760]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 56550, 55216, 62234, 64090 ] | perm=[ 2, 1, 3, 4 ] | eps=[-1,-1,1] | full=false | rho=-975/952 sigma=448/495 tau=-520/561 | intermediate=270400/314721 | F=[-889249/264365640,5143438447225/894490378113024,77912440384/17350765430625,-6011323240/2080035464661] | q=[0,2267915/29908032,279128/4165425,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 56550, 55216, 62234, 64090 ] | perm=[ 2, 1, 3, 4 ] | eps=[-1,1,-1] | full=false | rho=-975/952 sigma=-448/495 tau=520/561 | intermediate=270400/314721 | F=[-1168561/264365640,4152160159225/894490378113024,62896627264/17350765430625,-7899472360/2080035464661] | q=[0,2037685/29908032,250792/4165425,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 56550, 55216, 62234, 64090 ] | perm=[ 2, 1, 3, 4 ] | eps=[1,-1,-1] | full=false | rho=975/952 sigma=448/495 tau=520/561 | intermediate=270400/314721 | F=[1964351041/264365640,6979781227657225/894490378113024,105729230430784/17350765430625,13279013037160/2080035464661] | q=[0,83545085/29908032,10282472/4165425,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 56550, 55216, 62234, 64090 ] | perm=[ 2, 1, 3, 4 ] | eps=[1,1,1] | full=false | rho=975/952 sigma=-448/495 tau=-520/561 | intermediate=270400/314721 | F=[3713329/264365640,21477987769225/894490378113024,325347033664/17350765430625,25102104040/2080035464661] | q=[0,4634435/29908032,570392/4165425,0]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 56550, 55216, 64090, 62234 ] | perm=[ 2, 1, 4, 3 ] | eps=[-1,-1,1] | full=false | rho=-975/952 sigma=520/561 tau=-448/495 | intermediate=270400/314721 | F=[-1168561/264365640,4152160159225/894490378113024,-7899472360/2080035464661,62896627264/17350765430625] | q=[0,2037685/29908032,0,250792/4165425]
source=[ 55216, 56550, 62234, 64090 ] | ordered=[ 56550, 55216, 64090, 62234 ] | perm=[ 2, 1, 4, 3 ] | eps=[-1,1,-1] | full=false | rho=-975/952 sigma=-520/561 tau=448/495 | intermediate=270400/314721 | F=[-889249/264365640,5143438447225/894490378113024,-6011323240/2080035464661,77912440384/17350765430625] | q=[0,2267915/29908032,0,279128/4165425]
