# height=30 primes=[7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43] params=1111
# u v
-28 -11/27
-28 -13/28
-17 19/6
-13 -3/23
-6 29/30
22 17/6
24 26/19
26 -11/21
-29/2 -17/26
-15/2 29/5
-15/2 7/10
-11/2 -29/28
27/2 9/23
-11/3 -21/17
10/3 19/10
13/3 -17/21
-29/4 -4/13
-29/4 -20/17
-29/4 -7/17
15/4 29/9
21/4 16/19
-21/5 -19/23
-21/5 22/23
-18/5 2/23
-16/5 5/28
-13/5 -29/24
-6/5 -13/21
-1/5 -19/13
22/5 -23/19
29/5 -15/2
29/5 7/10
-23/6 1/14
-23/6 -17/25
17/6 22
19/6 -17
19/6 -29/9
19/6 -17/18
29/6 -5/26
-13/7 -9/8
-11/7 -14/29
-6/7 -3/23
1/7 -13/17
18/7 29/8
26/7 14/25
30/7 -20/13
30/7 -28/15
-29/8 12/23
-9/8 -13/7
3/8 7/15
29/8 18/7
-29/9 19/6
-29/9 -17/18
-28/9 -9/29
-22/9 -13/19
-17/9 -11/13
13/9 -12/23
17/9 19/29
29/9 15/4
-19/10 -14/17
-13/10 -17/15
7/10 -15/2
7/10 29/5
19/10 10/3
19/10 16/29
23/10 -26/29
-29/11 23/30
-28/11 20/29
-27/11 -12/29
-26/11 -24/19
-26/11 29/24
-20/11 -13/29
-15/11 -10/21
2/11 -14/27
9/11 23/13
9/11 -18/19
15/11 -23/18
25/11 -14/29
29/11 27/26
-29/12 -18/13
25/12 21/29
29/12 -8/13
29/12 -5/13
29/12 -28/25
-30/13 -4/17
-30/13 16/21
-29/13 -19/18
-22/13 -29/19
-20/13 30/7
-19/13 -1/5
-18/13 -29/12
-14/13 -23/22
-11/13 -17/9
-8/13 29/12
-5/13 29/12
-4/13 -29/4
-4/13 29/22
-4/13 -12/25
5/13 6/23
11/13 18/19
17/13 9/28
17/13 19/29
23/13 9/11
25/13 1/18
27/13 -28/25
28/13 -22/19
29/13 -14/23
-29/14 26/27
-27/14 -21/22
-25/14 -22/15
-23/14 2/27
-13/14 18/29
1/14 -23/6
13/14 -9/25
-28/15 30/7
-26/15 -10/23
-22/15 -25/14
-19/15 -13/28
-17/15 -13/10
-2/15 -29/28
7/15 3/8
-15/16 -21/22
-7/16 -29/24
21/16 20/27
-29/17 -22/19
-21/17 -11/3
-20/17 -29/4
-20/17 -9/22
-19/17 3/23
-16/17 -28/25
-16/17 1/29
-14/17 -19/10
-14/17 4/23
-13/17 1/7
-7/17 -29/4
-5/17 -14/29
-4/17 -30/13
9/17 7/30
-25/18 30/19
-23/18 15/11
-23/18 -28/25
-19/18 -29/13
-17/18 19/6
-17/18 -29/9
-17/18 -20/23
1/18 25/13
29/18 -15/26
-29/19 -22/13
-28/19 26/23
-27/19 -9/29
-26/19 -21/29
-24/19 -26/11
-23/19 22/5
-23/19 23/25
-23/19 29/25
-23/19 -2/29
-22/19 28/13
-22/19 -29/17
-22/19 28/25
-18/19 9/11
-16/19 -23/20
-13/19 -22/9
-10/19 -21/22
-8/19 -13/24
4/19 29/23
5/19 19/23
16/19 21/4
16/19 -15/22
18/19 11/13
26/19 24
26/19 -7/27
30/19 -25/18
-23/20 -16/19
-17/20 3/23
-11/20 -26/29
-29/21 -20/23
-22/21 -25/23
-19/21 -17/29
-17/21 13/3
-17/21 -13/22
-13/21 -6/5
-11/21 26
-10/21 -15/11
16/21 -30/13
19/21 5/23
29/21 -23/28
-29/22 -21/23
-27/22 -1/26
-23/22 -14/13
-21/22 -27/14
-21/22 -15/16
-21/22 -10/19
-21/22 23/27
-19/22 29/23
-19/22 -17/27
-15/22 16/19
-13/22 -17/21
-9/22 -20/17
29/22 -4/13
-28/23 -8/25
-26/23 -4/25
-25/23 -22/21
-21/23 -29/22
-20/23 -17/18
-20/23 -29/21
-19/23 -21/5
-14/23 29/13
-14/23 5/27
-12/23 13/9
