# height=30 primes=[7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43] params=1111
# u v
-30 -30
-30 0
-30 1
-30 28
-30 29
-30 29/2
-29 -29
-29 0
-29 1
-29 14
-29 27
-29 28
-29 14/15
-28 -28
-28 0
-28 1
-28 26
-28 27
-28 27/2
-28 -11/27
-28 -13/28
-28 27/29
-27 -27
-27 0
-27 1
-27 13
-27 25
-27 26
-27 13/14
-26 -26
-26 0
-26 1
-26 24
-26 25
-26 25/2
-26 25/27
-25 -25
-25 0
-25 1
-25 12
-25 23
-25 24
-25 12/13
-24 -24
-24 0
-24 1
-24 22
-24 23
-24 23/2
-24 23/25
-23 -23
-23 0
-23 1
-23 11
-23 21
-23 22
-23 11/12
-22 -22
-22 0
-22 1
-22 20
-22 21
-22 21/2
-22 21/23
-21 -21
-21 0
-21 1
-21 10
-21 19
-21 20
-21 10/11
-20 -20
-20 0
-20 1
-20 18
-20 19
-20 19/2
-20 19/21
-19 -19
-19 0
-19 1
-19 9
-19 17
-19 18
-19 9/10
-18 -18
-18 0
-18 1
-18 16
-18 17
-18 17/2
-18 17/19
-17 -17
-17 0
-17 1
-17 8
-17 15
-17 16
-17 19/6
-17 8/9
-16 -16
-16 0
-16 1
-16 14
-16 15
-16 15/2
-16 15/17
-15 -15
-15 0
-15 1
-15 7
-15 13
-15 14
-15 29
-15 7/8
-14 -14
-14 0
-14 1
-14 12
-14 13
-14 27
-14 13/2
-14 13/15
-13 -13
-13 0
-13 1
-13 6
-13 11
-13 12
-13 25
-13 6/7
-13 -3/23
-12 -12
-12 0
-12 1
-12 10
-12 11
-12 23
-12 11/2
-12 11/13
-11 -11
-11 0
-11 1
-11 5
-11 9
-11 10
-11 21
-11 5/6
-10 -10
-10 0
-10 1
-10 8
-10 9
-10 19
-10 9/2
-10 9/11
-9 -9
-9 0
-9 1
-9 4
-9 7
-9 8
-9 17
-9 4/5
-8 -8
-8 0
-8 1
-8 6
-8 7
-8 15
-8 7/2
-8 7/9
-7 -7
-7 0
-7 1
-7 3
-7 5
-7 6
-7 13
-7 3/4
-7 21/4
-6 -6
-6 0
-6 1
-6 2
-6 3
-6 4
-6 5
-6 11
-6 5/2
-6 5/7
-6 30/7
-6 29/30
-5 -5
-5 0
-5 1
-5 2
-5 3
-5 4
-5 9
-5 2/3
-5 10/3
-4 -4
-4 0
-4 1
-4 2
-4 3
-4 7
-4 3/2
-4 3/5
-4 12/5
-3 -3
-3 0
-3 1
-3 2
-3 5
-3 1/2
-3 3/2
-2 -2
-2 0
-2 1
-2 3
-2 1/2
-2 1/3
-2 2/3
-1 -1
-1 0
-1 1
0 -30
0 -29
0 -28
0 -27
0 -26
0 -25
0 -24
0 -23
0 -22
0 -21
0 -20
0 -19
0 -18
0 -17
0 -16
0 -15
0 -14
0 -13
0 -12
0 -11
0 -10
0 -9
0 -8
0 -7
0 -6
0 -5
0 -4
0 -3
0 -2
0 -1
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
0 16
0 17
0 18
0 19
0 20
0 21
0 22
0 23
0 24
0 25
0 26
0 27
0 28
0 29
0 30
0 -29/2
0 -27/2
0 -25/2
0 -23/2
0 -21/2
0 -19/2
0 -17/2
0 -15/2
0 -13/2
0 -11/2
0 -9/2
0 -7/2
0 -5/2
0 -3/2
0 -1/2
0 1/2
0 3/2
0 5/2
0 7/2
0 9/2
0 11/2
0 13/2
0 15/2
0 17/2
0 19/2
0 21/2
0 23/2
0 25/2
0 27/2
0 29/2
0 -29/3
0 -28/3
0 -26/3
0 -25/3
0 -23/3
0 -22/3
0 -20/3
0 -19/3
0 -17/3
0 -16/3
0 -14/3
0 -13/3
0 -11/3
0 -10/3
0 -8/3
0 -7/3
0 -5/3
0 -4/3
0 -2/3
0 -1/3
0 1/3
0 2/3
0 4/3
0 5/3
0 7/3
0 8/3
0 10/3
0 11/3
0 13/3
0 14/3
0 16/3
0 17/3
0 19/3
0 20/3
0 22/3
0 23/3
0 25/3
0 26/3
0 28/3
0 29/3
0 -29/4
0 -27/4
0 -25/4
0 -23/4
0 -21/4
0 -19/4
0 -17/4
0 -15/4
0 -13/4
0 -11/4
0 -9/4
0 -7/4
0 -5/4
0 -3/4
0 -1/4
0 1/4
0 3/4
0 5/4
0 7/4
0 9/4
0 11/4
0 13/4
0 15/4
0 17/4
0 19/4
0 21/4
0 23/4
0 25/4
0 27/4
0 29/4
0 -29/5
0 -28/5
0 -27/5
0 -26/5
0 -24/5
0 -23/5
0 -22/5
0 -21/5
0 -19/5
0 -18/5
0 -17/5
0 -16/5
0 -14/5
0 -13/5
0 -12/5
0 -11/5
0 -9/5
0 -8/5
0 -7/5
0 -6/5
0 -4/5
0 -3/5
0 -2/5
0 -1/5
0 1/5
0 2/5
0 3/5
0 4/5
0 6/5
0 7/5
0 8/5
0 9/5
0 11/5
0 12/5
0 13/5
0 14/5
0 16/5
0 17/5
0 18/5
0 19/5
0 21/5
0 22/5
0 23/5
0 24/5
0 26/5
0 27/5
0 28/5
0 29/5
0 -29/6
0 -25/6
0 -23/6
0 -19/6
0 -17/6
0 -13/6
0 -11/6
0 -7/6
0 -5/6
0 -1/6
0 1/6
0 5/6
0 7/6
0 11/6
0 13/6
0 17/6
0 19/6
0 23/6
0 25/6
0 29/6
0 -30/7
0 -29/7
0 -27/7
0 -26/7
0 -25/7
0 -24/7
0 -23/7
0 -22/7
0 -20/7
0 -19/7
0 -18/7
0 -17/7
0 -16/7
0 -15/7
0 -13/7
0 -12/7
0 -11/7
0 -10/7
0 -9/7
0 -8/7
0 -6/7
0 -5/7
0 -4/7
0 -3/7
0 -2/7
0 -1/7
0 1/7
0 2/7
0 3/7
0 4/7
0 5/7
0 6/7
0 8/7
0 9/7
0 10/7
0 11/7
0 12/7
0 13/7
0 15/7
0 16/7
0 17/7
0 18/7
0 19/7
0 20/7
0 22/7
0 23/7
0 24/7
0 25/7
0 26/7
0 27/7
0 29/7
0 30/7
0 -29/8
0 -27/8
0 -25/8
0 -23/8
0 -21/8
0 -19/8
0 -17/8
0 -15/8
0 -13/8
0 -11/8
0 -9/8
0 -7/8
0 -5/8
0 -3/8
0 -1/8
0 1/8
0 3/8
0 5/8
0 7/8
0 9/8
0 11/8
0 13/8
0 15/8
0 17/8
0 19/8
0 21/8
0 23/8
0 25/8
0 27/8
0 29/8
0 -29/9
0 -28/9
0 -26/9
0 -25/9
0 -23/9
0 -22/9
0 -20/9
0 -19/9
0 -17/9
0 -16/9
0 -14/9
0 -13/9
0 -11/9
0 -10/9
0 -8/9
0 -7/9
0 -5/9
0 -4/9
0 -2/9
0 -1/9
0 1/9
0 2/9
0 4/9
0 5/9
0 7/9
0 8/9
0 10/9
0 11/9
0 13/9
0 14/9
0 16/9
0 17/9
0 19/9
0 20/9
0 22/9
0 23/9
0 25/9
0 26/9
0 28/9
0 29/9
0 -29/10
0 -27/10
0 -23/10
0 -21/10
0 -19/10
0 -17/10
0 -13/10
0 -11/10
0 -9/10
0 -7/10
0 -3/10
0 -1/10
0 1/10
0 3/10
0 7/10
0 9/10
0 11/10
0 13/10
0 17/10
0 19/10
0 21/10
0 23/10
0 27/10
0 29/10
0 -30/11
0 -29/11
0 -28/11
0 -27/11
0 -26/11
0 -25/11
0 -24/11
0 -23/11
0 -21/11
