# height=80 primes=[7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73] params=7863
# u v
-80 -80
-80 0
-80 1
-80 78
-80 79
-80 79/2
-79 -79
-79 0
-79 1
-79 39
-79 77
-79 78
-79 39/40
-78 -78
-78 0
-78 1
-78 76
-78 77
-78 77/2
-78 77/79
-77 -77
-77 0
-77 1
-77 38
-77 75
-77 76
-77 38/39
-76 -76
-76 0
-76 1
-76 74
-76 75
-76 75/2
-76 75/77
-75 -75
-75 0
-75 1
-75 37
-75 73
-75 74
-75 37/38
-74 -74
-74 0
-74 1
-74 72
-74 73
-74 73/2
-74 73/75
-73 -73
-73 0
-73 1
-73 36
-73 71
-73 72
-73 36/37
-72 -72
-72 0
-72 1
-72 70
-72 71
-72 71/2
-72 71/73
-71 -71
-71 0
-71 1
-71 35
-71 69
-71 70
-71 35/36
-70 -70
-70 0
-70 1
-70 68
-70 69
-70 69/2
-70 69/71
-69 -69
-69 0
-69 1
-69 34
-69 67
-69 68
-69 34/35
-68 -68
-68 0
-68 1
-68 66
-68 67
-68 67/2
-68 67/69
-67 -67
-67 0
-67 1
-67 33
-67 65
-67 66
-67 33/34
-66 -66
-66 0
-66 1
-66 64
-66 65
-66 65/2
-66 65/67
-65 -65
-65 0
-65 1
-65 32
-65 63
-65 64
-65 32/33
-64 -64
-64 0
-64 1
-64 62
-64 63
-64 63/2
-64 63/65
-63 -63
-63 0
-63 1
-63 31
-63 61
-63 62
-63 31/32
-62 -62
-62 0
-62 1
-62 60
-62 61
-62 61/2
-62 61/63
-61 -61
-61 0
-61 1
-61 30
-61 59
-61 60
-61 30/31
-60 -60
-60 0
-60 1
-60 58
-60 59
-60 59/2
-60 59/61
-59 -59
-59 0
-59 1
-59 29
-59 57
-59 58
-59 29/30
-58 -58
-58 0
-58 1
-58 56
-58 57
-58 57/2
-58 57/59
-57 -57
-57 0
-57 1
-57 28
-57 55
-57 56
-57 28/29
-56 -56
-56 0
-56 1
-56 54
-56 55
-56 55/2
-56 55/57
-55 -55
-55 0
-55 1
-55 27
-55 53
-55 54
-55 27/28
-54 -54
-54 0
-54 1
-54 52
-54 53
-54 53/2
-54 53/55
-53 -53
-53 0
-53 1
-53 26
-53 51
-53 52
-53 26/27
-52 -52
-52 0
-52 1
-52 50
-52 51
-52 51/2
-52 51/53
-51 -51
-51 0
-51 1
-51 25
-51 49
-51 50
-51 25/26
-50 -50
-50 0
-50 1
-50 48
-50 49
-50 49/2
-50 49/51
-49 -49
-49 0
-49 1
-49 24
-49 47
-49 48
-49 24/25
-48 -48
-48 0
-48 1
-48 46
-48 47
-48 47/2
-48 47/49
-47 -47
-47 0
-47 1
-47 23
-47 45
-47 46
-47 23/24
-46 -46
-46 0
-46 1
-46 44
-46 45
-46 45/2
-46 45/47
-45 -45
-45 0
-45 1
-45 22
-45 43
-45 44
-45 22/23
-44 -44
-44 0
-44 1
-44 42
-44 43
-44 43/2
-44 43/45
-43 -43
-43 0
-43 1
-43 21
-43 41
-43 42
-43 21/22
-42 -42
-42 0
-42 1
-42 40
-42 41
-42 41/2
-42 41/43
-41 -41
-41 0
-41 1
-41 20
-41 39
-41 40
-41 20/21
-40 -40
-40 0
-40 1
-40 38
-40 39
-40 79
-40 39/2
-40 39/41
-39 -39
-39 0
-39 1
-39 19
-39 37
-39 38
-39 77
-39 19/20
-38 -38
-38 0
-38 1
-38 36
-38 37
-38 75
-38 37/2
-38 37/39
-37 -37
-37 0
-37 1
-37 18
-37 35
-37 36
-37 73
-37 18/19
-36 -36
-36 0
-36 1
-36 34
-36 35
-36 71
-36 35/2
-36 35/37
-35 -35
-35 0
-35 1
-35 17
-35 33
-35 34
-35 69
-35 17/18
-34 -34
-34 0
-34 1
-34 32
-34 33
-34 67
-34 33/2
-34 33/35
-33 -33
-33 0
-33 1
-33 16
-33 31
-33 32
-33 65
-33 16/17
-32 -32
-32 0
-32 1
-32 30
-32 31
-32 63
-32 31/2
-32 31/33
-31 -31
-31 0
-31 1
-31 15
-31 29
-31 30
-31 61
-31 15/16
-30 -30
-30 0
-30 1
-30 28
-30 29
-30 59
-30 29/2
-30 29/31
-29 -29
-29 0
-29 1
-29 14
-29 27
-29 28
-29 57
-29 14/15
-28 -28
-28 0
-28 1
-28 26
-28 27
-28 55
-28 27/2
-28 27/29
-27 -27
-27 0
-27 1
-27 13
-27 25
-27 26
-27 53
-27 13/14
-26 -26
-26 0
-26 1
-26 24
-26 25
-26 51
-26 25/2
-26 25/27
-25 -25
-25 0
-25 1
-25 12
-25 23
-25 24
-25 49
-25 12/13
-24 -24
-24 0
-24 1
-24 22
-24 23
-24 47
-24 23/2
-24 23/25
-23 -23
-23 0
-23 1
-23 11
-23 21
-23 22
-23 45
-23 11/12
-22 -22
-22 0
-22 1
-22 20
-22 21
-22 43
-22 21/2
-22 21/23
-21 -21
-21 0
-21 1
-21 10
-21 19
-21 20
-21 41
-21 10/11
-20 -20
-20 0
-20 1
-20 18
-20 19
-20 39
-20 19/2
-20 19/21
-19 -19
-19 0
-19 1
-19 9
-19 17
-19 18
