# p : simultaneous_allowed ; bad ; contact_ok ; halving_ok ; counts t=c,h
# Projective t=infinity is always conservatively allowed.
5 : 0 ; 0 ;  ; 2,3,4 ; 1=1/0,2=0/2,3=0/2,4=0/2
7 : 0,1 ; 1 ; 0 ; 0,3 ; 0=3/12,2=0/0,3=0/4,4=1/0,5=0/0,6=0/0
11 : 0 ;  ; 0 ; 0,6 ; 0=4/12,1=0/0,2=0/0,3=0/0,4=0/0,5=1/0,6=0/2,7=0/0,8=0/0,9=0/0,10=0/0
13 : 0 ;  ; 0 ; 0,2,3,8,9,12 ; 0=4/12,1=0/0,2=1/4,3=1/2,4=1/0,5=0/0,6=1/0,7=0/0,8=0/2,9=0/2,10=0/0,11=0/0,12=0/2
17 : 0,3,4 ; 3,4 ; 0 ; 0,6,10 ; 0=4/48,1=0/0,2=0/0,5=1/0,6=0/2,7=1/0,8=0/0,9=1/0,10=0/2,11=1/0,12=0/0,13=1/0,14=0/0,15=0/0,16=1/0
19 : 0,1 ;  ; 0,1 ; 0,1,7 ; 0=4/24,1=4/2,2=0/0,3=0/0,4=1/0,5=0/0,6=0/0,7=0/2,8=0/0,9=0/0,10=0/0,11=1/0,12=0/0,13=0/0,14=0/0,15=0/0,16=0/0,17=0/0,18=0/0
23 : 0,5 ; 5 ; 0 ; 0,4,10,20,22 ; 0=4/24,1=1/0,2=0/0,3=0/0,4=0/4,6=0/0,7=0/0,8=0/0,9=0/0,10=1/2,11=1/0,12=0/0,13=0/0,14=1/0,15=1/0,16=0/0,17=1/0,18=1/0,19=1/0,20=0/2,21=1/0,22=0/2
29 : 0,6,17 ; 17 ; 0,6 ; 0,6,7,13,15,19,21,22,24,25,27 ; 0=4/12,1=1/0,2=0/0,3=1/0,4=1/0,5=1/0,6=4/2,7=1/4,8=1/0,9=0/0,10=0/0,11=0/0,12=0/0,13=0/2,14=0/0,15=0/2,16=0/0,18=0/0,19=0/2,20=1/0,21=1/2,22=0/2,23=1/0,24=1/2,25=0/2,26=0/0,27=0/12,28=0/0
31 : 0 ;  ; 0 ; 0,1,7,11,12,20,26 ; 0=4/24,1=1/2,2=1/0,3=0/0,4=1/0,5=1/0,6=0/0,7=0/4,8=0/0,9=0/0,10=0/0,11=0/2,12=0/8,13=0/0,14=0/0,15=0/0,16=0/0,17=1/0,18=0/0,19=1/0,20=1/2,21=0/0,22=0/0,23=1/0,24=0/0,25=0/0,26=0/2,27=0/0,28=0/0,29=1/0,30=0/0
37 : 0,5 ; 5 ; 0 ; 0,2,3,8,18,20,23,26,27,32,35 ; 0=4/12,1=0/0,2=0/4,3=0/4,4=1/0,6=0/0,7=1/0,8=1/2,9=1/0,10=0/0,11=1/0,12=0/0,13=0/0,14=0/0,15=0/0,16=1/0,17=0/0,18=1/2,19=0/0,20=0/2,21=0/0,22=0/0,23=0/2,24=0/0,25=0/0,26=1/2,27=1/2,28=0/0,29=1/0,30=0/0,31=1/0,32=0/2,33=1/0,34=1/0,35=0/2,36=1/0
41 : 0,18 ; 18 ; 0 ; 0,5,10,13,17,21,23,24,27,29,32,33,39,40 ; 0=4/12,1=1/0,2=1/0,3=0/0,4=0/0,5=1/2,6=1/0,7=0/0,8=0/0,9=1/0,10=0/8,11=0/0,12=0/0,13=0/2,14=0/0,15=0/0,16=1/0,17=0/24,19=0/0,20=0/0,21=0/2,22=0/0,23=0/4,24=0/2,25=0/0,26=1/0,27=0/2,28=0/0,29=0/2,30=0/0,31=1/0,32=0/2,33=1/8,34=0/0,35=0/0,36=0/0,37=0/0,38=0/0,39=0/2,40=0/2
43 : 0 ;  ; 0,32 ; 0,2,3,4,7,8,10,15,25,39,41 ; 0=4/12,1=1/0,2=0/24,3=0/8,4=0/2,5=0/0,6=0/0,7=0/2,8=0/4,9=0/0,10=0/2,11=1/0,12=1/0,13=0/0,14=0/0,15=0/4,16=0/0,17=0/0,18=1/0,19=0/0,20=0/0,21=0/0,22=0/0,23=0/0,24=0/0,25=1/2,26=0/0,27=1/0,28=0/0,29=1/0,30=1/0,31=0/0,32=4/0,33=1/0,34=0/0,35=0/0,36=0/0,37=0/0,38=0/0,39=1/2,40=1/0,41=0/2,42=0/0
