# p : affine_allowed ; affine_bad ; good_contact_counts(r=count)
# The projective infinity residue is always conservatively allowed.
5 : 0,1,4 ; 0,1,4 ; 2=1,3=1
7 : 0,1,5,6 ; 0,1,5,6 ; 2=1,3=1,4=1
11 : 0,1,10 ; 0,1,10 ; 2=1,3=1,4=1,5=1,6=1,7=1,8=1,9=1
13 : 0,1,4,12 ; 0,1,12 ; 2=1,3=1,4=4,5=1,6=1,7=1,8=1,9=1,10=1,11=1
17 : 0,1,6,7,8,13,15,16 ; 0,1,7,8,13,15,16 ; 2=1,3=1,4=1,5=1,6=4,9=1,10=1,11=1,12=1,14=1
19 : 0,1,2,10,12,13,15,16,18 ; 0,1,2,16,18 ; 3=1,4=1,5=1,6=1,7=1,8=1,9=1,10=4,11=1,12=3,13=4,14=1,15=4,17=1
23 : 0,1,2,7,9,20,22 ; 0,1,7,20,22 ; 2=4,3=1,4=1,5=1,6=1,8=1,9=4,10=1,11=1,12=1,13=1,14=1,15=1,16=1,17=1,18=1,19=1,21=1
29 : 0,1,8,12,14,16,18,28 ; 0,1,28 ; 2=1,3=1,4=1,5=1,6=1,7=1,8=4,9=1,10=1,11=1,12=4,13=1,14=4,15=1,16=4,17=1,18=4,19=1,20=1,21=1,22=1,23=1,24=1,25=1,26=1,27=1
31 : 0,1,3,5,7,10,17,18,19,20,24,25,28,30 ; 0,1,10,25,30 ; 2=1,3=4,4=1,5=4,6=1,7=4,8=1,9=1,11=1,12=1,13=1,14=1,15=1,16=1,17=4,18=4,19=4,20=4,21=1,22=1,23=1,24=4,26=1,27=1,28=4,29=1
37 : 0,1,4,5,9,11,14,18,21,23,25,27,28,31,33,35,36 ; 0,1,36 ; 2=1,3=1,4=4,5=4,6=1,7=1,8=1,9=4,10=1,11=4,12=1,13=1,14=4,15=1,16=1,17=1,18=4,19=1,20=1,21=4,22=1,23=4,24=1,25=4,26=1,27=4,28=4,29=1,30=1,31=4,32=1,33=4,34=1,35=13
41 : 0,1,5,19,26,27,32,40 ; 0,1,19,26,40 ; 2=1,3=1,4=1,5=4,6=1,7=1,8=1,9=1,10=1,11=1,12=1,13=1,14=1,15=1,16=1,17=1,18=1,20=1,21=1,22=1,23=1,24=1,25=1,27=4,28=1,29=1,30=1,31=1,32=4,33=1,34=1,35=1,36=1,37=1,38=1,39=1
43 : 0,1,3,5,9,11,14,19,24,25,26,33,34,35,36,38,39,42 ; 0,1,5,19,42 ; 2=1,3=4,4=1,6=1,7=1,8=1,9=4,10=1,11=4,12=1,13=1,14=4,15=1,16=1,17=1,18=1,20=1,21=1,22=1,23=1,24=4,25=4,26=4,27=1,28=1,29=1,30=1,31=1,32=1,33=4,34=4,35=4,36=4,37=1,38=4,39=4,40=1,41=1
47 : 0,1,5,6,9,14,18,29,31,34,38,42,46 ; 0,1,9,29,31,42,46 ; 2=1,3=1,4=1,5=4,6=4,7=1,8=1,10=1,11=1,12=1,13=1,14=4,15=1,16=1,17=1,18=4,19=1,20=1,21=1,22=1,23=1,24=1,25=1,26=1,27=1,28=1,30=1,32=1,33=1,34=4,35=1,36=1,37=1,38=4,39=1,40=1,41=1,43=1,44=1,45=1
53 : 0,1,3,4,20,23,33,41,52 ; 0,1,3,4,23,33,52 ; 2=1,5=1,6=1,7=1,8=1,9=1,10=1,11=1,12=1,13=1,14=1,15=1,16=1,17=1,18=1,19=1,20=4,21=1,22=1,24=1,25=1,26=1,27=1,28=1,29=1,30=1,31=1,32=1,34=1,35=1,36=1,37=1,38=1,39=1,40=1,41=4,42=1,43=1,44=1,45=1,46=1,47=1,48=1,49=1,50=1,51=1
59 : 0,1,9,27,34,40,44,55,57,58 ; 0,1,9,27,58 ; 2=1,3=1,4=1,5=1,6=1,7=1,8=1,10=1,11=1,12=1,13=1,14=1,15=1,16=1,17=1,18=1,19=1,20=1,21=1,22=1,23=1,24=1,25=1,26=1,28=1,29=1,30=1,31=1,32=1,33=1,34=4,35=1,36=1,37=1,38=1,39=1,40=4,41=1,42=1,43=1,44=4,45=1,46=1,47=1,48=1,49=1,50=1,51=1,52=1,53=1,54=1,55=4,56=1,57=4
