
## p=11
base=(0, 0, 4)
f=7*x^5 + 1
open_q_count=110
candidate_q_R_count=133100
branch_count=100
smooth_branch_count=100
branch_0=(1, 0, 2, 9, 9, 9, 2, 2, 0, 0); fiber_det=5
branch_1=(1, 0, 4, 2, 2, 7, 9, 9, 0, 0); fiber_det=6
branch_2=(1, 0, 7, 9, 9, 7, 9, 9, 0, 0); fiber_det=5
branch_3=(1, 0, 9, 2, 2, 9, 2, 2, 0, 0); fiber_det=6
branch_4=(1, 5, 0, 2, 7, 1, 6, 10, 9, 9); fiber_det=4
branch_5=(1, 5, 0, 9, 4, 1, 6, 10, 9, 9); fiber_det=7
branch_6=(1, 5, 2, 7, 5, 4, 5, 1, 2, 2); fiber_det=7
branch_7=(1, 5, 9, 4, 6, 4, 5, 1, 2, 2); fiber_det=4
branch_8=(1, 7, 4, 0, 6, 2, 1, 4, 4, 2); fiber_det=1
branch_9=(1, 7, 7, 0, 5, 2, 1, 4, 4, 2); fiber_det=10
branch_10=(1, 8, 2, 9, 6, 6, 1, 8, 5, 2); fiber_det=3
branch_11=(1, 8, 9, 2, 5, 6, 1, 8, 5, 2); fiber_det=8
branch_12=(2, 3, 0, 4, 10, 1, 9, 6, 6, 3); fiber_det=7
branch_13=(2, 3, 0, 7, 1, 1, 9, 6, 6, 3); fiber_det=4
branch_14=(2, 3, 2, 5, 2, 4, 2, 5, 5, 8); fiber_det=7
branch_15=(2, 3, 9, 6, 9, 4, 2, 5, 5, 8); fiber_det=4
branch_16=(2, 5, 5, 10, 9, 2, 9, 7, 9, 8); fiber_det=1
branch_17=(2, 5, 6, 1, 2, 2, 9, 7, 9, 8); fiber_det=10
branch_18=(2, 10, 4, 2, 2, 9, 10, 4, 8, 8); fiber_det=6
branch_19=(2, 10, 7, 9, 9, 9, 10, 4, 8, 8); fiber_det=5
branch_20=(3, 0, 2, 3, 1, 9, 8, 10, 0, 0); fiber_det=5
branch_21=(3, 0, 4, 8, 10, 7, 3, 1, 0, 0); fiber_det=6
branch_22=(3, 0, 7, 3, 1, 7, 3, 1, 0, 0); fiber_det=5
branch_23=(3, 0, 9, 8, 10, 9, 8, 10, 0, 0); fiber_det=6
branch_24=(3, 1, 0, 3, 9, 1, 2, 6, 4, 5); fiber_det=7
branch_25=(3, 1, 0, 8, 2, 1, 2, 6, 4, 5); fiber_det=4
branch_26=(3, 1, 2, 6, 3, 4, 9, 5, 7, 6); fiber_det=7
branch_27=(3, 1, 9, 5, 8, 4, 9, 5, 7, 6); fiber_det=4
branch_28=(3, 6, 2, 3, 8, 6, 4, 7, 1, 6); fiber_det=3
branch_29=(3, 6, 9, 8, 3, 6, 4, 7, 1, 6); fiber_det=8
branch_30=(3, 8, 4, 0, 8, 2, 4, 9, 3, 6); fiber_det=1
branch_31=(3, 8, 7, 0, 3, 2, 4, 9, 3, 6); fiber_det=10
branch_32=(4, 0, 2, 5, 4, 9, 6, 7, 0, 0); fiber_det=5
branch_33=(4, 0, 4, 6, 7, 7, 5, 4, 0, 0); fiber_det=6
branch_34=(4, 0, 7, 5, 4, 7, 5, 4, 0, 0); fiber_det=5
branch_35=(4, 0, 9, 6, 7, 9, 6, 7, 0, 0); fiber_det=6
branch_36=(4, 2, 4, 0, 10, 2, 3, 3, 9, 8); fiber_det=1
branch_37=(4, 2, 7, 0, 1, 2, 3, 3, 9, 8); fiber_det=10
branch_38=(4, 3, 0, 5, 3, 1, 7, 2, 1, 3); fiber_det=7
branch_39=(4, 3, 0, 6, 8, 1, 7, 2, 1, 3); fiber_det=4
branch_40=(4, 3, 2, 10, 1, 4, 4, 9, 10, 8); fiber_det=7
branch_41=(4, 3, 9, 1, 10, 4, 4, 9, 10, 8); fiber_det=4
branch_42=(4, 7, 2, 5, 10, 6, 3, 6, 3, 8); fiber_det=3
branch_43=(4, 7, 9, 6, 1, 6, 3, 6, 3, 8); fiber_det=8
