torsion_subgroup,label,cond,abs_disc,eqn
[10],363.a2,363,43923,"[[-2,-1,10,7,-13,-11],[0,0,1]]"
[12],294.a1,294,294,"[[0,0,1,-1,1],[1,0,0,1]]"
[14],1352.a1,1352,1124864,"[[0,-4,1,-3,1,-1],[0,0,1,1]]"
[15],484.a1,484,1936,"[[1,0,2,0,1],[0,0,0,1]]"
[16],2700.d1,2700,911250000,"[[-125,0,97,0,-26,0,2],[0,1,0,1]]"
[18],490.a1,490,2352980,"[[-6,5,-7,2,-1,-1],[0,0,1,1]]"
[19],169.a1,169,169,"[[0,1,1],[1,0,1,1]]"
"[2,10]",256.a1,256,512,"[[0,0,-1,-1,-1,-1],[1,1,1,1]]"
"[2,12]",450.a2,450,36450,"[[-5,15,-8,-10,4,2],[0,1,1,1]]"
"[2,14]",86436.z3,86436,10587979958080896,"[[10,-6,-24,-5,-9,-3,9],[0,1,1]]"
"[2,16]",4608.h5,4608,1934917632,"[[2,7,16,18,16,7,2],[1,1,1,1]]"
"[2,18]",64980.bo1,64980,104862024990720,"[[36,66,12,-5,-3,-3,1],[0,1,1]]"
"[2,2,10]",30492.q1,30492,328628627712,"[[-20,-12,66,-2,-45,3,9],[0,1,1]]"
"[2,2,12]",1350.d1,1350,273375000,"[[1,-9,19,19,-55,-45],[0,1,1]]"
"[2,2,16]",69300.bu1,69300,14549673600000,"[[9,-33,3,61,3,-33,-11],[0,1,1]]"
"[2,2,2,2]",784.c1,784,256096265048064,"[[26,41,-44,-30,25,-4],[1,1]]"
"[2,2,2,4]",882.a5,882,189922851562500,"[[0,-21,-6,34,16,-3],[0,1,1]]"
"[2,2,2,6]",900.b2,900,10090298369529000000,"[[0,30,39,-72,-111,-30],[0,1,1]]"
"[2,2,2,8]",4410.d2,4410,56710659600,"[[-45,42,30,-23,-9,3,1],[0,1,1]]"
"[2,2,2]",315.a2,315,243855360,"[[0,1,32,268,129,16],[0,1]]"
"[2,2,4]",225.a3,225,2087354105856000,"[[0,-15,7,18,0,3,-2],[0,1,0,1]]"
"[2,2,6]",600.a1,600,18000,"[[0,1,-4,-3,3,2],[0,1,0,1]]"
"[2,2,8]",360.a1,360,6480,"[[0,1,1,-5,-4,6],[1,1]]"
"[2,20]",30492.q2,30492,41657590808064,"[[0,-18,42,-20,15,-3,1],[0,1,1]]"
"[2,24]",1440.c2,1440,25194240,"[[15,0,-6,0,-1],[0,1,0,1]]"
"[2,2]",256.a2,256,11928619582710272,"[[-60,-1,59,-1,59,0,-60],[1,1,1,1]]"
"[2,30]",13068.f2,13068,429229228032,"[[12,-36,18,23,-13,-5,1],[0,1,1]]"
"[2,4,4]",225.a5,225,120812547111963240960000,"[[0,15,40,0,161,-240],[0,1]]"
"[2,4,8]",573300.ir1,573300,490832899010034992656045955481600000,"[[7524,-1530,-10562,797,3630,140],[0,1,1]]"
"[2,48]",18900.e2,18900,59521392000000000,"[[1,-13,19,111,19,-13,1],[0,1,1]]"
"[2,4]",225.a1,225,223948800,"[[-16,6,-6,11,1,3],[1,0,1]]"
"[2,6,6]",132300.eo2,132300,18091291148437500000,"[[18,-54,9,71,-40,-5,25],[0,1,1]]"
"[2,6]",196.a2,196,106662334464,"[[-23,13,-14,-3,1,-2],[0,1,1]]"
"[2,8]",225.a8,225,267422836908796689945715200000,"[[-214,465,-279,447,-305,60,-175],[1,0,1]]"
[20],363.a3,363,7073843073,"[[-2,-7,0,3,-2,1],[0,1,0,1]]"
[21],324.a1,324,648,"[[0,0,1,2,2,1],[1,1,0,1]]"
[24],300.a1,300,3750000,"[[375,0,97,0,8],[0,1,0,1]]"
[25],42336.dw1,42336,3413194702848,"[[1,8,13,9,14,4,2],[0,0,1,1]]"
[27],7776.e2,7776,278628139008,"[[0,4,20,17,9,0,1],[1,1]]"
[28],4732.c1,4732,129008402432,"[[4,10,-4,-1,5,-3,1],[0,1,1]]"
[2],336.a1,336,172032,"[[-56,0,-75,0,15,0,-1],[0,1,0,1]]"
"[3,12]",2700.c1,2700,3359232000,"[[-8,12,6,-11,-3,3,1],[1,1,1]]"
"[3,24]",8100.e4,8100,26873856000,"[[4,6,-4,-6,5,-3,1],[0,1,1]]"
"[3,3]",361.a1,361,28768731136,"[[-2,6,-8,6,-8,6,-2],[]]"
"[3,6]",196.a4,196,5424906536727048,"[[27,-27,56,-13,21,8,6],[0,1,1]]"
"[3,9]",2916.e2,2916,139968,"[[0,-2,0,5,5,3,1],[1,1,1]]"
[30],4356.j1,4356,67744512,"[[2,6,10,11,10,6,2],[1,0,0,1]]"
[35],7436.a2,7436,1534038085937500000000000,"[[160,80,166,182,116,30,10],[0,1,1]]"
[36],4860.f1,4860,68797071360,"[[9,-9,-1,-5,5,-1,1],[0,1,1]]"
[3],324.a2,324,405000000000000000000000,"[[-54,-318,-479,92,302,-5,-54],[1,1,0,1]]"
"[4,12]",8100.j1,8100,816293376000,"[[9,-27,53,-62,53,-27,9],[0,1,1]]"
"[4,16]",50400.dj1,50400,2645395200000000,"[[252,0,-24,0,-4],[0,1,0,1]]"
"[4,4]",225.a6,225,3603291078374081785958400,"[[448,0,-7,0,-2,0,7],[0,0,1]]"
"[4,8]",225.a2,225,345600000,"[[0,-15,-5,-5],[0,1,0,1]]"
[40],3168.i1,3168,2909269592064,"[[66,0,12,0,2],[0,1,0,1]]"
[48],1764.a1,1764,1249949232,"[[3,0,9,0,-4],[0,1,0,1]]"
[4],289.a2,289,865457253675803617256691634176,"[[-7536,-4824,-4239,-744,-304,76,-4],[0,0,1,1]]"
"[5,10]",85500.cj1,85500,62520309325076889600000,"[[-135,135,11,-33,15,-3,9],[0,1,1]]"
"[5,5]",121.a1,121,59969536,"[[-2,4,2,5,2,1],[1,1,1,1]]"
[5],121.a2,121,28098410075794702336,"[[-344,348,-334,17,14,-36,-8],[]]"
"[6,6]",196.a1,196,21952,"[[1,3,6,7,6,3,1],[0,1,1]]"
[60],13500.r4,13500,25798901760000,"[[1,-7,25,-24,25,-7,1],[0,1,1]]"
[6],196.a3,196,765625000000,"[[-92,42,3,37,-12,-3,-5],[0,1,1]]"
[7],676.b3,676,5537792,"[[-3,-4,2,7,2,-4,-3],[1,0,0,1]]"
[8],300.a2,300,58593750000,"[[-15,0,7,0,-4],[0,1,0,1]]"
[9],722.a1,722,376367048,"[[-3,1,-5,1,-2,-1],[0,1,0,1]]"
[],1083.a2,1083,390963,"[[-6,-33,-14,95,-50,3,-1],[1]]"
