X1(13) fiber machinery ready
PROGRESS pts=200 surv=0 13.110s
PROGRESS pts=400 surv=0 25.680s
PROGRESS pts=600 surv=0 38.070s
PROGRESS pts=800 surv=0 50.400s
PROGRESS pts=1000 surv=0 62.630s
PROGRESS pts=1200 surv=0 74.930s
PROGRESS pts=1400 surv=0 87.140s
PROGRESS pts=1600 surv=0 99.360s
PROGRESS pts=1800 surv=0 111.540s
PROGRESS pts=2000 surv=0 123.690s
PROGRESS pts=2200 surv=0 135.820s
PROGRESS pts=2400 surv=0 148.000s
PROGRESS pts=2600 surv=0 160.290s
PROGRESS pts=2800 surv=0 172.500s
PROGRESS pts=3000 surv=0 184.820s
PROGRESS pts=3200 surv=0 197.060s
PROGRESS pts=3400 surv=0 209.280s
PROGRESS pts=3600 surv=0 221.530s
PROGRESS pts=3800 surv=0 233.740s
PROGRESS pts=4000 surv=0 245.850s
PROGRESS pts=4200 surv=0 257.900s
PROGRESS pts=4400 surv=0 270.130s
PROGRESS pts=4600 surv=0 282.510s
PROGRESS pts=4800 surv=0 294.820s
PROGRESS pts=5000 surv=0 307.170s
PROGRESS pts=5200 surv=0 319.840s
PROGRESS pts=5400 surv=0 331.870s
PROGRESS pts=5600 surv=0 344.050s
PROGRESS pts=5800 surv=0 356.260s
PROGRESS pts=6000 surv=0 368.540s
PROGRESS pts=6200 surv=0 380.780s
PROGRESS pts=6400 surv=0 392.830s
PROGRESS pts=6600 surv=0 405.050s
PROGRESS pts=6800 surv=0 417.300s
PROGRESS pts=7000 surv=0 429.380s
PROGRESS pts=7200 surv=0 441.640s
PROGRESS pts=7400 surv=0 453.910s
PROGRESS pts=7600 surv=0 466.210s
PROGRESS pts=7800 surv=0 478.960s
PROGRESS pts=8000 surv=0 491.390s
PROGRESS pts=8200 surv=0 503.700s
PROGRESS pts=8400 surv=0 515.990s
PROGRESS pts=8600 surv=0 528.280s
PROGRESS pts=8800 surv=0 540.640s
PROGRESS pts=9000 surv=0 552.950s
PROGRESS pts=9200 surv=0 565.250s
PROGRESS pts=9400 surv=0 577.530s
PROGRESS pts=9600 surv=0 589.670s
PROGRESS pts=9800 surv=0 601.950s
PROGRESS pts=10000 surv=0 614.790s
PROGRESS pts=10200 surv=0 627.130s
PROGRESS pts=10400 surv=0 639.400s
PROGRESS pts=10600 surv=0 651.680s
PROGRESS pts=10800 surv=0 663.930s
PROGRESS pts=11000 surv=0 676.080s
PROGRESS pts=11200 surv=0 688.300s
PROGRESS pts=11400 surv=0 700.590s
PROGRESS pts=11600 surv=0 712.830s
PROGRESS pts=11800 surv=0 725.130s
PROGRESS pts=12000 surv=0 737.340s
PROGRESS pts=12200 surv=0 749.560s
PROGRESS pts=12400 surv=0 761.770s
PROGRESS pts=12600 surv=0 773.990s
PROGRESS pts=12800 surv=0 786.160s
PROGRESS pts=13000 surv=0 798.430s
PROGRESS pts=13200 surv=0 810.680s
PROGRESS pts=13400 surv=0 822.820s
PROGRESS pts=13600 surv=0 835.200s
PROGRESS pts=13800 surv=0 847.420s
PROGRESS pts=14000 surv=0 859.760s
PROGRESS pts=14200 surv=0 872.040s
PROGRESS pts=14400 surv=0 884.320s
PROGRESS pts=14600 surv=0 896.660s
PROGRESS pts=14800 surv=0 909.070s
PROGRESS pts=15000 surv=0 921.710s
PROGRESS pts=15200 surv=0 934.100s
PROGRESS pts=15400 surv=0 946.430s
PROGRESS pts=15600 surv=0 958.960s
PROGRESS pts=15800 surv=0 971.280s
PROGRESS pts=16000 surv=0 983.550s
PROGRESS pts=16200 surv=0 995.800s
PROGRESS pts=16400 surv=0 1008.040s
PROGRESS pts=16600 surv=0 1020.380s
PROGRESS pts=16800 surv=0 1032.660s
PROGRESS pts=17000 surv=0 1045.020s
PROGRESS pts=17200 surv=0 1057.150s
PROGRESS pts=17400 surv=0 1069.430s
SEARCH_DONE q13c3 SH=120 part 1/1 pts=17540 survivors=0 1078.2 s
