SWEEP_START shard=0/3 2026-08-01 11:35:43
SWEEP_START shard=1/3 2026-08-01 11:35:43
SWEEP_START shard=2/3 2026-08-01 11:35:43
BASE_DONE r=0/1 s=1/1 rc=0 hits=0
BASE_DONE r=0/1 s=2/1 rc=0 hits=0
BASE_DONE r=0/1 s=-1/1 rc=0 hits=0
BASE_DONE r=0/1 s=-2/1 rc=0 hits=0
BASE_DONE r=0/1 s=-3/1 rc=0 hits=0
BASE_DONE r=0/1 s=3/1 rc=0 hits=0
BASE_DONE r=0/1 s=1/2 rc=0 hits=0
BASE_DONE r=0/1 s=-1/2 rc=0 hits=0
BASE_DONE r=0/1 s=3/2 rc=0 hits=0
BASE_DONE r=0/1 s=-3/2 rc=0 hits=0
BASE_DONE r=0/1 s=1/3 rc=0 hits=0
BASE_DONE r=0/1 s=-1/3 rc=0 hits=0
BASE_DONE r=0/1 s=2/3 rc=0 hits=0
BASE_DONE r=1/1 s=2/1 rc=0 hits=0
BASE_DONE r=0/1 s=-2/3 rc=0 hits=0
BASE_DONE r=1/1 s=-2/1 rc=0 hits=0
BASE_DONE r=1/1 s=-3/1 rc=0 hits=0
BASE_DONE r=1/1 s=3/1 rc=0 hits=0
BASE_DONE r=1/1 s=1/2 rc=0 hits=0
BASE_DONE r=1/1 s=3/2 rc=0 hits=0
BASE_DONE r=1/1 s=-1/2 rc=0 hits=0
BASE_DONE r=1/1 s=-3/2 rc=0 hits=0
BASE_DONE r=1/1 s=-1/3 rc=0 hits=0
BASE_DONE r=-1/1 s=1/1 rc=0 hits=0
BASE_DONE r=-1/1 s=3/1 rc=0 hits=0
BASE_DONE r=1/1 s=1/3 rc=0 hits=0
BASE_DONE r=1/1 s=2/3 rc=0 hits=0
BASE_DONE r=-1/1 s=-1/2 rc=0 hits=0
BASE_DONE r=-1/1 s=2/1 rc=0 hits=0
BASE_DONE r=1/1 s=-2/3 rc=0 hits=0
BASE_DONE r=-1/1 s=1/3 rc=0 hits=0
BASE_DONE r=-1/1 s=-3/1 rc=0 hits=0
BASE_DONE r=-1/1 s=-2/1 rc=0 hits=0
BASE_DONE r=-1/1 s=1/2 rc=0 hits=0
BASE_DONE r=-1/1 s=3/2 rc=0 hits=0
BASE_DONE r=-1/1 s=-2/3 rc=0 hits=0
BASE_DONE r=-1/1 s=-3/2 rc=0 hits=0
BASE_DONE r=-1/1 s=-1/3 rc=0 hits=0
BASE_DONE r=2/1 s=3/2 rc=0 hits=0
BASE_DONE r=2/1 s=3/1 rc=0 hits=0
BASE_DONE r=2/1 s=-2/3 rc=0 hits=0
BASE_DONE r=-1/1 s=2/3 rc=0 hits=0
BASE_DONE r=2/1 s=-3/2 rc=0 hits=0
BASE_DONE r=-2/1 s=2/1 rc=0 hits=0
BASE_DONE r=2/1 s=-3/1 rc=0 hits=0
BASE_DONE r=-2/1 s=-3/1 rc=0 hits=0
BASE_DONE r=2/1 s=2/3 rc=0 hits=0
BASE_DONE r=-2/1 s=3/2 rc=0 hits=0
BASE_DONE r=-2/1 s=2/3 rc=0 hits=0
BASE_DONE r=-2/1 s=3/1 rc=0 hits=0
BASE_DONE r=-2/1 s=-2/3 rc=0 hits=0
BASE_DONE r=3/1 s=-3/2 rc=0 hits=0
BASE_DONE r=-3/1 s=3/1 rc=0 hits=0
BASE_DONE r=-2/1 s=-3/2 rc=0 hits=0
BASE_DONE r=1/2 s=2/1 rc=0 hits=0
BASE_DONE r=-3/1 s=-3/2 rc=0 hits=0
BASE_DONE r=3/1 s=3/2 rc=0 hits=0
BASE_DONE r=1/2 s=-3/1 rc=0 hits=0
BASE_DONE r=1/2 s=3/1 rc=0 hits=0
BASE_DONE r=1/2 s=-3/2 rc=0 hits=0
BASE_DONE r=-3/1 s=3/2 rc=0 hits=0
BASE_DONE r=1/2 s=1/3 rc=0 hits=0
BASE_DONE r=1/2 s=-2/1 rc=0 hits=0
BASE_DONE r=1/2 s=2/3 rc=0 hits=0
BASE_DONE r=1/2 s=3/2 rc=0 hits=0
BASE_DONE r=1/2 s=-2/3 rc=0 hits=0
BASE_DONE r=-1/2 s=-2/1 rc=0 hits=0
BASE_DONE r=-1/2 s=1/2 rc=0 hits=0
BASE_DONE r=1/2 s=-1/3 rc=0 hits=0
BASE_DONE r=-1/2 s=3/1 rc=0 hits=0
BASE_DONE r=-1/2 s=3/2 rc=0 hits=0
BASE_DONE r=-1/2 s=2/1 rc=0 hits=0
BASE_DONE r=-1/2 s=1/3 rc=0 hits=0
BASE_DONE r=-1/2 s=-3/1 rc=0 hits=0
BASE_DONE r=-1/2 s=-1/3 rc=0 hits=0
BASE_DONE r=-1/2 s=-3/2 rc=0 hits=0
BASE_DONE r=-1/2 s=-2/3 rc=0 hits=0
BASE_DONE r=-3/2 s=3/2 rc=0 hits=0
BASE_DONE r=1/3 s=3/1 rc=0 hits=0
BASE_DONE r=1/3 s=-2/1 rc=0 hits=0
BASE_DONE r=-1/2 s=2/3 rc=0 hits=0
BASE_DONE r=1/3 s=-3/2 rc=0 hits=0
BASE_DONE r=1/3 s=3/2 rc=0 hits=0
BASE_DONE r=1/3 s=2/1 rc=0 hits=0
BASE_DONE r=1/3 s=-3/1 rc=0 hits=0
BASE_DONE r=-1/3 s=2/1 rc=0 hits=0
BASE_DONE r=1/3 s=-2/3 rc=0 hits=0
BASE_DONE r=-1/3 s=-3/1 rc=0 hits=0
BASE_DONE r=1/3 s=2/3 rc=0 hits=1
HIT22 r=1/3 s=2/3 d=0 q=8/3 TORSION=[ 2, 22 ] f=X^6 - 2*X^5 + 37/9*X^4 - 20/3*X^3 + 628/81*X^2 - 352/81*X + 64/81
BASE_DONE r=-1/3 s=3/1 rc=0 hits=0
BASE_DONE r=-1/3 s=1/3 rc=0 hits=0
BASE_DONE r=-1/3 s=-2/1 rc=0 hits=0
BASE_DONE r=2/3 s=3/1 rc=0 hits=0
BASE_DONE r=-1/3 s=-3/2 rc=0 hits=0
BASE_DONE r=-1/3 s=-2/3 rc=0 hits=0
BASE_DONE r=-1/3 s=3/2 rc=0 hits=0
BASE_DONE r=2/3 s=-3/2 rc=0 hits=0
BASE_DONE r=-1/3 s=2/3 rc=0 hits=0
BASE_DONE r=2/3 s=3/2 rc=0 hits=0
BASE_DONE r=-2/3 s=3/2 rc=0 hits=0
SWEEP_SHARD_DONE shard=0 2026-08-01 11:48:09
BASE_DONE r=2/3 s=-3/1 rc=0 hits=0
BASE_DONE r=-2/3 s=-3/1 rc=0 hits=0
BASE_DONE r=-2/3 s=2/3 rc=0 hits=0
SWEEP_SHARD_DONE shard=2 2026-08-01 11:48:35
BASE_DONE r=-2/3 s=3/1 rc=0 hits=0
BASE_DONE r=-2/3 s=-3/2 rc=0 hits=0
SWEEP_SHARD_DONE shard=1 2026-08-01 11:49:13
SWEEP_START shard=0/3 2026-08-01 11:50:23
SWEEP_START shard=2/3 2026-08-01 11:50:23
SWEEP_START shard=1/3 2026-08-01 11:50:23
BASE_DONE r=0/1 s=-4/1 rc=0 hits=0
BASE_DONE r=0/1 s=4/1 rc=0 hits=0
