DS62 dsc EXACT = -16*u^5 - 80*u^4 - 144*u^3 - 96*u^2 + 16
Flynn43 u=-11 v=49/4 t=-441/4 q4=[1, 3] 
Flynn43 u=-7 v=9 t=-36 q4=[1, 3] 
Flynn43 u=-1 v=9/4 t=-9/4 q4=[1, 3] 
Flynn43 u=1 v=1 t=4/3 q4=[4] 
Flynn43 u=-53/2 v=441/16 t=-11025/16 q4=[1, 3] 
Flynn43 u=-19/2 v=169/16 t=-1521/16 q4=[1, 3] 
Flynn43 u=-77/3 v=961/36 t=-24025/36 q4=[1, 3] 
Flynn43 u=-53/3 v=169/9 t=-2704/9 q4=[1, 3] 
Flynn43 u=-13/3 v=49/9 t=-196/9 q4=[1, 3] 
Flynn43 u=-29/4 v=49/4 t=-441/16 q4=[1, 3] 
Flynn43 u=11/4 v=9/4 t=-9/16 q4=[1, 3] 
Flynn43 u=-187/5 v=961/25 t=-34596/25 q4=[1, 3] 
Flynn43 u=-83/5 v=441/25 t=-7056/25 q4=[1, 3] 
Flynn43 u=-257/7 v=1849/49 t=-66564/49 q4=[1, 3] 
Flynn43 u=-79/9 v=169/9 t=-2704/81 q4=[1, 3] 
Flynn43 u=-61/9 v=361/36 t=-9025/324 q4=[1, 3] 
Flynn43 u=17/9 v=49/36 t=-49/324 q4=[1, 3] 
Flynn43 u=41/9 v=49/9 t=-196/81 q4=[1, 3] 
Flynn43 u=-103/12 v=361/36 t=-9025/144 q4=[1, 3] 
Flynn43 u=1/12 v=49/36 t=-49/144 q4=[1, 3] 
Flynn43 u=-169/16 v=441/16 t=-11025/256 q4=[1, 3] 
Flynn43 u=103/16 v=169/16 t=-1521/256 q4=[1, 3] 
Flynn43 u=-143/18 v=1369/144 t=-67081/1296 q4=[1, 3] 
Flynn43 u=7/18 v=169/144 t=-169/1296 q4=[1, 3] 
Flynn43 u=-281/20 v=1521/100 t=-74529/400 q4=[1, 3] 
Flynn43 u=-49/20 v=361/100 t=-3249/400 q4=[1, 3] 
Flynn43 u=-311/25 v=961/25 t=-34596/625 q4=[1, 3] 
Flynn43 u=-199/25 v=1521/100 t=-74529/2500 q4=[1, 3] 
Flynn43 u=91/25 v=361/100 t=-3249/2500 q4=[1, 3] 
Flynn43 u=209/25 v=441/25 t=-7056/625 q4=[1, 3] 
Flynn43 u=-611/28 v=4489/196 t=-363609/784 q4=[1, 3] 
Flynn43 u=-187/28 v=1521/196 t=-38025/784 q4=[1, 3] 
Flynn43 u=-1141/36 v=10609/324 t=-1283689/1296 q4=[1, 3] 
Flynn43 u=-547/36 v=9409/576 t=-1138489/5184 q4=[1, 3] 
Flynn43 u=-517/36 v=1849/36 t=-90601/1296 q4=[1, 3] 
Flynn43 u=-461/36 v=4489/324 t=-219961/1296 q4=[1, 3] 
Flynn43 u=-109/36 v=2401/576 t=-60025/5184 q4=[1, 3] 
Flynn43 u=371/36 v=961/36 t=-24025/1296 q4=[1, 3] 
Flynn43 u=-1919/44 v=21609/484 t=-3651921/1936 q4=[1, 3] 
Flynn43 u=-919/44 v=10609/484 t=-859329/1936 q4=[1, 3] 
Flynn43 u=-917/45 v=19321/900 t=-3265249/8100 q4=[1, 3] 
Flynn43 u=-419/45 v=2401/225 t=-153664/2025 q4=[1, 3] 
Flynn43 u=-263/45 v=6241/900 t=-305809/8100 q4=[1, 3] 
Flynn43 u=-11/45 v=361/225 t=-1444/2025 q4=[1, 3] 
Flynn43 u=-323/48 v=1369/144 t=-67081/2304 q4=[1, 3] 
Flynn43 u=77/48 v=169/144 t=-169/2304 q4=[1, 3] 
Flynn43 members found: 46
DS43 u=-13 v=97/4 t=-441/16 q4=[1, 3] 
DS43 u=-9 v=17 t=-9 q4=[1, 3] 
DS43 u=-3 v=17/4 t=-9/16 q4=[1, 3] 
DS43 u=-1 v=1 t=1/3 q4=[4] 
DS43 u=-57/2 v=881/16 t=-11025/64 q4=[1, 3] 
DS43 u=-23/2 v=337/16 t=-1521/64 q4=[1, 3] 
DS43 u=-83/3 v=1921/36 t=-24025/144 q4=[1, 3] 
DS43 u=-59/3 v=337/9 t=-676/9 q4=[1, 3] 
DS43 u=-19/3 v=97/9 t=-49/9 q4=[1, 3] 
DS43 u=-37/4 v=41/2 t=-441/64 q4=[1, 3] 
DS43 u=3/4 v=1/2 t=-9/64 q4=[1, 3] 
DS43 u=-197/5 v=1921/25 t=-8649/25 q4=[1, 3] 
DS43 u=-93/5 v=881/25 t=-1764/25 q4=[1, 3] 
DS43 u=-271/7 v=3697/49 t=-16641/49 q4=[1, 3] 
DS43 u=-97/9 v=257/9 t=-676/81 q4=[1, 3] 
DS43 u=-79/9 v=641/36 t=-9025/1296 q4=[1, 3] 
DS43 u=-1/9 v=17/36 t=-49/1296 q4=[1, 3] 
DS43 u=23/9 v=17/9 t=-49/81 q4=[1, 3] 
DS43 u=-127/12 v=353/18 t=-9025/576 q4=[1, 3] 
DS43 u=-23/12 v=41/18 t=-49/576 q4=[1, 3] 
DS43 u=-201/16 v=313/8 t=-11025/1024 q4=[1, 3] 
DS43 u=71/16 v=41/8 t=-1521/1024 q4=[1, 3] 
DS43 u=-179/18 v=2657/144 t=-67081/5184 q4=[1, 3] 
DS43 u=-29/18 v=257/144 t=-169/5184 q4=[1, 3] 
DS43 u=-321/20 v=1513/50 t=-74529/1600 q4=[1, 3] 
DS43 u=-89/20 v=353/50 t=-3249/1600 q4=[1, 3] 
DS43 u=-361/25 v=1297/25 t=-8649/625 q4=[1, 3] 
DS43 u=-249/25 v=2417/100 t=-74529/10000 q4=[1, 3] 
DS43 u=41/25 v=97/100 t=-3249/10000 q4=[1, 3] 
DS43 u=159/25 v=257/25 t=-1764/625 q4=[1, 3] 
DS43 u=-667/28 v=4481/98 t=-363609/3136 q4=[1, 3] 
DS43 u=-243/28 v=1513/98 t=-38025/3136 q4=[1, 3] 
DS43 u=-1213/36 v=10601/162 t=-1283689/5184 q4=[1, 3] 
DS43 u=-619/36 v=18737/576 t=-1138489/20736 q4=[1, 3] 
DS43 u=-589/36 v=1201/18 t=-90601/5184 q4=[1, 3] 
DS43 u=-533/36 v=4481/162 t=-219961/5184 q4=[1, 3] 
DS43 u=-181/36 v=4721/576 t=-60025/20736 q4=[1, 3] 
DS43 u=299/36 v=313/18 t=-24025/5184 q4=[1, 3] 
DS43 u=-2007/44 v=21601/242 t=-3651921/7744 q4=[1, 3] 
DS43 u=-1007/44 v=10601/242 t=-859329/7744 q4=[1, 3] 
DS43 u=-1007/45 v=38561/900 t=-3265249/32400 q4=[1, 3] 
DS43 u=-509/45 v=4721/225 t=-38416/2025 q4=[1, 3] 
DS43 u=-353/45 v=12401/900 t=-305809/32400 q4=[1, 3] 
DS43 u=-101/45 v=641/225 t=-361/2025 q4=[1, 3] 
DS43 u=-419/48 v=1241/72 t=-67081/9216 q4=[1, 3] 
DS43 u=-19/48 v=41/72 t=-169/9216 q4=[1, 3] 
DS43 members found: 46
