# claude_ov_2216_sweep surface=0 Hu=2000 Hk=2000 threads=96 nprime=24
HIT 0 25 24 5 21
HIT 0 25 24 5 56
HIT 0 49 40 3 5
HIT 0 49 40 21 200
HIT 0 25 16 15 44
HIT 0 25 16 1335 1264
HIT 0 -49 15 8 5
HIT 0 -49 15 56 75
HIT 0 -8 17 5 3
HIT 0 -8 17 265 51
HIT 0 -8 17 220 153
HIT 0 -8 17 940 459
HIT 0 -625 104 1350 247
HIT 0 60 61 179 22
HIT 0 121 105 44 175
HIT 0 -81 161 495 322
HIT 0 -81 161 1749 322
HIT 0 -72 217 255 217
HIT 0 1681 385 1476 371
# TOTAL pairs=11840683594424 survivors=19 degenerate_dropped=16
SEARCH_DONE surface=0 Hu=2000 Hk=2000 nprime=24
