MODP_START primes=[ 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79 ] children=8
MODP p=17 built=704 ds1=32 | all: c44=704 c48=320 c88=32 | ds1: d44=32 d48=32 d88=32
MODP p=47 built=37048 ds1=3616 | all: c44=37048 c48=19368 c88=3080 | ds1: d44=3616 d48=3064 d88=1512
MODP p=19 built=1376 ds1=64 | all: c44=1376 c48=624 c88=112 | ds1: d44=64 d48=56 d88=40
MODP p=53 built=51264 ds1=4384 | all: c44=51264 c48=26640 c88=4528 | ds1: d44=4384 d48=4384 d88=3872
MODP p=23 built=2920 ds1=192 | all: c44=2920 c48=1776 c88=80 | ds1: d44=192 d48=168 d88=64
MODP p=59 built=78736 ds1=8256 | all: c44=78736 c48=42296 c88=6256 | ds1: d44=8256 d48=7224 d88=3368
MODP p=29 built=6048 ds1=320 | all: c44=6048 c48=2544 c88=496 | ds1: d44=320 d48=320 d88=320
MODP p=61 built=82208 ds1=7456 | all: c44=82208 c48=41104 c88=8320 | ds1: d44=7456 d48=7456 d88=6368
MODP p=31 built=8792 ds1=736 | all: c44=8792 c48=4216 c88=1048 | ds1: d44=736 d48=624 d88=400
MODP p=67 built=119168 ds1=12736 | all: c44=119168 c48=65984 c88=9264 | ds1: d44=12736 d48=11360 d88=5192
MODP p=37 built=14720 ds1=1120 | all: c44=14720 c48=7072 c88=1296 | ds1: d44=1120 d48=1120 d88=1008
MODP p=71 built=143752 ds1=15488 | all: c44=143752 c48=79296 c88=11936 | ds1: d44=15488 d48=13824 d88=6464
MODP p=41 built=21152 ds1=1600 | all: c44=21152 c48=11040 c88=1664 | ds1: d44=1600 d48=1600 d88=1232
MODP p=73 built=148768 ds1=14432 | all: c44=148768 c48=74240 c88=16672 | ds1: d44=14432 d48=14368 d88=11408
MODP p=43 built=27440 ds1=2624 | all: c44=27440 c48=14216 c88=2256 | ds1: d44=2624 d48=2272 d88=1120
MODP p=79 built=202616 ds1=22304 | all: c44=202616 c48=112520 c88=16392 | ds1: d44=22304 d48=20104 d88=9208
MODP_DONE
