DISCCHECK  b1^2-4a2c0 - 16(u-1)^2*E(-u) = 0
CONTROL x^4-4x^2+2 : Gal<=D4 by resolvent? 1   polgalois=[4, -1, 1, "C(4) = 4"]
CONTROL x^4+x^3+x^2+x+1 : 1   polgalois=[4, -1, 1, "C(4) = 4"]
CONTROL x^4+x+1 : 0   polgalois=[24, -1, 5, "S4"]
E = -368  conductor=92  torsion=1
G=(0,1) on E? 1  order=0  canonical height=0.049808397298064826640169093397182917876
MEMBER n=-40 sg=0 hgt=69 q4type=[4] D4=1 u=6540830439223742933374339840878566/41096818931238252067495946920725625
MEMBER n=-40 sg=1 hgt=69 q4type=[4] D4=1 u=6540830439223742933374339840878566/41096818931238252067495946920725625
MEMBER n=-39 sg=0 hgt=66 q4type=[4] D4=1 u=859449033963899297145510214242025/398940654957322100028187288268161
MEMBER n=-39 sg=1 hgt=66 q4type=[4] D4=1 u=859449033963899297145510214242025/398940654957322100028187288268161
MEMBER n=-38 sg=0 hgt=64 q4type=[4] D4=1 u=15020642032944348520487839412602/17973474862309106589601873152601
MEMBER n=-38 sg=1 hgt=64 q4type=[4] D4=1 u=15020642032944348520487839412602/17973474862309106589601873152601
MEMBER n=-37 sg=0 hgt=61 q4type=[4] D4=1 u=-437627422213199637245328940984/141386747802120398774875628041
MEMBER n=-37 sg=1 hgt=61 q4type=[4] D4=1 u=-437627422213199637245328940984/141386747802120398774875628041
MEMBER n=-36 sg=0 hgt=57 q4type=[4] D4=1 u=-6781011268391491913075959953/2663894463092781634888395664
MEMBER n=-36 sg=1 hgt=57 q4type=[4] D4=1 u=-6781011268391491913075959953/2663894463092781634888395664
MEMBER n=-35 sg=0 hgt=54 q4type=[4] D4=1 u=294831303119904880993530104/325222232895598077741180249
MEMBER n=-35 sg=1 hgt=54 q4type=[4] D4=1 u=294831303119904880993530104/325222232895598077741180249
MEMBER n=-34 sg=0 hgt=51 q4type=[4] D4=1 u=17055465952419328515579402/8157745971518399223852361
MEMBER n=-34 sg=1 hgt=51 q4type=[4] D4=1 u=17055465952419328515579402/8157745971518399223852361
MEMBER n=-33 sg=0 hgt=47 q4type=[4] D4=1 u=20474488055339435098745/223607805241527945862849
MEMBER n=-33 sg=1 hgt=47 q4type=[4] D4=1 u=20474488055339435098745/223607805241527945862849
MEMBER n=-32 sg=0 hgt=44 q4type=[4] D4=1 u=-22379370005738739196394/51387314901914106025
MEMBER n=-32 sg=1 hgt=44 q4type=[4] D4=1 u=-22379370005738739196394/51387314901914106025
MEMBER n=-31 sg=0 hgt=42 q4type=[4] D4=1 u=-56426175000537849980/559949373539068826041
MEMBER n=-31 sg=1 hgt=42 q4type=[4] D4=1 u=-56426175000537849980/559949373539068826041
MEMBER n=-30 sg=0 hgt=40 q4type=[4] D4=1 u=29432571293447601443/15489782017549657444
