NB n=-1 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=4
NB n=-4 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=17
NB n=-5 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=8
NB n=-5 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=17
NB n=-6 sg=1 seedtype=[2, 4] nbtype=[1, 1, 4] nb2rank=1 guard=4 nbdigits=5
NB n=-6 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=23
NB n=-7 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=14
NB n=-7 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=33
NB n=-8 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=20
NB n=-8 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=39
NB n=-9 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=24
NB n=-9 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=44
NB n=-10 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=32
NB n=-10 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=58
NB n=-11 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=37
NB n=-11 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=67
NB n=-12 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=41
NB n=-12 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=74
NB n=-13 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=56
NB n=-13 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=94
NB n=-14 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=71
NB n=-14 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=103
NB n=-15 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=77
NB n=-15 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=118
NB n=-16 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=91
NB n=-16 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=134
NB n=-17 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=104
NB n=-17 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=147
NB n=-18 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=116
NB n=-18 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=164
NB n=-19 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=133
