SPLITSIEVE H=3200 threads=192  SIG=6/1 PRD=2/1 TAU=3/1  primes=60
#values=12453069
cold table 8.52 GB
tables built
PROGRESS H<=25  pairs=317206 realpass=167402 (52.7739%) cands=0  0.2s
PROGRESS H<=50  pairs=4781778 realpass=2544847 (53.2197%) cands=0  0.5s
PROGRESS H<=75  pairs=24085270 realpass=12835569 (53.2922%) cands=0  0.7s
PROGRESS H<=100  pairs=74084878 realpass=39534194 (53.3634%) cands=0  1.1s
PROGRESS H<=125  pairs=183945790 realpass=98156599 (53.3617%) cands=0  1.5s
PROGRESS H<=150  pairs=376161306 realpass=200738204 (53.3649%) cands=0  1.9s
PROGRESS H<=175  pairs=702244026 realpass=374770646 (53.3676%) cands=0  2.3s
PROGRESS H<=200  pairs=1196803350 realpass=638615164 (53.3601%) cands=0  2.8s
PROGRESS H<=225  pairs=1903969486 realpass=1016391788 (53.3828%) cands=0  3.4s
PROGRESS H<=250  pairs=2895034278 realpass=1545256765 (53.3761%) cands=0  4.1s
PROGRESS H<=275  pairs=4261906650 realpass=2274863264 (53.3767%) cands=0  4.9s
PROGRESS H<=300  pairs=6004819666 realpass=3205286980 (53.3786%) cands=0  6.0s
PROGRESS H<=325  pairs=8300452590 realpass=4430786951 (53.3801%) cands=0  7.3s
PROGRESS H<=350  pairs=11147708586 realpass=5950977350 (53.3830%) cands=0  8.8s
PROGRESS H<=375  pairs=14680154226 realpass=7836641354 (53.3826%) cands=0  10.6s
PROGRESS H<=400  pairs=18955699986 realpass=10119406713 (53.3845%) cands=0  12.7s
PROGRESS H<=425  pairs=24278493546 realpass=12960780680 (53.3838%) cands=0  15.3s
PROGRESS H<=450  pairs=30389136778 realpass=16222438715 (53.3824%) cands=0  18.3s
PROGRESS H<=475  pairs=37835741070 realpass=20198009384 (53.3834%) cands=0  21.9s
PROGRESS H<=500  pairs=46348098030 realpass=24742379223 (53.3838%) cands=0  25.9s
PROGRESS H<=525  pairs=56352784186 realpass=30083461879 (53.3842%) cands=0  30.6s
PROGRESS H<=550  pairs=67743099570 realpass=36165694264 (53.3865%) cands=0  36.0s
PROGRESS H<=575  pairs=81128955078 realpass=43312562696 (53.3873%) cands=0  42.2s
PROGRESS H<=600  pairs=95920467006 realpass=51208590189 (53.3865%) cands=0  49.1s
PROGRESS H<=625  pairs=113255872278 realpass=60462332714 (53.3856%) cands=0  67.5s
PROGRESS H<=650  pairs=132305994810 realpass=70632450049 (53.3857%) cands=0  92.3s
PROGRESS H<=675  pairs=153868511170 realpass=82142839711 (53.3851%) cands=0  122.1s
PROGRESS H<=700  pairs=177648828346 realpass=94838831713 (53.3856%) cands=0  160.3s
PROGRESS H<=725  pairs=204920657766 realpass=109400818916 (53.3869%) cands=0  204.3s
PROGRESS H<=750  pairs=233974856346 realpass=124912443769 (53.3871%) cands=0  253.8s
PROGRESS H<=775  pairs=267722079670 realpass=142928537497 (53.3869%) cands=0  316.4s
PROGRESS H<=800  pairs=303417773506 realpass=161986934477 (53.3874%) cands=0  387.3s
PROGRESS H<=825  pairs=343113753466 realpass=183179255719 (53.3873%) cands=0  492.7s
PROGRESS H<=850  pairs=386001049566 realpass=206074591776 (53.3871%) cands=0  622.5s
PROGRESS H<=875  pairs=434211815778 realpass=231812645169 (53.3870%) cands=0  730.7s
PROGRESS H<=900  pairs=485408537650 realpass=259146572242 (53.3873%) cands=0  833.4s
PROGRESS H<=925  pairs=542444968990 realpass=289599291338 (53.3878%) cands=0  944.9s
PROGRESS H<=950  pairs=603123207778 realpass=321993333864 (53.3877%) cands=0  1061.5s
PROGRESS H<=975  pairs=668922502878 realpass=357123313633 (53.3878%) cands=0  1181.7s
PROGRESS H<=1000  pairs=740257924230 realpass=395206255728 (53.3876%) cands=0  1315.0s
PROGRESS H<=1025  pairs=817987648878 realpass=436702982557 (53.3875%) cands=0  1461.2s
PROGRESS H<=1050  pairs=899178718906 realpass=480048912593 (53.3875%) cands=0  1615.5s
PROGRESS H<=1075  pairs=989538196206 realpass=528286654881 (53.3872%) cands=0  1794.9s
PROGRESS H<=1100  pairs=1084081741746 realpass=578759935035 (53.3871%) cands=0  2032.6s
PROGRESS H<=1125  pairs=1186324427970 realpass=633341296318 (53.3869%) cands=0  2301.4s
