H5 loaded: #terms=16
GOLD_CURVES 116  PB=400
ROW 102400.a.102400.1 nf=2.2.8.1 idx=1 gl2=false | H5zero=false pred=false OK | naive=[ 2, 3, 5, 6, 7, 11, 13, 15, 17, 29, 30, 33, 53, 61, 65, 73, 77, 102, 118, 182, 206, 214, 238, 277, 358, 406, 614 ] SCATTER | rep=[ 2 ] OK | np=76 na1z=38 nsq=5
ROW 102400.f.102400.1 nf=2.2.8.1 idx=1 gl2=false | H5zero=false pred=false OK | naive=[ 2, 3, 5, 6, 7, 11, 13, 15, 17, 29, 30, 33, 53, 61, 65, 73, 77, 102, 118, 182, 206, 214, 238, 277, 358, 406, 614 ] SCATTER | rep=[ 2 ] OK | np=76 na1z=38 nsq=5
ROW 103041.a.927369.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=75 na1z=2 nsq=0
ROW 10609.a.10609.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=76 na1z=7 nsq=0
ROW 111556.a.446224.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=76 na1z=3 nsq=0
ROW 112500.a.450000.1 nf=2.2.5.1 idx=1 gl2=false | H5zero=true pred=true OK | naive=[ 5, 6, 11, 14, 19, 26, 31, 39, 46, 59, 61, 66, 71, 86, 89, 94, 111, 146, 149, 154, 166, 214, 249, 354, 406, 614, 646, 654, 966, 1034 ] SCATTER | rep=[ 5 ] OK | np=75 na1z=40 nsq=3
ROW 11449.a.11449.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=76 na1z=2 nsq=0
ROW 1225.a.6125.1 nf=2.2.17.1 idx=1 gl2=true | H5zero=false pred=false OK | naive=[ 17 ] OK | rep=[ 17 ] OK | np=75 na1z=1 nsq=0
ROW 12500.a.12500.1 nf=2.2.5.1 idx=1 gl2=false | H5zero=true pred=true OK | naive=[ 5, 6, 11, 14, 19, 26, 29, 34, 39, 46, 61, 66, 71, 114, 151, 201, 214, 246, 249, 266, 274, 334, 454, 606, 814, 1066 ] SCATTER | rep=[ 5 ] OK | np=76 na1z=37 nsq=6
ROW 12500.b.50000.1 nf=2.2.5.1 idx=1 gl2=false | H5zero=true pred=true OK | naive=[ 5, 6, 14, 21, 26, 31, 34, 39, 41, 66, 69, 71, 79, 86, 101, 109, 146, 166, 214, 254, 286, 334, 426, 574, 626, 694, 754, 866, 926, 1054 ] SCATTER | rep=[ 5 ] OK | np=76 na1z=38 nsq=5
ROW 127449.a.892143.1 nf=2.2.8.1 idx=1 gl2=true | H5zero=false pred=false OK | naive=[ 2 ] OK | rep=[ 2 ] OK | np=74 na1z=3 nsq=0
ROW 128164.a.512656.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=76 na1z=2 nsq=0
ROW 13225.b.330625.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=75 na1z=5 nsq=0
ROW 140625.a.140625.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=75 na1z=3 nsq=0
ROW 141376.b.565504.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=76 na1z=3 nsq=0
ROW 141376.e.565504.1 nf=2.2.5.1 idx=1 gl2=true | H5zero=true pred=true OK | naive=[ 5 ] OK | rep=[ 5 ] OK | np=76 na1z=5 nsq=0
