p=11 admissible a: 3/11
p=13 admissible a: 2/13
p=17 admissible a: 2/17
p=19 admissible a: 3/19
p=23 admissible a: 3/23
p=29 admissible a: 7/29
p=31 admissible a: 4/31
p=37 admissible a: 6/37
p=41 admissible a: 2/41
p=43 admissible a: 7/43
p=47 admissible a: 4/47
p=53 admissible a: 6/53
PROGRESS c9 d=200 checked=73171377 surv=0
PROGRESS c9 d=400 checked=145968045 surv=0
PROGRESS c9 d=600 checked=218926051 surv=0
PROGRESS c9 d=800 checked=291965445 surv=0
PROGRESS c9 d=1000 checked=364893389 surv=0
PROGRESS c9 d=1200 checked=437747123 surv=0
PROGRESS c9 d=1400 checked=510796149 surv=0
PROGRESS c9 d=1600 checked=583641869 surv=0
PROGRESS c9 d=1800 checked=656633979 surv=0
PROGRESS c9 d=2000 checked=729732825 surv=0
PROGRESS c9 d=2200 checked=802480605 surv=0
PROGRESS c9 d=2400 checked=875541275 surv=0
PROGRESS c9 d=2600 checked=948508603 surv=0
SURVIVOR c9 a = 201289/2665
PROGRESS c9 d=2800 checked=1021368793 surv=1
PROGRESS c9 d=3000 checked=1094372813 surv=1
PROGRESS c9 d=3200 checked=1167348523 surv=1
PROGRESS c9 d=3400 checked=1240235741 surv=1
PROGRESS c9 d=3600 checked=1313205033 surv=1
PROGRESS c9 d=3800 checked=1386259205 surv=1
PROGRESS c9 d=4000 checked=1459053547 surv=1
PROGRESS c9 d=4200 checked=1531997939 surv=1
PROGRESS c9 d=4400 checked=1605120545 surv=1
PROGRESS c9 d=4600 checked=1677925113 surv=1
PROGRESS c9 d=4800 checked=1750940745 surv=1
PROGRESS c9 d=5000 checked=1823946461 surv=1
PROGRESS c9 d=5200 checked=1896845299 surv=1
PROGRESS c9 d=5400 checked=1969767455 surv=1
PROGRESS c9 d=5600 checked=2042782355 surv=1
PROGRESS c9 d=5800 checked=2115600365 surv=1
PROGRESS c9 d=6000 checked=2188586425 surv=1
PROGRESS c9 d=6200 checked=2261689765 surv=1
PROGRESS c9 d=6400 checked=2334542475 surv=1
PROGRESS c9 d=6600 checked=2407513911 surv=1
PROGRESS c9 d=6800 checked=2480481285 surv=1
PROGRESS c9 d=7000 checked=2553375061 surv=1
PROGRESS c9 d=7200 checked=2626330733 surv=1
PROGRESS c9 d=7400 checked=2699311835 surv=1
PROGRESS c9 d=7600 checked=2772214871 surv=1
PROGRESS c9 d=7800 checked=2845167099 surv=1
PROGRESS c9 d=8000 checked=2918210383 surv=1
SURVIVOR c9 a = -259396/8151
PROGRESS c9 d=8200 checked=2991063485 surv=2
PROGRESS c9 d=8400 checked=3063998721 surv=2
PROGRESS c9 d=8600 checked=3137109893 surv=2
PROGRESS c9 d=8800 checked=3209889659 surv=2
PROGRESS c9 d=9000 checked=3282839349 surv=2
PROGRESS c9 d=9200 checked=3355920685 surv=2
PROGRESS c9 d=9400 checked=3428787145 surv=2
PROGRESS c9 d=9600 checked=3501718879 surv=2
PROGRESS c9 d=9800 checked=3574793655 surv=2
PROGRESS c9 d=10000 checked=3647632511 surv=2
PROGRESS c9 d=10200 checked=3720561361 surv=2
PROGRESS c9 d=10400 checked=3793639117 surv=2
PROGRESS c9 d=10600 checked=3866451715 surv=2
PROGRESS c9 d=10800 checked=3939489717 surv=2
PROGRESS c9 d=11000 checked=4012472921 surv=2
PROGRESS c9 d=11200 checked=4085340797 surv=2
PROGRESS c9 d=11400 checked=4158325231 surv=2
