Z35 candidate u values: 6
Z45 candidate u values: 4
JOBS 154
Z3xZ12 t=2 m=1 u=-8/7 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 910 [ 6 ] | MODEL 1736*x^6 + 11895289*x^4 + 2726705254*x^2 + 24125692185
Z3xZ12 t=2 m=1 u=-8/7 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 910 [ 6 ] | MODEL -38526976*x^6 + 245431355281*x^4 + 62262728833081*x^2 + 535420486056960
Z3xZ12 t=-1 m=1 u=-8/7 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 910 [ 6 ] | MODEL 455081984*x^6 + 48723103744*x^4 + 174509136256*x^2 + 24125692185
Z3xZ12 t=-1 m=1 u=-8/7 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 910 [ 6 ] | MODEL -157806493696*x^6 + 15707606737984*x^4 + 62262728833081*x^2 + 8365945094640
Z3xZ12 t=3/2 m=1 u=-51/19 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 4290 [ 12 ] | F 106590 [ 6 ] | MODEL 1302377344*x^6 + 853404889504*x^4 + 120418873670536*x^2 + 233990686953270
Z3xZ12 t=3/2 m=1 u=-51/19 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 4290 [ 12 ] | F 106590 [ 6 ] | MODEL -430841958336*x^6 + 37007324629264*x^4 + 70859772859138156*x^2 + 77406909958756755
Z3xZ12 t=-2 m=1 u=-60/59 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 274170 [ 12 ] | F 851370 [ 6 ] | MODEL 279094293067860864000*x^6 + 2170132702582425766061481*x^4 + 35080022394668930727040641*x^2 + 65259350593148840878464000
Z3xZ12 t=-2 m=1 u=-60/59 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 274170 [ 12 ] | F 851370 [ 6 ] | MODEL -600123305527875*x^6 + 4646885370413200101*x^4 + 75479985591440371711*x^2 + 140324106107896865375
Z2xZ24 t=1/2 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL -5646691583208000*X^6 + 179318101872043369*X^4 + 187212152437719076*X^2 - 615856918708224
Z2xZ24 t=1/2 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 35175747880000*X^6 - 66620163850031*X^4 + 27596788168132*X^2 + 3836446064640
Z2xZ24 t=1/2 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 231113098125*X^6 - 487977107576*X^4 + 282032321872*X^2 - 25206370560
