D : y^2 = -3*x^6 + 24*x^3 - 75
generator g0 = (x^2 + 2*x + 4, 5*x + 5)
q   #J(D)(F_q)   ord(g0 mod q)   cofactor
7      63           7            9           
11     135          15           9           
13     225          5            45          
17     288          16           18          
19     387          43           9           
23     567          21           27          
29     864          6            144         
31     819          91           9           
37     1116         62           18          
41     1764         14           126         
43     1899         211          9           
47     2295         85           27          
53     2880         160          18          
59     3375         75           45          
61     3996         222          18          
67     4356         22           198         
71     5103         189          27          
73     5409         601          9           
79     5463         607          9           
83     6912         96           72          
89     7776         144          54          
97     11268        626          18          
101    10368        576          18          
103    10107        1123         9           
107    11655        1295         9           
113    12852        714          18          
127    20736        24           864         
131    17199        1911         9           
137    18720        208          90          
139    21339        2371         9           
149    22500        50           450         
151    24975        555          45          
SATCHECK_DONE
