Loading "code/claude_prod_09_88_defs.m"
BASE m=2 n=1 s=337/512 t=5/4
RANKBOUNDS [2,2]
MW rank_used=2 invariants=[ 2, 2, 0, 0 ]
V_CANDIDATES 40
J1EXACT m=2 n=1 v=6400/60401 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=147456/113569 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-262144/30625 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-4194304/1051479 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=8212709376/4017958399 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=8028160000/13268379839 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-41368305664/14889479839 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-77577846784/1587126775 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-79010463744/16044181439 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=87275339776/82984435929 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-121572163584/49452110279 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=269004046336/127686852369 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-1111354507264/45070688025 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=1414615269376/1727366348279 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-1884228419584/743622669009 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=250224050176/3492458105279 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-9396333838336/1485765867241 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-18997882126336/262809515041 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=111719149993984/59931325387241 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=56531150438400/269143752288151 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-95356807578648576/333020563020431 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=1811527929954304/100152948279654441 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=3187619566002110464/1443409953372847031 J1=[ 4, 4 ]
J1EXACT m=2 n=1 v=-7851699670415048704/3347946577025585449 J1=[ 4, 4 ]
