Loading "code/claude_prod_09_88_defs.m"
BASE m=2/3 n=1 s=21361/41472 t=13/12
RANKBOUNDS [2,2]
MW rank_used=2 invariants=[ 2, 2, 0, 0 ]
V_CANDIDATES 40
J1EXACT m=2/3 n=1 v=26873856/1643321 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-191102976/31293209 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=298598400/456292321 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-1321467904/198841841 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=1719926784/249266719 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-1719926784/404452321 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=31066177536/2468915081 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-84276412416/10305296119 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=110075314176/29391902921 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=247669456896/2646348025 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=290667626496/32747075191 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-290667626496/57241373359 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-909841268736/121490238919 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-4473529565184/446064695561 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=29515663540224/917327200279 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=52322191294464/23302938409 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-66748638560256/5534255707279 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=80989632331776/42548856940591 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=214014897045504/259802316147209 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=627456809631744/128912697017129 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=1145223568687104/18524906659249 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-1365417195208704/148164582624761 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=8226513219216384/8303864215176529 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-52160303854780416/13006934135342975 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-60026348487573504/4284508779059441 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-78062607613034496/5718466826097025 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-204907304248934400/13416919116392879 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-507463243548327936/31405416731590225 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-695628379738865664/48300331300040641 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=21262175205064704/779494615806719449 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=2573654562525413376/8048740248506818631 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-36233819716327833600/8076212876724349969 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-40358136145334501376/9232135701795013409 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=66026868918731145216/888079569751001681 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=126797418189428097024/662007552622305119 J1=[ 4, 4 ]
J1EXACT m=2/3 n=1 v=-2657845785799971569664/505969972388689244375 J1=[ 4, 4 ]
SEARCH_DONE m=2/3 n=1 tested=36 upgrades=0
