Loading "code/claude_prod_09_88_defs.m"
BASE m=3 n=2 s=145/81 t=5/3
RANKBOUNDS [2,2]
MW rank_used=2 invariants=[ 2, 2, 0, 0 ]
V_CANDIDATES 40
J1EXACT m=3 n=2 v=-729/1625 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-6561/289 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-6561/2800 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=6561/14500 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=11664/21025 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=729/21175 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-26244/2639 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-26244/65975 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=6561/129311 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=59049/147175 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-59049/182000 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=63504/303601 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-321489/90625 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=6561/362500 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=419904/859625 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=104976/1366625 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-7144929/1366625 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-3470769/9419200 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-3470769/10182625 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=3779136/12145225 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-16402500/9186359 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=18429849/34900775 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-191850201/222950000 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=22838841/226562500 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=1896129/239159375 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-254625849/188156089 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-356190129/4985825 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-320445801/391842025 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-354154761/612248000 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=642774609/1128323300 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=3470769/1377583375 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-785456676/2485963375 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=-2712638889/5422017625 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=1467885969/11036309375 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=9813477969/27277297775 J1=[ 4, 4 ]
J1EXACT m=3 n=2 v=102835021041/467231321375 J1=[ 4, 4 ]
SEARCH_DONE m=3 n=2 tested=36 upgrades=0
