Loading "code/claude_prod_09_88_defs.m"
BASE m=3 n=1/3 s=265/54 t=5/3
RANKBOUNDS [2,2]
MW rank_used=2 invariants=[ 2, 2, 0, 0 ]
V_CANDIDATES 40
J1EXACT m=3 n=1/3 v=-729/17500 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=26244/7975 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=729/38425 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-2916/61009 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=5184/70225 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=11664/102025 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=26244/214375 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=6561/223300 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=324/491575 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-46656/896071 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=15876/896071 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-186624/4218775 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=1971216/4999225 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=35721/6493825 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-385641/7865200 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-492804/11104825 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-842724/17242225 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=28291761/6493825 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=28132416/129846025 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=1679616/619064161 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-64738116/1521668425 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-108618084/2165692369 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-115476516/2265057025 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-177902244/3920310625 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=1971216/3959488225 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=109181601/10906195300 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=50144197041/62724970000 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-3474041481/72935763175 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-6055018596/116201849425 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=10493543844/151401150175 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-8818336836/211852974025 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=174149305344/940820461681 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=30290617764/967935855775 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-58368627216/1281797403775 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=6375008914884/32387010775 J1=[ 4, 4 ]
J1EXACT m=3 n=1/3 v=-273998855601/6598258875175 J1=[ 4, 4 ]
SEARCH_DONE m=3 n=1/3 tested=36 upgrades=0
