BASE (-3,-2) s=-145/81 t=-5/3 rankbounds [2,2]
BASE (-3,-2) zvals=16
MEMBER (-3,-2) v=-320445801/391842025 tors=[ 4, 4 ] D1=-31181152120406522681459 a=455 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 lam=[ 7300478460982469049168666389786507849519428235787569390690989790, 7300478460982469049168666389786507849519428235787569390690989790, 30684833803854059781093342282104231457975128382097053491287097244289989590, 4900317907310353661266660347899320388368103085066594 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 13408172161815 ] compat=false
  D4 above=T3 pat=111 lam=[ 7300478460982469049168666389786507849519428235787569390690989790, 7300478460982469049168666389786507849519428235787569390690989790, 30684833803854059781093342282104231457975128382097053491287097244289989590, 4900317907310353661266660347899320388368103085066594 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 13408172161815 ] compat=false
  D4 above=T1 pat=111 lam=[ 9201016094200307842358432068771800137545977630927522174397869915909, 9201016094200307842358432068771800137545977630927522174397869915909, 193750363172838241929304815059508218296428954122033650435287105287777548795817810031, 336382504751330683248515068828974192847825355580861882326097906728695 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ 32216888973990293347721212168546662195602, 32216888973990293347721212168546662195602, 64653815874575194417266292861164273762302, 277679057335036369783225958906 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 4565393482347314701578391, 19607723711173 ] compat=false
  D4 above=T1 pat=111 lam=[ 9205314750797599725821180967495778343500184291776133958639439395579, 9205314750797599725821180967495778343500184291776133958639439395579, 102541826640744956113552796245106275447293287298496504787396787678007590122951469764769, 336539660532655131874232086196763728322646681410022309366059931041545 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ -32216888973990293347721212168546662195602, -32216888973990293347721212168546662195602, 220037926594607721823868524070949371098, -747597462055867149416377581670 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ -15537516268073471696309, 52790025376235 ] compat=false
  D4 above=T3 pat=111 lam=[ 559624748998335249042838052624799116629136794515032963750991056657, 559624748998335249042838052624799116629136794515032963750991056657, 2352173560584209039585768592684499230147005508331192269695951350768462222997, 170915417813219021309122965633407723187504191171851710441 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 244028733345033 ] compat=false
  D4 above=T3 pat=111 lam=[ 559624748998335249042838052624799116629136794515032963750991056657, 559624748998335249042838052624799116629136794515032963750991056657, 2352173560584209039585768592684499230147005508331192269695951350768462222997, 170915417813219021309122965633407723187504191171851710441 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 244028733345033 ] compat=false
  D4 above=T1 pat=111 lam=[ 9201016094200307842358432068771800137545977630927522174397869915909, 9201016094200307842358432068771800137545977630927522174397869915909, 193750363172838241929304815059508218296428954122033650435287105287777548795817810031, 336382504751330683248515068828974192847825355580861882326097906728695 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ -32216888973990293347721212168546662195602, -32216888973990293347721212168546662195602, 220037926594607721823868524070949371098, -747597462055867149416377581670 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ -15537516268073471696309, 52790025376235 ] compat=false
  D4 above=T1 pat=111 lam=[ 9205314750797599725821180967495778343500184291776133958639439395579, 9205314750797599725821180967495778343500184291776133958639439395579, 102541826640744956113552796245106275447293287298496504787396787678007590122951469764769, 336539660532655131874232086196763728322646681410022309366059931041545 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ 32216888973990293347721212168546662195602, 32216888973990293347721212168546662195602, 64653815874575194417266292861164273762302, 277679057335036369783225958906 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 4565393482347314701578391, 19607723711173 ] compat=false
MEMBER (-3,-2) v=-191850201/222950000 tors=[ 4, 4 ] D1=-31181152120406522681459 a=455 order4=12 norm111=12 xTpass=0
  D4 above=T3 pat=111 lam=[ 7300478460982469049168666389786507849519428235787569390690989790, 7300478460982469049168666389786507849519428235787569390690989790, 30684833803854059781093342282104231457975128382097053491287097244289989590, 4900317907310353661266660347899320388368103085066594 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 13408172161815 ] compat=false
  D4 above=T3 pat=111 lam=[ 7300478460982469049168666389786507849519428235787569390690989790, 7300478460982469049168666389786507849519428235787569390690989790, 30684833803854059781093342282104231457975128382097053491287097244289989590, 4900317907310353661266660347899320388368103085066594 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 13408172161815 ] compat=false
  D4 above=T1 pat=111 lam=[ 9201016094200307842358432068771800137545977630927522174397869915909, 9201016094200307842358432068771800137545977630927522174397869915909, 193750363172838241929304815059508218296428954122033650435287105287777548795817810031, 336382504751330683248515068828974192847825355580861882326097906728695 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ 32216888973990293347721212168546662195602, 32216888973990293347721212168546662195602, 64653815874575194417266292861164273762302, 277679057335036369783225958906 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 4565393482347314701578391, 19607723711173 ] compat=false
  D4 above=T1 pat=111 lam=[ 9205314750797599725821180967495778343500184291776133958639439395579, 9205314750797599725821180967495778343500184291776133958639439395579, 102541826640744956113552796245106275447293287298496504787396787678007590122951469764769, 336539660532655131874232086196763728322646681410022309366059931041545 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ -32216888973990293347721212168546662195602, -32216888973990293347721212168546662195602, 220037926594607721823868524070949371098, -747597462055867149416377581670 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ -15537516268073471696309, 52790025376235 ] compat=false
  D4 above=T3 pat=111 lam=[ 559624748998335249042838052624799116629136794515032963750991056657, 559624748998335249042838052624799116629136794515032963750991056657, 2352173560584209039585768592684499230147005508331192269695951350768462222997, 170915417813219021309122965633407723187504191171851710441 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 244028733345033 ] compat=false
  D4 above=T3 pat=111 lam=[ 559624748998335249042838052624799116629136794515032963750991056657, 559624748998335249042838052624799116629136794515032963750991056657, 2352173560584209039585768592684499230147005508331192269695951350768462222997, 170915417813219021309122965633407723187504191171851710441 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 3358374229435060078959136904907061, 244028733345033 ] compat=false
  D4 above=T1 pat=111 lam=[ 9201016094200307842358432068771800137545977630927522174397869915909, 9201016094200307842358432068771800137545977630927522174397869915909, 193750363172838241929304815059508218296428954122033650435287105287777548795817810031, 336382504751330683248515068828974192847825355580861882326097906728695 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ -32216888973990293347721212168546662195602, -32216888973990293347721212168546662195602, 220037926594607721823868524070949371098, -747597462055867149416377581670 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ -15537516268073471696309, 52790025376235 ] compat=false
  D4 above=T1 pat=111 lam=[ 9205314750797599725821180967495778343500184291776133958639439395579, 9205314750797599725821180967495778343500184291776133958639439395579, 102541826640744956113552796245106275447293287298496504787396787678007590122951469764769, 336539660532655131874232086196763728322646681410022309366059931041545 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 8900595086388530766461642942091365381887651, 262903735220709718079458995 ] compat=false
  D4 above=T2 pat=111 lam=[ 32216888973990293347721212168546662195602, 32216888973990293347721212168546662195602, 64653815874575194417266292861164273762302, 277679057335036369783225958906 ] d=[ 1, 1, -31181152120406522681459, 455 ] lam2ok=true def=[ 4565393482347314701578391, 19607723711173 ] compat=false
MEMBER (-3,-2) v=-26244/65975 tors=[ 4, 4 ] D1=506 a=455 order4=12 norm111=12 xTpass=0
  D4 above=T2 pat=111 lam=[ -212894021002, -212894021002, -382006747, -33716247670 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 294814, 7735 ] compat=false
  D4 above=T2 pat=111 lam=[ -212894021002, -212894021002, -382006747, -33716247670 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 294814, 7735 ] compat=false
  D4 above=T3 pat=111 lam=[ 1124604361448565, 1124604361448565, 49834612798771338890, 359084199620419 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 143972994, 25935 ] compat=false
  D4 above=T1 pat=111 lam=[ 321484395440728281, 321484395440728281, 2360085118297230340159, 43625996469018127255 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 12617495319, 440895 ] compat=false
  D4 above=T3 pat=111 lam=[ 47710201178917, 47710201178917, 19027646836761801018, 7533189659829 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 143972994, 57 ] compat=false
  D4 above=T1 pat=111 lam=[ 173099718109178151, 173099718109178151, 5314094535534253412554, 23489935431131456105 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 99743046, 440895 ] compat=false
  D4 above=T2 pat=111 lam=[ 212894021002, 212894021002, 365397758, 12523177706 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 70499, 17 ] compat=false
  D4 above=T2 pat=111 lam=[ 212894021002, 212894021002, 365397758, 12523177706 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 70499, 17 ] compat=false
  D4 above=T3 pat=111 lam=[ 1124604361448565, 1124604361448565, 49834612798771338890, 359084199620419 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 143972994, 25935 ] compat=false
  D4 above=T1 pat=111 lam=[ 173099718109178151, 173099718109178151, 5314094535534253412554, 23489935431131456105 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 99743046, 440895 ] compat=false
  D4 above=T3 pat=111 lam=[ 47710201178917, 47710201178917, 19027646836761801018, 7533189659829 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 143972994, 57 ] compat=false
  D4 above=T1 pat=111 lam=[ 321484395440728281, 321484395440728281, 2360085118297230340159, 43625996469018127255 ] d=[ 1, 1, 506, 455 ] lam2ok=true def=[ 12617495319, 440895 ] compat=false
MEMBER (-3,-2) v=-43936359645960324/13717915746782975 tors=[ 4, 4 ] D1=219370909065282792474903433579627961777410007594 a=455 order4=12 norm111=12 xTpass=0
