torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	8	20	3	5
1	10	20	1	5
1	0	20	3	5
1	12	20	1	5
1	10	20	2	5
1	2	20	4	5
1	0	20	1	5
1	14	20	4	5
1	10	20	0	5
1	8	20	2	5
1	12	20	4	5
1	2	20	1	5
1	18	20	3	5
1	4	20	1	5
1	6	20	3	5
1	2	20	0	5
1	16	20	2	5
1	14	20	3	5
1	12	20	0	5
1	16	20	4	5
1	12	20	2	5
1	4	20	3	5
1	6	20	4	5
1	4	20	4	5
1	0	20	2	5
1	14	20	0	5
1	8	20	1	5
1	6	20	2	5
1	4	20	0	5
1	16	20	0	5
1	18	20	1	5
1	18	20	2	5
1	16	20	3	5
1	8	20	4	5
1	0	20	0	5
2	0	20	2	5
2	16	20	2	5
2	10	20	3	5
2	12	20	1	5
2	8	20	3	5
2	18	20	4	5
2	18	20	2	5
2	18	20	1	5
2	0	20	0	5
2	14	20	0	5
2	8	20	2	5
2	2	20	0	5
2	6	20	4	5
2	2	20	4	5
2	6	20	3	5
2	14	20	1	5
2	14	20	3	5
2	12	20	4	5
2	2	20	2	5
2	2	20	1	5
2	6	20	0	5
2	12	20	0	5
2	4	20	3	5
2	10	20	1	5
2	10	20	0	5
2	4	20	0	5
2	6	20	2	5
2	14	20	4	5
2	18	20	3	5
2	16	20	3	5
2	8	20	1	5
2	4	20	4	5
2	16	20	4	5
2	0	20	1	5
2	10	20	2	5
