prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	0	0	20	5	3	1
13	1	0	1	20	5	3	5
13	1	0	2	20	5	3	1
13	1	0	3	20	5	3	inf
13	1	2	0	20	5	3	8
13	1	2	1	20	5	3	12
13	1	2	4	20	5	3	12
13	1	4	0	20	5	3	1
13	1	4	1	20	5	3	inf
13	1	4	3	20	5	3	1
13	1	4	4	20	5	3	5
13	1	6	2	20	5	3	12
13	1	6	3	20	5	3	8
13	1	6	4	20	5	3	12
13	1	8	1	20	5	3	1
13	1	8	2	20	5	3	5
13	1	8	3	20	5	3	1
13	1	8	4	20	5	3	inf
13	1	10	0	20	5	3	12
13	1	10	1	20	5	3	8
13	1	10	2	20	5	3	12
13	1	12	0	20	5	3	5
13	1	12	1	20	5	3	1
13	1	12	2	20	5	3	inf
13	1	12	4	20	5	3	1
13	1	14	0	20	5	3	12
13	1	14	3	20	5	3	12
13	1	14	4	20	5	3	8
13	1	16	0	20	5	3	inf
13	1	16	2	20	5	3	1
13	1	16	3	20	5	3	5
13	1	16	4	20	5	3	1
13	1	18	1	20	5	3	12
13	1	18	2	20	5	3	8
13	1	18	3	20	5	3	12
13	2	0	0	20	5	3	12
13	2	0	1	20	5	3	8
13	2	0	2	20	5	3	12
13	2	2	0	20	5	3	5
13	2	2	1	20	5	3	1
13	2	2	2	20	5	3	inf
13	2	2	4	20	5	3	1
13	2	4	0	20	5	3	12
13	2	4	3	20	5	3	12
13	2	4	4	20	5	3	8
13	2	6	0	20	5	3	inf
13	2	6	2	20	5	3	1
13	2	6	3	20	5	3	5
13	2	6	4	20	5	3	1
13	2	8	1	20	5	3	12
13	2	8	2	20	5	3	8
13	2	8	3	20	5	3	12
13	2	10	0	20	5	3	1
13	2	10	1	20	5	3	5
13	2	10	2	20	5	3	1
13	2	10	3	20	5	3	inf
13	2	12	0	20	5	3	8
13	2	12	1	20	5	3	12
13	2	12	4	20	5	3	12
13	2	14	0	20	5	3	1
13	2	14	1	20	5	3	inf
13	2	14	3	20	5	3	1
13	2	14	4	20	5	3	5
13	2	16	2	20	5	3	12
13	2	16	3	20	5	3	8
13	2	16	4	20	5	3	12
13	2	18	1	20	5	3	1
13	2	18	2	20	5	3	5
13	2	18	3	20	5	3	1
13	2	18	4	20	5	3	inf
11	1	0	0	8	8	3	1
11	1	0	1	8	8	3	5
11	1	0	2	8	8	3	5
11	1	0	3	8	8	3	1
11	1	0	4	8	8	3	10
11	1	0	5	8	8	3	inf
11	1	0	6	8	8	3	6
11	1	0	7	8	8	3	10
11	1	1	0	8	8	3	10
11	1	1	1	8	8	3	1
11	1	1	2	8	8	3	5
11	1	1	3	8	8	3	5
11	1	1	4	8	8	3	1
11	1	1	5	8	8	3	10
11	1	1	6	8	8	3	inf
11	1	1	7	8	8	3	6
11	1	2	0	8	8	3	6
11	1	2	1	8	8	3	10
11	1	2	2	8	8	3	1
11	1	2	3	8	8	3	5
11	1	2	4	8	8	3	5
11	1	2	5	8	8	3	1
11	1	2	6	8	8	3	10
11	1	2	7	8	8	3	inf
11	1	3	0	8	8	3	inf
11	1	3	1	8	8	3	6
