torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	2	5	8	20
1	1	5	12	20
1	4	5	16	20
1	0	5	8	20
1	1	5	4	20
1	4	5	4	20
1	3	5	12	20
1	0	5	0	20
1	3	5	0	20
1	2	5	16	20
2	0	5	15	20
2	1	5	7	20
2	3	5	7	20
2	4	5	19	20
2	1	5	19	20
2	4	5	11	20
2	0	5	3	20
2	2	5	3	20
2	3	5	15	20
2	2	5	11	20
3	0	5	18	20
3	1	5	2	20
3	1	5	14	20
3	3	5	10	20
3	4	5	14	20
3	4	5	6	20
3	0	5	10	20
3	2	5	6	20
3	3	5	2	20
3	2	5	18	20
4	0	5	5	20
4	2	5	1	20
4	1	5	17	20
4	1	5	9	20
4	0	5	13	20
4	4	5	1	20
4	4	5	9	20
4	3	5	17	20
4	2	5	13	20
4	3	5	5	20
