torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	83160	110880	27720	110880
1	32760	110880	7560	110880
1	12600	110880	88200	110880
1	63000	110880	108360	110880
1	73080	110880	68040	110880
1	27720	110880	83160	110880
1	88200	110880	63000	110880
1	68040	110880	32760	110880
1	7560	110880	52920	110880
1	17640	110880	12600	110880
1	27720	110880	27720	110880
1	88200	110880	7560	110880
1	68040	110880	88200	110880
1	7560	110880	108360	110880
1	17640	110880	68040	110880
1	83160	110880	83160	110880
1	32760	110880	63000	110880
1	12600	110880	32760	110880
1	63000	110880	52920	110880
1	73080	110880	12600	110880
1	46200	110880	101640	110880
1	106680	110880	81480	110880
1	86520	110880	51240	110880
1	26040	110880	71400	110880
1	36120	110880	31080	110880
1	101640	110880	46200	110880
1	51240	110880	26040	110880
1	31080	110880	106680	110880
1	81480	110880	15960	110880
1	91560	110880	86520	110880
1	101640	110880	101640	110880
1	51240	110880	81480	110880
1	31080	110880	51240	110880
1	81480	110880	71400	110880
1	91560	110880	31080	110880
1	46200	110880	46200	110880
1	106680	110880	26040	110880
1	86520	110880	106680	110880
1	26040	110880	15960	110880
1	36120	110880	86520	110880
1	55440	110880	0	110880
1	5040	110880	90720	110880
1	95760	110880	60480	110880
1	35280	110880	80640	110880
1	45360	110880	40320	110880
1	55440	110880	55440	110880
1	5040	110880	35280	110880
1	95760	110880	5040	110880
1	35280	110880	25200	110880
1	45360	110880	95760	110880
1	0	110880	0	110880
1	60480	110880	90720	110880
1	40320	110880	60480	110880
1	90720	110880	80640	110880
1	100800	110880	40320	110880
1	0	110880	55440	110880
1	60480	110880	35280	110880
1	40320	110880	5040	110880
1	90720	110880	25200	110880
1	100800	110880	95760	110880
1	18480	110880	73920	110880
1	78960	110880	53760	110880
1	58800	110880	23520	110880
1	109200	110880	43680	110880
1	8400	110880	3360	110880
1	18480	110880	18480	110880
1	78960	110880	109200	110880
1	58800	110880	78960	110880
1	109200	110880	99120	110880
1	8400	110880	58800	110880
1	73920	110880	73920	110880
1	23520	110880	53760	110880
1	3360	110880	23520	110880
1	53760	110880	43680	110880
1	63840	110880	3360	110880
1	73920	110880	18480	110880
1	23520	110880	109200	110880
1	3360	110880	78960	110880
1	53760	110880	99120	110880
1	63840	110880	58800	110880
3	103321	110880	63001	110880
3	83161	110880	32761	110880
3	93241	110880	42841	110880
3	83161	110880	83161	110880
3	32761	110880	63001	110880
3	73081	110880	12601	110880
3	22681	110880	52921	110880
3	42841	110880	83161	110880
3	93241	110880	103321	110880
3	12601	110880	32761	110880
3	47881	110880	7561	110880
3	27721	110880	88201	110880
3	37801	110880	98281	110880
3	27721	110880	27721	110880
3	88201	110880	7561	110880
3	17641	110880	68041	110880
3	78121	110880	108361	110880
3	98281	110880	27721	110880
3	37801	110880	47881	110880
3	68041	110880	88201	110880
3	66361	110880	26041	110880
3	46201	110880	106681	110880
3	56281	110880	5881	110880
3	46201	110880	46201	110880
3	106681	110880	26041	110880
3	36121	110880	86521	110880
3	96601	110880	15961	110880
3	5881	110880	46201	110880
3	56281	110880	66361	110880
3	86521	110880	106681	110880
3	10921	110880	81481	110880
3	101641	110880	51241	110880
3	841	110880	61321	110880
3	101641	110880	101641	110880
3	51241	110880	81481	110880
3	91561	110880	31081	110880
3	41161	110880	71401	110880
3	61321	110880	101641	110880
3	841	110880	10921	110880
3	31081	110880	51241	110880
3	75601	110880	35281	110880
3	55441	110880	5041	110880
3	65521	110880	15121	110880
3	55441	110880	55441	110880
3	5041	110880	35281	110880
3	45361	110880	95761	110880
3	105841	110880	25201	110880
3	15121	110880	55441	110880
3	65521	110880	75601	110880
3	95761	110880	5041	110880
3	20161	110880	90721	110880
3	1	110880	60481	110880
3	10081	110880	70561	110880
3	1	110880	1	110880
3	60481	110880	90721	110880
3	100801	110880	40321	110880
3	50401	110880	80641	110880
3	70561	110880	1	110880
3	10081	110880	20161	110880
3	40321	110880	60481	110880
3	38641	110880	109201	110880
3	18481	110880	78961	110880
3	28561	110880	89041	110880
3	18481	110880	18481	110880
3	78961	110880	109201	110880
3	8401	110880	58801	110880
3	68881	110880	99121	110880
3	89041	110880	18481	110880
3	28561	110880	38641	110880
3	58801	110880	78961	110880
3	94081	110880	53761	110880
3	73921	110880	23521	110880
3	84001	110880	33601	110880
3	73921	110880	73921	110880
3	23521	110880	53761	110880
3	63841	110880	3361	110880
3	13441	110880	43681	110880
3	33601	110880	73921	110880
3	84001	110880	94081	110880
3	3361	110880	23521	110880
