torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	1080	1440	360	1440
1	360	1440	1080	1440
1	360	1440	360	1440
1	1080	1440	1080	1440
1	120	1440	840	1440
1	840	1440	120	1440
1	840	1440	840	1440
1	120	1440	120	1440
1	720	1440	0	1440
1	720	1440	720	1440
1	0	1440	0	1440
1	0	1440	720	1440
1	1200	1440	480	1440
1	1200	1440	1200	1440
1	480	1440	480	1440
1	480	1440	1200	1440
3	1081	1440	1081	1440
3	361	1440	361	1440
3	121	1440	121	1440
3	841	1440	841	1440
3	721	1440	721	1440
3	1	1440	1	1440
3	1201	1440	1201	1440
3	481	1440	481	1440
