prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	0	0	5	20	3	inf
13	1	0	8	5	20	3	inf
13	1	1	4	5	20	3	inf
13	1	1	12	5	20	3	inf
13	1	2	8	5	20	3	inf
13	1	2	16	5	20	3	inf
13	1	3	0	5	20	3	inf
13	1	3	12	5	20	3	inf
13	1	4	4	5	20	3	inf
13	1	4	16	5	20	3	inf
13	2	0	3	5	20	3	inf
13	2	0	15	5	20	3	inf
13	2	1	7	5	20	3	inf
13	2	1	19	5	20	3	inf
13	2	2	3	5	20	3	inf
13	2	2	11	5	20	3	inf
13	2	3	7	5	20	3	inf
13	2	3	15	5	20	3	inf
13	2	4	11	5	20	3	inf
13	2	4	19	5	20	3	inf
13	3	0	10	5	20	3	inf
13	3	0	18	5	20	3	inf
13	3	1	2	5	20	3	inf
13	3	1	14	5	20	3	inf
13	3	2	6	5	20	3	inf
13	3	2	18	5	20	3	inf
13	3	3	2	5	20	3	inf
13	3	3	10	5	20	3	inf
13	3	4	6	5	20	3	inf
13	3	4	14	5	20	3	inf
13	4	0	5	5	20	3	inf
13	4	0	13	5	20	3	inf
13	4	1	9	5	20	3	inf
13	4	1	17	5	20	3	inf
13	4	2	1	5	20	3	inf
13	4	2	13	5	20	3	inf
13	4	3	5	5	20	3	inf
13	4	3	17	5	20	3	inf
13	4	4	1	5	20	3	inf
13	4	4	9	5	20	3	inf
