prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	0	0	20	20	3	inf
13	1	0	4	20	20	3	inf
13	1	1	7	20	20	3	inf
13	1	1	11	20	20	3	inf
13	1	2	14	20	20	3	inf
13	1	2	18	20	20	3	inf
13	1	3	1	20	20	3	inf
13	1	3	5	20	20	3	inf
13	1	4	8	20	20	3	inf
13	1	4	12	20	20	3	inf
13	1	5	15	20	20	3	inf
13	1	5	19	20	20	3	inf
13	1	6	2	20	20	3	inf
13	1	6	6	20	20	3	inf
13	1	7	9	20	20	3	inf
13	1	7	13	20	20	3	inf
13	1	8	0	20	20	3	inf
13	1	8	16	20	20	3	inf
13	1	9	3	20	20	3	inf
13	1	9	7	20	20	3	inf
13	1	10	10	20	20	3	inf
13	1	10	14	20	20	3	inf
13	1	11	1	20	20	3	inf
13	1	11	17	20	20	3	inf
13	1	12	4	20	20	3	inf
13	1	12	8	20	20	3	inf
13	1	13	11	20	20	3	inf
13	1	13	15	20	20	3	inf
13	1	14	2	20	20	3	inf
13	1	14	18	20	20	3	inf
13	1	15	5	20	20	3	inf
13	1	15	9	20	20	3	inf
13	1	16	12	20	20	3	inf
13	1	16	16	20	20	3	inf
13	1	17	3	20	20	3	inf
13	1	17	19	20	20	3	inf
13	1	18	6	20	20	3	inf
13	1	18	10	20	20	3	inf
13	1	19	13	20	20	3	inf
13	1	19	17	20	20	3	inf
13	2	0	15	20	20	3	inf
13	2	0	19	20	20	3	inf
13	2	1	2	20	20	3	inf
13	2	1	6	20	20	3	inf
13	2	2	9	20	20	3	inf
13	2	2	13	20	20	3	inf
13	2	3	0	20	20	3	inf
13	2	3	16	20	20	3	inf
13	2	4	3	20	20	3	inf
13	2	4	7	20	20	3	inf
13	2	5	10	20	20	3	inf
13	2	5	14	20	20	3	inf
13	2	6	1	20	20	3	inf
13	2	6	17	20	20	3	inf
13	2	7	4	20	20	3	inf
13	2	7	8	20	20	3	inf
13	2	8	11	20	20	3	inf
13	2	8	15	20	20	3	inf
13	2	9	2	20	20	3	inf
13	2	9	18	20	20	3	inf
13	2	10	5	20	20	3	inf
13	2	10	9	20	20	3	inf
13	2	11	12	20	20	3	inf
13	2	11	16	20	20	3	inf
13	2	12	3	20	20	3	inf
13	2	12	19	20	20	3	inf
13	2	13	6	20	20	3	inf
13	2	13	10	20	20	3	inf
13	2	14	13	20	20	3	inf
13	2	14	17	20	20	3	inf
13	2	15	0	20	20	3	inf
13	2	15	4	20	20	3	inf
13	2	16	7	20	20	3	inf
13	2	16	11	20	20	3	inf
13	2	17	14	20	20	3	inf
13	2	17	18	20	20	3	inf
13	2	18	1	20	20	3	inf
13	2	18	5	20	20	3	inf
13	2	19	8	20	20	3	inf
13	2	19	12	20	20	3	inf
13	3	0	10	20	20	3	inf
13	3	0	14	20	20	3	inf
13	3	1	1	20	20	3	inf
13	3	1	17	20	20	3	inf
13	3	2	4	20	20	3	inf
13	3	2	8	20	20	3	inf
13	3	3	11	20	20	3	inf
13	3	3	15	20	20	3	inf
13	3	4	2	20	20	3	inf
13	3	4	18	20	20	3	inf
13	3	5	5	20	20	3	inf
13	3	5	9	20	20	3	inf
13	3	6	12	20	20	3	inf
13	3	6	16	20	20	3	inf
13	3	7	3	20	20	3	inf
13	3	7	19	20	20	3	inf
13	3	8	6	20	20	3	inf
13	3	8	10	20	20	3	inf
13	3	9	13	20	20	3	inf
13	3	9	17	20	20	3	inf
13	3	10	0	20	20	3	inf
13	3	10	4	20	20	3	inf
13	3	11	7	20	20	3	inf
13	3	11	11	20	20	3	inf
13	3	12	14	20	20	3	inf
13	3	12	18	20	20	3	inf
13	3	13	1	20	20	3	inf
13	3	13	5	20	20	3	inf
13	3	14	8	20	20	3	inf
13	3	14	12	20	20	3	inf
13	3	15	15	20	20	3	inf
13	3	15	19	20	20	3	inf
13	3	16	2	20	20	3	inf
13	3	16	6	20	20	3	inf
13	3	17	9	20	20	3	inf
13	3	17	13	20	20	3	inf
13	3	18	0	20	20	3	inf
13	3	18	16	20	20	3	inf
13	3	19	3	20	20	3	inf
