prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	0	0	12	4	3	1
13	1	0	2	12	4	3	12
13	1	1	1	12	4	3	1
13	1	1	3	12	4	3	12
13	1	2	0	12	4	3	5
13	1	2	2	12	4	3	inf
13	1	3	1	12	4	3	12
13	1	3	3	12	4	3	1
13	1	4	0	12	4	3	1
13	1	4	2	12	4	3	12
13	1	5	1	12	4	3	inf
13	1	5	3	12	4	3	5
13	1	6	0	12	4	3	12
13	1	6	2	12	4	3	1
13	1	7	1	12	4	3	12
13	1	7	3	12	4	3	1
13	1	8	0	12	4	3	inf
13	1	8	2	12	4	3	5
13	1	9	1	12	4	3	1
13	1	9	3	12	4	3	12
13	1	10	0	12	4	3	12
13	1	10	2	12	4	3	1
13	1	11	1	12	4	3	5
13	1	11	3	12	4	3	inf
13	2	0	0	12	4	3	12
13	2	0	2	12	4	3	1
13	2	1	1	12	4	3	12
13	2	1	3	12	4	3	1
13	2	2	0	12	4	3	inf
13	2	2	2	12	4	3	5
13	2	3	1	12	4	3	1
13	2	3	3	12	4	3	12
13	2	4	0	12	4	3	12
13	2	4	2	12	4	3	1
13	2	5	1	12	4	3	5
13	2	5	3	12	4	3	inf
13	2	6	0	12	4	3	1
13	2	6	2	12	4	3	12
13	2	7	1	12	4	3	1
13	2	7	3	12	4	3	12
13	2	8	0	12	4	3	5
13	2	8	2	12	4	3	inf
13	2	9	1	12	4	3	12
13	2	9	3	12	4	3	1
13	2	10	0	12	4	3	1
13	2	10	2	12	4	3	12
13	2	11	1	12	4	3	inf
13	2	11	3	12	4	3	5
47	1	2	0	30	5	2	12
47	1	2	1	30	5	2	12
47	1	2	3	30	5	3	inf
47	1	5	0	30	5	3	4
47	1	5	2	30	5	2	35
47	1	5	3	30	5	2	35
47	1	8	0	30	5	2	12
47	1	8	2	30	5	3	inf
47	1	8	4	30	5	2	12
47	1	11	1	30	5	2	35
47	1	11	2	30	5	2	35
47	1	11	4	30	5	3	4
47	1	14	1	30	5	3	inf
47	1	14	3	30	5	2	12
47	1	14	4	30	5	2	12
47	1	17	0	30	5	2	35
47	1	17	1	30	5	2	35
47	1	17	3	30	5	3	4
47	1	20	0	30	5	3	inf
47	1	20	2	30	5	2	12
47	1	20	3	30	5	2	12
47	1	23	0	30	5	2	35
47	1	23	2	30	5	3	4
47	1	23	4	30	5	2	35
47	1	26	1	30	5	2	12
47	1	26	2	30	5	2	12
47	1	26	4	30	5	3	inf
47	1	29	1	30	5	3	4
47	1	29	3	30	5	2	35
47	1	29	4	30	5	2	35
47	2	2	0	30	5	2	35
47	2	2	1	30	5	2	35
47	2	2	3	30	5	3	4
47	2	5	0	30	5	3	inf
47	2	5	2	30	5	2	12
47	2	5	3	30	5	2	12
47	2	8	0	30	5	2	35
47	2	8	2	30	5	3	4
47	2	8	4	30	5	2	35
47	2	11	1	30	5	2	12
47	2	11	2	30	5	2	12
47	2	11	4	30	5	3	inf
