m	n	torsion_coset
-2160	-7200	1
-1880	-5520	1
-1040	-480	1
-9360	-9360	1
-7680	720	1
-7400	2400	1
-6056	-8688	1
-4656	-288	1
-4376	1392	1
-4320	-9360	1
-4040	-7680	1
-2640	720	1
1560	720	1
1840	2400	1
2680	7440	1
-9816	-9648	1
-9536	-7968	1
-8136	432	1
-3320	-1920	1
-1920	6480	1
-1136	-7968	1
1104	5472	1
1384	7152	1
-9560	240	1
-9000	3600	1
-8160	8640	1
-7656	-7488	1
-7040	-9840	1
-6816	-2448	1
-6536	-768	1
-6200	-9840	1
-5640	-6480	1
-5640	-1440	1
-4520	240	1
-3960	8640	1
-2616	-2448	1
-2336	-768	1
-936	7632	1
-656	9312	1
2760	-6480	1
5280	8640	1
2080	-9120	1
3480	-720	1
3760	960	1
6784	-48	1
7624	4992	1
8184	8352	1
8520	-720	1
8800	960	1
480	-7920	1
1320	-2880	1
1600	-1200	1
5520	-2880	1
5800	-1200	1
6304	7872	1
6640	-1200	1
7200	2160	1
7200	7200	1
7480	8880	1
8040	7200	1
8320	8880	1
8544	-3888	1
8824	-2208	1
-8400	-5040	1
-7560	0	1
-6720	5040	1
-1400	-8400	1
-560	-3360	1
0	0	1
3024	-1008	1
3304	672	1
4704	9072	1
7560	-5040	1
9240	5040	1
9520	6720	1
-9633	-337	2
-8737	7055	2
-7393	4703	2
-5601	-8401	2
-5377	6047	2
-2689	-8401	2
-1345	-2017	2
-1	-8401	2
-1	-1	2
2015	-7057	2
5823	4367	2
8511	8399	2
9183	5375	2
9407	-5377	2
-9729	-9841	2
-8833	-6817	2
-7713	-97	2
-7489	-4801	2
-7489	3599	2
-6369	1919	2
-5697	7295	2
-5473	-3457	2
-3457	6287	2
-2337	-6145	2
-2113	1583	2
-2113	8303	2
-1441	-4801	2
-321	1919	2
1023	7967	2
3263	2255	2
4383	-3793	2
4383	8975	2
-9697	-6673	2
-7233	-8017	2
-6561	4079	2
-5217	-6673	2
-3873	-2977	2
-3201	7439	2
-2977	-1633	2
-1857	-5665	2
-1857	5087	2
-513	383	2
383	3407	2
3743	6767	2
6879	4079	2
7775	-9697	2
8447	-6337	2
8895	-2977	2
9567	383	2
-9217	527	2
-8097	-7873	2
-7201	-2161	2
-6753	-5857	2
-6753	2543	2
-6081	-481	2
-5857	1535	2
-5857	3887	2
-5857	5567	2
-4737	8255	2
-4513	7583	2
-3841	9599	2
-2497	527	2
-2497	4895	2
-2497	8927	2
-1825	5903	2
2655	-817	2
3999	1199	2
4895	-4177	2
6015	2543	2
6911	-7201	2
8255	7583	2
-7137	9887	2
-6241	-6241	2
-5569	-2881	2
-4449	3839	2
-2881	-2881	2
1151	3839	2
2271	-6241	2
2943	9887	2
3839	8879	2
6527	143	2
8543	-9265	2
9887	5183	2
-9345	-4417	2
-9121	-721	2
-8001	-2401	2
-8001	5999	2
-3969	-4081	2
-3745	3983	2
-2401	-5761	2
287	2303	2
1631	4319	2
2751	2639	2
3423	3647	2
6783	-3073	2
7007	-6097	2
7007	9023	2
-8865	-3937	2
-8641	8159	2
-2817	1775	2
-2593	-8977	2
-801	-6961	2
767	-3937	2
3903	-8305	2
4799	-6961	2
4799	1439	2
5919	-241	2
5919	3119	2
6143	-7633	2
7263	-9313	2
7263	-4945	2
7935	-3937	2
9503	8495	2
