torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	24	56	80	112
1	48	56	48	112
1	40	56	96	112
1	16	56	16	112
1	8	56	64	112
1	32	56	32	112
1	0	56	0	112
1	27	56	111	112
1	3	56	31	112
1	43	56	15	112
1	19	56	47	112
1	11	56	95	112
1	51	56	79	112
1	35	56	63	112
1	13	56	34	112
1	45	56	66	112
1	29	56	50	112
1	5	56	82	112
1	53	56	18	112
1	37	56	2	112
1	21	56	98	112
1	38	56	45	112
1	6	56	13	112
1	54	56	61	112
1	30	56	93	112
1	22	56	29	112
1	46	56	109	112
1	14	56	77	112
2	20	56	48	112
2	4	56	32	112
2	28	56	0	112
2	36	56	64	112
2	12	56	96	112
2	52	56	80	112
2	44	56	16	112
2	41	56	34	112
2	1	56	50	112
2	33	56	82	112
2	9	56	2	112
2	17	56	66	112
2	49	56	98	112
2	25	56	18	112
2	34	56	13	112
2	18	56	109	112
2	42	56	77	112
2	50	56	29	112
2	26	56	61	112
2	10	56	45	112
2	2	56	93	112
2	55	56	111	112
2	15	56	15	112
2	47	56	47	112
2	23	56	79	112
2	31	56	31	112
2	7	56	63	112
2	39	56	95	112
