prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	0	0	8	4	3	inf
13	1	1	0	8	4	3	inf
13	1	2	3	8	4	3	inf
13	1	3	3	8	4	3	inf
13	1	4	2	8	4	3	inf
13	1	5	2	8	4	3	inf
13	1	6	1	8	4	3	inf
13	1	7	1	8	4	3	inf
13	2	0	2	8	4	3	inf
13	2	1	2	8	4	3	inf
13	2	2	1	8	4	3	inf
13	2	3	1	8	4	3	inf
13	2	4	0	8	4	3	inf
13	2	5	0	8	4	3	inf
13	2	6	3	8	4	3	inf
13	2	7	3	8	4	3	inf
41	1	0	0	8	16	3	inf
41	1	0	1	8	16	3	inf
41	1	1	10	8	16	3	inf
41	1	1	11	8	16	3	inf
41	1	2	4	8	16	3	inf
41	1	2	5	8	16	3	inf
41	1	3	14	8	16	3	inf
41	1	3	15	8	16	3	inf
41	1	4	8	8	16	3	inf
41	1	4	9	8	16	3	inf
41	1	5	2	8	16	3	inf
41	1	5	3	8	16	3	inf
41	1	6	12	8	16	3	inf
41	1	6	13	8	16	3	inf
41	1	7	6	8	16	3	inf
41	1	7	7	8	16	3	inf
41	2	0	8	8	16	3	inf
41	2	0	9	8	16	3	inf
41	2	1	2	8	16	3	inf
41	2	1	3	8	16	3	inf
41	2	2	12	8	16	3	inf
41	2	2	13	8	16	3	inf
41	2	3	6	8	16	3	inf
41	2	3	7	8	16	3	inf
41	2	4	0	8	16	3	inf
41	2	4	1	8	16	3	inf
41	2	5	10	8	16	3	inf
41	2	5	11	8	16	3	inf
41	2	6	4	8	16	3	inf
41	2	6	5	8	16	3	inf
41	2	7	14	8	16	3	inf
41	2	7	15	8	16	3	inf
67	1	0	0	14	7	3	inf
67	1	1	1	14	7	3	66
67	1	2	2	14	7	3	inf
67	1	3	3	14	7	3	66
67	1	4	4	14	7	3	inf
67	1	5	5	14	7	3	66
67	1	6	6	14	7	3	inf
67	1	7	0	14	7	3	66
67	1	8	1	14	7	3	inf
67	1	9	2	14	7	3	66
67	1	10	3	14	7	3	inf
67	1	11	4	14	7	3	66
67	1	12	5	14	7	3	inf
67	1	13	6	14	7	3	66
67	2	0	0	14	7	3	66
67	2	1	1	14	7	3	inf
67	2	2	2	14	7	3	66
67	2	3	3	14	7	3	inf
67	2	4	4	14	7	3	66
67	2	5	5	14	7	3	inf
67	2	6	6	14	7	3	66
67	2	7	0	14	7	3	inf
67	2	8	1	14	7	3	66
67	2	9	2	14	7	3	inf
67	2	10	3	14	7	3	66
67	2	11	4	14	7	3	inf
67	2	12	5	14	7	3	66
67	2	13	6	14	7	3	inf
