m	n	torsion_coset
-8640	-7608	1
4464	-7608	1
3528	-3864	1
2592	6432	1
-3600	6504	1
2952	-4416	1
9504	-6600	1
144	2760	1
6696	-5976	1
-4536	-5040	1
1080	3072	1
7632	-1296	1
-1080	-7440	1
9216	-6816	1
-8568	672	1
4536	672	1
-9504	6600	1
-2952	-6504	1
2448	-6936	1
9000	-4752	1
-360	-8496	1
-5040	-9744	1
-5040	-1008	1
-5976	2736	1
-2088	-7104	1
3528	-7728	1
-3960	384	1
2592	-1800	1
-1584	-7272	1
-3456	2400	1
-9144	3984	1
-2592	1800	1
6984	-6264	1
-8928	-3456	1
-7056	-336	1
6048	4032	1
8496	-1896	1
-864	3096	1
-5544	-4704	1
1008	-9072	1
72	-5328	1
936	-2064	1
-8424	-5808	1
-6552	6048	1
0	8232	1
5616	7608	1
-6624	-7776	1
-9432	-2784	1
-7560	9072	1
-8496	-2472	1
-1944	-6840	1
-4104	6672	1
-6912	7296	1
-5040	-4872	1
1512	-9240	1
7128	-1128	1
-1368	576	1
5184	2760	1
-6048	-9408	1
6120	-5664	1
-9648	1464	1
-3096	3648	1
3456	5832	1
7200	2088	1
9072	5208	1
8136	-4152	1
-1584	-3408	1
8712	-2784	1
-2520	336	1
-7416	4776	1
1008	-5208	1
72	-1464	1
-8424	-9672	1
-6552	2184	1
0	0	1
-7488	-7176	1
-9144	7848	1
9576	-8064	1
-4464	-2136	1
2088	48	1
8640	2232	1
-3096	-216	1
3456	-2400	1
-5904	6960	1
648	-1776	1
-4032	-9576	1
1584	2904	1
8136	-8016	1
-2880	-7656	1
-2880	5448	1
-1008	-4536	1
5544	-2352	1
-8496	-7344	1
-8496	1392	1
3168	-2616	1
5040	504	1
-9000	-2304	1
-2448	-6672	1
-7632	-7944	1
-7632	792	1
2664	1416	1
9216	-2952	1
-9504	-7008	1
-8928	5784	1
-7056	8904	1
-504	-2016	1
6048	-4200	1
-7992	-2640	1
-5112	-1728	1
7992	-1728	1
-7920	-7656	1
-6048	4200	1
504	-8904	1
6120	-9528	1
-3600	-2736	1
9504	1632	1
-6408	-4296	1
-3384	5616	1
3168	1248	1
-2448	-2808	1
5135	-9357	1
-9841	-621	1
1079	-7173	1
1079	1563	1
-4537	-6549	1
-4537	2187	1
-9985	3747	1
935	-2805	1
9671	-2805	1
5615	8115	1
7799	-7173	1
-1	3	1
599	-8517	1
599	219	1
-3457	2403	1
-5473	3075	1
-2353	3699	1
71	-6837	1
3191	2523	1
-2017	675	1
-2017	9411	1
6719	9411	1
4607	-285	1
7727	9075	1
8063	-2685	1
6143	-957	1
-7129	555	1
-265	4923	1
4463	4755	1
-6985	-5157	1
-6985	3579	1
-73	6939	1
-2593	7107	1
-3529	-7557	1
-3529	1179	1
-3937	-6333	1
-7993	-4149	1
-7993	4587	1
6047	7395	1
8807	-7509	1
-9649	-7341	1
3455	5763	1
-8401	6387	1
2519	-165	1
-5617	8787	1
-3433	-6501	1
-937	2235	1
2183	2859	1
6647	-1125	1
2591	9795	1
3527	-9237	1
-1273	5259	1
-2929	-6669	1
-4969	-5829	1
9071	5715	1
-6385	-3021	1
4535	-9573	1
4535	-837	1
-6121	-453	1
-5809	6099	1
1607	-117	1
-1513	-8229	1
