m	n	torsion_coset	t_valuation	t_mod13	t_mod13_5	chart	deep_p5
-8640	-7608	1	0	1	115896	finite	0
4464	-7608	1	0	1	102714	finite	0
3528	-3864	1	0	1	258233	finite	0
2592	6432	1	0	1	354121	finite	0
-3600	6504	1	0	1	143781	finite	0
2952	-4416	1	0	1	51507	finite	0
9504	-6600	1	0	1	273404	finite	0
144	2760	1	0	1	156391	finite	0
6696	-5976	1	0	1	327757	finite	0
-4536	-5040	1	0	1	295075	finite	0
1080	3072	1	0	1	127830	finite	0
7632	-1296	1	0	1	299196	finite	0
-1080	-7440	1	0	1	338976	finite	0
9216	-6816	1	0	1	290408	finite	0
-8568	672	1	0	1	113569	finite	0
4536	672	1	0	1	317890	finite	0
-9504	6600	1	0	1	61920	finite	0
-2952	-6504	1	0	1	290408	finite	0
2448	-6936	1	0	1	84969	finite	0
9000	-4752	1	0	1	164061	finite	0
-360	-8496	1	0	1	75102	finite	0
-5040	-9744	1	0	1	220208	finite	0
-5040	-1008	1	0	1	363013	finite	0
-5976	2736	1	0	1	160785	finite	0
-2088	-7104	1	0	1	291656	finite	0
3528	-7728	1	0	1	273612	finite	0
-3960	384	1	0	1	325560	finite	0
2592	-1800	1	0	1	11389	finite	0
-1584	-7272	1	0	1	53873	finite	0
-3456	2400	1	0	1	261847	finite	0
-9144	3984	1	0	1	116403	finite	0
-2592	1800	1	0	1	195495	finite	0
6984	-6264	1	0	1	344046	finite	0
-8928	-3456	1	0	1	158588	finite	0
-7056	-336	1	0	1	368928	finite	0
6048	4032	1	0	1	59151	finite	0
8496	-1896	1	0	1	199720	finite	0
-864	3096	1	0	1	171770	finite	0
-5544	-4704	1	0	1	351859	finite	0
1008	-9072	1	0	1	354056	finite	0
72	-5328	1	0	1	171770	finite	0
936	-2064	1	0	1	42550	finite	0
-8424	-5808	1	0	1	70708	finite	0
-6552	6048	1	0	1	353718	finite	0
0	8232	1	0	1	70305	finite	0
5616	7608	1	0	1	127830	finite	0
-6624	-7776	1	0	1	28185	finite	0
-9432	-2784	1	0	1	167376	finite	0
-7560	9072	1	0	1	318228	finite	0
-8496	-2472	1	0	1	224498	finite	0
-1944	-6840	1	0	1	253059	finite	0
-4104	6672	1	0	1	45423	finite	0
-6912	7296	1	0	1	217907	finite	0
-5040	-4872	1	0	1	264148	finite	0
1512	-9240	1	0	1	323467	finite	0
7128	-1128	1	0	1	189346	finite	0
-1368	576	1	0	1	360712	finite	0
5184	2760	1	0	1	275029	finite	0
-6048	-9408	1	0	1	342902	finite	0
6120	-5664	1	0	1	103663	finite	0
-9648	1464	1	0	1	360777	finite	0
-3096	3648	1	0	1	297064	finite	0
3456	5832	1	0	1	233351	finite	0
7200	2088	1	0	1	44344	finite	0
9072	5208	1	0	1	290850	finite	0
8136	-4152	1	0	1	187149	finite	0
-1584	-3408	1	0	1	157132	finite	0
8712	-2784	1	0	1	4798	finite	0
-2520	336	1	0	1	133173	finite	0
-7416	4776	1	0	1	171770	finite	0
1008	-5208	1	0	1	110189	finite	0
72	-1464	1	0	1	171770	finite	0
-8424	-9672	1	0	1	356318	finite	0
-6552	2184	1	0	1	169170	finite	0
0	0	1	0	1	1	finite	0
-7488	-7176	1	0	1	13586	finite	0
-9144	7848	1	0	1	333906	finite	0
9576	-8064	1	0	1	187760	finite	0
-4464	-2136	1	0	1	310181	finite	0
2088	48	1	0	1	281620	finite	0
8640	2232	1	0	1	253059	finite	0
-3096	-216	1	0	1	22439	finite	0
3456	-2400	1	0	1	358580	finite	0
-5904	6960	1	0	1	215710	finite	0
648	-1776	1	0	1	101466	finite	0
-4032	-9576	1	0	1	44786	finite	0
