torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	148	364	192	1092
1	148	364	504	1092
1	96	364	348	1092
1	96	364	36	1092
1	304	364	660	1092
1	44	364	192	1092
1	356	364	36	1092
1	200	364	348	1092
1	356	364	816	1092
1	252	364	816	1092
1	200	364	660	1092
1	252	364	504	1092
1	304	364	972	1092
1	44	364	972	1092
1	92	364	108	1092
1	92	364	420	1092
1	40	364	264	1092
1	40	364	1044	1092
1	248	364	576	1092
1	352	364	108	1092
1	300	364	1044	1092
1	144	364	264	1092
1	300	364	732	1092
1	196	364	732	1092
1	144	364	576	1092
1	196	364	420	1092
1	248	364	888	1092
1	352	364	888	1092
1	64	364	360	1092
1	64	364	672	1092
1	12	364	516	1092
1	12	364	204	1092
1	220	364	828	1092
1	324	364	360	1092
1	272	364	204	1092
1	116	364	516	1092
1	272	364	984	1092
1	168	364	984	1092
1	116	364	828	1092
1	168	364	672	1092
1	220	364	48	1092
1	324	364	48	1092
1	316	364	318	1092
1	316	364	630	1092
1	264	364	474	1092
1	264	364	162	1092
1	108	364	786	1092
1	212	364	318	1092
1	160	364	162	1092
1	4	364	474	1092
1	160	364	942	1092
1	56	364	942	1092
1	4	364	786	1092
1	56	364	630	1092
1	108	364	6	1092
1	212	364	6	1092
1	64	364	402	1092
1	64	364	714	1092
1	12	364	558	1092
1	12	364	246	1092
1	220	364	870	1092
1	324	364	402	1092
1	272	364	246	1092
1	116	364	558	1092
1	272	364	1026	1092
1	168	364	1026	1092
1	116	364	870	1092
1	168	364	714	1092
1	220	364	90	1092
1	324	364	90	1092
1	316	364	864	1092
1	316	364	84	1092
1	264	364	1020	1092
1	264	364	708	1092
1	108	364	240	1092
1	212	364	864	1092
1	160	364	708	1092
1	4	364	1020	1092
1	160	364	396	1092
1	56	364	396	1092
1	4	364	240	1092
1	56	364	84	1092
1	108	364	552	1092
1	212	364	552	1092
1	148	364	696	1092
1	148	364	1008	1092
1	96	364	852	1092
1	96	364	540	1092
1	304	364	72	1092
1	44	364	696	1092
1	356	364	540	1092
1	200	364	852	1092
1	356	364	228	1092
1	252	364	228	1092
1	200	364	72	1092
1	252	364	1008	1092
1	304	364	384	1092
1	44	364	384	1092
1	8	364	906	1092
1	8	364	126	1092
1	320	364	1062	1092
1	320	364	750	1092
1	164	364	282	1092
1	268	364	906	1092
1	216	364	750	1092
1	60	364	1062	1092
1	216	364	438	1092
1	112	364	438	1092
1	60	364	282	1092
1	112	364	126	1092
1	164	364	594	1092
1	268	364	594	1092
1	344	364	66	1092
1	344	364	378	1092
1	292	364	222	1092
1	292	364	1002	1092
1	136	364	534	1092
1	240	364	66	1092
1	188	364	1002	1092
1	32	364	222	1092
1	188	364	690	1092
1	84	364	690	1092
1	32	364	534	1092
1	84	364	378	1092
1	136	364	846	1092
1	240	364	846	1092
1	288	364	528	1092
1	288	364	840	1092
1	236	364	684	1092
1	236	364	372	1092
1	80	364	996	1092
1	184	364	528	1092
1	132	364	372	1092
1	340	364	684	1092
1	132	364	60	1092
1	28	364	60	1092
1	340	364	996	1092
1	28	364	840	1092
1	80	364	216	1092
1	184	364	216	1092
1	8	364	864	1092
1	8	364	84	1092
1	320	364	1020	1092
1	320	364	708	1092
1	164	364	240	1092
1	268	364	864	1092
1	216	364	708	1092
1	60	364	1020	1092
1	216	364	396	1092
1	112	364	396	1092
1	60	364	240	1092
1	112	364	84	1092
1	164	364	552	1092
1	268	364	552	1092
1	92	364	570	1092
1	92	364	882	1092
1	40	364	726	1092
1	40	364	414	1092
1	248	364	1038	1092
1	352	364	570	1092
1	300	364	414	1092
1	144	364	726	1092
1	300	364	102	1092
1	196	364	102	1092
1	144	364	1038	1092
1	196	364	882	1092
1	248	364	258	1092
1	352	364	258	1092
1	36	364	654	1092
1	36	364	966	1092
1	348	364	810	1092
1	348	364	498	1092
1	192	364	30	1092
1	296	364	654	1092
1	244	364	498	1092
1	88	364	810	1092
1	244	364	186	1092
1	140	364	186	1092
1	88	364	30	1092
1	140	364	966	1092
1	192	364	342	1092
1	296	364	342	1092
1	120	364	444	1092
1	120	364	756	1092
1	68	364	600	1092
1	68	364	288	1092
1	276	364	912	1092
1	16	364	444	1092
1	328	364	288	1092
1	172	364	600	1092
1	328	364	1068	1092
1	224	364	1068	1092
1	172	364	912	1092
1	224	364	756	1092
1	276	364	132	1092
1	16	364	132	1092
1	176	364	444	1092
1	176	364	756	1092
1	124	364	600	1092
1	124	364	288	1092
1	332	364	912	1092
1	72	364	444	1092
1	20	364	288	1092
1	228	364	600	1092
1	20	364	1068	1092
1	280	364	1068	1092
1	228	364	912	1092
1	280	364	756	1092
1	332	364	132	1092
1	72	364	132	1092
1	260	364	276	1092
1	260	364	588	1092
1	208	364	432	1092
1	208	364	120	1092
1	52	364	744	1092
1	156	364	276	1092
1	104	364	120	1092
1	312	364	432	1092
1	104	364	900	1092
1	0	364	900	1092
1	312	364	744	1092
1	0	364	588	1092
1	52	364	1056	1092
1	156	364	1056	1092
1	344	364	24	1092
1	344	364	336	1092
1	292	364	180	1092
1	292	364	960	1092
1	136	364	492	1092
1	240	364	24	1092
1	188	364	960	1092
1	32	364	180	1092
1	188	364	648	1092
1	84	364	648	1092
1	32	364	492	1092
1	84	364	336	1092
1	136	364	804	1092
1	240	364	804	1092
1	260	364	150	1092
1	260	364	462	1092
1	208	364	306	1092
1	208	364	1086	1092
1	52	364	618	1092
1	156	364	150	1092
1	104	364	1086	1092
1	312	364	306	1092
1	104	364	774	1092
1	0	364	774	1092
1	312	364	618	1092
1	0	364	462	1092
1	52	364	930	1092
1	156	364	930	1092
1	260	364	822	1092
1	260	364	42	1092
1	208	364	978	1092
1	208	364	666	1092
1	52	364	198	1092
1	156	364	822	1092
1	104	364	666	1092
1	312	364	978	1092
1	104	364	354	1092
1	0	364	354	1092
1	312	364	198	1092
1	0	364	42	1092
1	52	364	510	1092
1	156	364	510	1092
1	204	364	654	1092
1	204	364	966	1092
1	152	364	810	1092
1	152	364	498	1092
1	360	364	30	1092
1	100	364	654	1092
1	48	364	498	1092
1	256	364	810	1092
1	48	364	186	1092
1	308	364	186	1092
1	256	364	30	1092
1	308	364	966	1092
1	360	364	342	1092
1	100	364	342	1092
1	316	364	276	1092
1	316	364	588	1092
1	264	364	432	1092
1	264	364	120	1092
1	108	364	744	1092
1	212	364	276	1092
1	160	364	120	1092
1	4	364	432	1092
1	160	364	900	1092
1	56	364	900	1092
1	4	364	744	1092
1	56	364	588	1092
1	108	364	1056	1092
1	212	364	1056	1092
1	36	364	1074	1092
1	36	364	294	1092
1	348	364	138	1092
1	348	364	918	1092
1	192	364	450	1092
1	296	364	1074	1092
1	244	364	918	1092
1	88	364	138	1092
1	244	364	606	1092
1	140	364	606	1092
1	88	364	450	1092
1	140	364	294	1092
1	192	364	762	1092
1	296	364	762	1092
1	36	364	108	1092
1	36	364	420	1092
1	348	364	264	1092
1	348	364	1044	1092
1	192	364	576	1092
1	296	364	108	1092
1	244	364	1044	1092
1	88	364	264	1092
1	244	364	732	1092
1	140	364	732	1092
1	88	364	576	1092
1	140	364	420	1092
1	192	364	888	1092
1	296	364	888	1092
1	176	364	906	1092
1	176	364	126	1092
1	124	364	1062	1092
1	124	364	750	1092
1	332	364	282	1092
1	72	364	906	1092
1	20	364	750	1092
1	228	364	1062	1092
1	20	364	438	1092
1	280	364	438	1092
1	228	364	282	1092
1	280	364	126	1092
1	332	364	594	1092
1	72	364	594	1092
1	176	364	486	1092
1	176	364	798	1092
1	124	364	642	1092
1	124	364	330	1092
1	332	364	954	1092
1	72	364	486	1092
1	20	364	330	1092
1	228	364	642	1092
1	20	364	18	1092
1	280	364	18	1092
1	228	364	954	1092
1	280	364	798	1092
1	332	364	174	1092
1	72	364	174	1092
1	232	364	528	1092
1	232	364	840	1092
1	180	364	684	1092
1	180	364	372	1092
1	24	364	996	1092
1	128	364	528	1092
1	76	364	372	1092
1	284	364	684	1092
1	76	364	60	1092
1	336	364	60	1092
1	284	364	996	1092
1	336	364	840	1092
1	24	364	216	1092
1	128	364	216	1092
1	204	364	234	1092
1	204	364	546	1092
1	152	364	390	1092
1	152	364	78	1092
1	360	364	702	1092
1	100	364	234	1092
1	48	364	78	1092
1	256	364	390	1092
1	48	364	858	1092
1	308	364	858	1092
1	256	364	702	1092
1	308	364	546	1092
1	360	364	1014	1092
1	100	364	1014	1092
1	288	364	24	1092
1	288	364	336	1092
1	236	364	180	1092
1	236	364	960	1092
1	80	364	492	1092
1	184	364	24	1092
1	132	364	960	1092
1	340	364	180	1092
1	132	364	648	1092
1	28	364	648	1092
1	340	364	492	1092
1	28	364	336	1092
1	80	364	804	1092
1	184	364	804	1092
1	148	364	738	1092
1	148	364	1050	1092
1	96	364	894	1092
1	96	364	582	1092
1	304	364	114	1092
1	44	364	738	1092
1	356	364	582	1092
1	200	364	894	1092
1	356	364	270	1092
1	252	364	270	1092
1	200	364	114	1092
1	252	364	1050	1092
1	304	364	426	1092
1	44	364	426	1092
1	176	364	1032	1092
1	176	364	252	1092
1	124	364	96	1092
1	124	364	876	1092
1	332	364	408	1092
1	72	364	1032	1092
1	20	364	876	1092
1	228	364	96	1092
1	20	364	564	1092
1	280	364	564	1092
1	228	364	408	1092
1	280	364	252	1092
1	332	364	720	1092
1	72	364	720	1092
1	260	364	780	1092
1	260	364	0	1092
1	208	364	936	1092
1	208	364	624	1092
1	52	364	156	1092
1	156	364	780	1092
1	104	364	624	1092
1	312	364	936	1092
1	104	364	312	1092
