prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
23	1	0	0	4	6	3	inf
23	1	3	3	4	6	3	inf
23	2	1	3	4	6	3	inf
23	2	2	0	4	6	3	inf
61	1	0	0	52	52	3	inf
61	1	0	16	52	52	3	inf
61	1	0	42	52	52	3	inf
61	1	0	46	52	52	3	inf
61	1	1	7	52	52	3	inf
61	1	1	33	52	52	3	inf
61	1	1	37	52	52	3	inf
61	1	1	43	52	52	3	inf
61	1	2	24	52	52	3	inf
61	1	2	28	52	52	3	inf
61	1	2	34	52	52	3	inf
61	1	2	50	52	52	3	inf
61	1	3	15	52	52	3	inf
61	1	3	19	52	52	3	inf
61	1	3	25	52	52	3	inf
61	1	3	41	52	52	3	inf
61	1	4	6	52	52	3	inf
61	1	4	10	52	52	3	inf
61	1	4	16	52	52	3	inf
61	1	4	32	52	52	3	inf
61	1	5	1	52	52	3	inf
61	1	5	7	52	52	3	inf
61	1	5	23	52	52	3	inf
61	1	5	49	52	52	3	inf
61	1	6	14	52	52	3	inf
61	1	6	40	52	52	3	inf
61	1	6	44	52	52	3	inf
61	1	6	50	52	52	3	inf
61	1	7	5	52	52	3	inf
61	1	7	31	52	52	3	inf
61	1	7	35	52	52	3	inf
61	1	7	41	52	52	3	inf
61	1	8	22	52	52	3	inf
61	1	8	26	52	52	3	inf
61	1	8	32	52	52	3	inf
61	1	8	48	52	52	3	inf
61	1	9	13	52	52	3	inf
61	1	9	17	52	52	3	inf
61	1	9	23	52	52	3	inf
61	1	9	39	52	52	3	inf
61	1	10	4	52	52	3	inf
61	1	10	8	52	52	3	inf
61	1	10	14	52	52	3	inf
61	1	10	30	52	52	3	inf
61	1	11	5	52	52	3	inf
61	1	11	21	52	52	3	inf
61	1	11	47	52	52	3	inf
61	1	11	51	52	52	3	inf
61	1	12	12	52	52	3	inf
61	1	12	38	52	52	3	inf
61	1	12	42	52	52	3	inf
61	1	12	48	52	52	3	inf
61	1	13	3	52	52	3	inf
61	1	13	29	52	52	3	inf
61	1	13	33	52	52	3	inf
61	1	13	39	52	52	3	inf
61	1	14	20	52	52	3	inf
61	1	14	24	52	52	3	inf
61	1	14	30	52	52	3	inf
61	1	14	46	52	52	3	inf
61	1	15	11	52	52	3	inf
61	1	15	15	52	52	3	inf
61	1	15	21	52	52	3	inf
61	1	15	37	52	52	3	inf
61	1	16	2	52	52	3	inf
61	1	16	6	52	52	3	inf
61	1	16	12	52	52	3	inf
61	1	16	28	52	52	3	inf
61	1	17	3	52	52	3	inf
61	1	17	19	52	52	3	inf
61	1	17	45	52	52	3	inf
61	1	17	49	52	52	3	inf
61	1	18	10	52	52	3	inf
61	1	18	36	52	52	3	inf
61	1	18	40	52	52	3	inf
61	1	18	46	52	52	3	inf
61	1	19	1	52	52	3	inf
61	1	19	27	52	52	3	inf
61	1	19	31	52	52	3	inf
61	1	19	37	52	52	3	inf
61	1	20	18	52	52	3	inf
61	1	20	22	52	52	3	inf
61	1	20	28	52	52	3	inf
61	1	20	44	52	52	3	inf
61	1	21	9	52	52	3	inf
61	1	21	13	52	52	3	inf
61	1	21	19	52	52	3	inf
61	1	21	35	52	52	3	inf
61	1	22	0	52	52	3	inf
61	1	22	4	52	52	3	inf
61	1	22	10	52	52	3	inf
61	1	22	26	52	52	3	inf
61	1	23	1	52	52	3	inf
61	1	23	17	52	52	3	inf
61	1	23	43	52	52	3	inf
61	1	23	47	52	52	3	inf
61	1	24	8	52	52	3	inf
61	1	24	34	52	52	3	inf
61	1	24	38	52	52	3	inf
61	1	24	44	52	52	3	inf
61	1	25	25	52	52	3	inf
61	1	25	29	52	52	3	inf
61	1	25	35	52	52	3	inf
61	1	25	51	52	52	3	inf
61	1	26	16	52	52	3	inf
61	1	26	20	52	52	3	inf
61	1	26	26	52	52	3	inf
61	1	26	42	52	52	3	inf
61	1	27	7	52	52	3	inf
61	1	27	11	52	52	3	inf
61	1	27	17	52	52	3	inf
61	1	27	33	52	52	3	inf
61	1	28	2	52	52	3	inf
61	1	28	8	52	52	3	inf
61	1	28	24	52	52	3	inf
61	1	28	50	52	52	3	inf
61	1	29	15	52	52	3	inf
61	1	29	41	52	52	3	inf
61	1	29	45	52	52	3	inf
61	1	29	51	52	52	3	inf
61	1	30	6	52	52	3	inf
61	1	30	32	52	52	3	inf
61	1	30	36	52	52	3	inf
61	1	30	42	52	52	3	inf
61	1	31	23	52	52	3	inf
61	1	31	27	52	52	3	inf
61	1	31	33	52	52	3	inf
61	1	31	49	52	52	3	inf
61	1	32	14	52	52	3	inf
61	1	32	18	52	52	3	inf
61	1	32	24	52	52	3	inf
61	1	32	40	52	52	3	inf
61	1	33	5	52	52	3	inf
61	1	33	9	52	52	3	inf
61	1	33	15	52	52	3	inf
61	1	33	31	52	52	3	inf
61	1	34	0	52	52	3	inf
61	1	34	6	52	52	3	inf
61	1	34	22	52	52	3	inf
61	1	34	48	52	52	3	inf
61	1	35	13	52	52	3	inf
61	1	35	39	52	52	3	inf
61	1	35	43	52	52	3	inf
61	1	35	49	52	52	3	inf
61	1	36	4	52	52	3	inf
61	1	36	30	52	52	3	inf
61	1	36	34	52	52	3	inf
61	1	36	40	52	52	3	inf
61	1	37	21	52	52	3	inf
61	1	37	25	52	52	3	inf
61	1	37	31	52	52	3	inf
61	1	37	47	52	52	3	inf
61	1	38	12	52	52	3	inf
61	1	38	16	52	52	3	inf
61	1	38	22	52	52	3	inf
61	1	38	38	52	52	3	inf
61	1	39	3	52	52	3	inf
61	1	39	7	52	52	3	inf
61	1	39	13	52	52	3	inf
61	1	39	29	52	52	3	inf
61	1	40	4	52	52	3	inf
61	1	40	20	52	52	3	inf
61	1	40	46	52	52	3	inf
61	1	40	50	52	52	3	inf
61	1	41	11	52	52	3	inf
61	1	41	37	52	52	3	inf
61	1	41	41	52	52	3	inf
61	1	41	47	52	52	3	inf
61	1	42	2	52	52	3	inf
61	1	42	28	52	52	3	inf
61	1	42	32	52	52	3	inf
61	1	42	38	52	52	3	inf
61	1	43	19	52	52	3	inf
61	1	43	23	52	52	3	inf
61	1	43	29	52	52	3	inf
61	1	43	45	52	52	3	inf
61	1	44	10	52	52	3	inf
61	1	44	14	52	52	3	inf
61	1	44	20	52	52	3	inf
61	1	44	36	52	52	3	inf
61	1	45	1	52	52	3	inf
61	1	45	5	52	52	3	inf
61	1	45	11	52	52	3	inf
61	1	45	27	52	52	3	inf
61	1	46	2	52	52	3	inf
61	1	46	18	52	52	3	inf
61	1	46	44	52	52	3	inf
61	1	46	48	52	52	3	inf
61	1	47	9	52	52	3	inf
61	1	47	35	52	52	3	inf
61	1	47	39	52	52	3	inf
61	1	47	45	52	52	3	inf
61	1	48	0	52	52	3	inf
61	1	48	26	52	52	3	inf
61	1	48	30	52	52	3	inf
61	1	48	36	52	52	3	inf
61	1	49	17	52	52	3	inf
61	1	49	21	52	52	3	inf
61	1	49	27	52	52	3	inf
61	1	49	43	52	52	3	inf
61	1	50	8	52	52	3	inf
61	1	50	12	52	52	3	inf
61	1	50	18	52	52	3	inf
61	1	50	34	52	52	3	inf
61	1	51	3	52	52	3	inf
61	1	51	9	52	52	3	inf
61	1	51	25	52	52	3	inf
61	1	51	51	52	52	3	inf
61	2	0	16	52	52	3	inf
61	2	0	20	52	52	3	inf
61	2	0	26	52	52	3	inf
61	2	0	42	52	52	3	inf
61	2	1	7	52	52	3	inf
61	2	1	11	52	52	3	inf
61	2	1	17	52	52	3	inf
61	2	1	33	52	52	3	inf
61	2	2	2	52	52	3	inf
61	2	2	8	52	52	3	inf
61	2	2	24	52	52	3	inf
61	2	2	50	52	52	3	inf
61	2	3	15	52	52	3	inf
61	2	3	41	52	52	3	inf
61	2	3	45	52	52	3	inf
61	2	3	51	52	52	3	inf
61	2	4	6	52	52	3	inf
61	2	4	32	52	52	3	inf
61	2	4	36	52	52	3	inf
61	2	4	42	52	52	3	inf
61	2	5	23	52	52	3	inf
61	2	5	27	52	52	3	inf
61	2	5	33	52	52	3	inf
61	2	5	49	52	52	3	inf
61	2	6	14	52	52	3	inf
61	2	6	18	52	52	3	inf
61	2	6	24	52	52	3	inf
61	2	6	40	52	52	3	inf
61	2	7	5	52	52	3	inf
61	2	7	9	52	52	3	inf
61	2	7	15	52	52	3	inf
61	2	7	31	52	52	3	inf
61	2	8	0	52	52	3	inf
61	2	8	6	52	52	3	inf
61	2	8	22	52	52	3	inf
61	2	8	48	52	52	3	inf
61	2	9	13	52	52	3	inf
61	2	9	39	52	52	3	inf
61	2	9	43	52	52	3	inf
61	2	9	49	52	52	3	inf
