prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	1	1	4	2	3	inf
13	2	1	0	4	2	3	inf
47	1	1	0	24	6	3	12
47	1	1	1	24	6	2	4
47	1	1	3	24	6	3	35
47	1	1	4	24	6	2	43
47	1	1	5	24	6	3	inf
47	1	2	1	24	6	2	4
47	1	2	2	24	6	3	12
47	1	2	4	24	6	2	43
47	1	2	5	24	6	3	35
47	1	5	0	24	6	3	inf
47	1	5	1	24	6	3	12
47	1	5	2	24	6	2	4
47	1	5	4	24	6	3	35
47	1	5	5	24	6	2	43
47	1	6	0	24	6	3	35
47	1	6	2	24	6	2	4
47	1	6	3	24	6	3	12
47	1	6	5	24	6	2	43
47	1	9	0	24	6	2	43
47	1	9	1	24	6	3	inf
47	1	9	2	24	6	3	12
47	1	9	3	24	6	2	4
47	1	9	5	24	6	3	35
47	1	10	0	24	6	2	43
47	1	10	1	24	6	3	35
47	1	10	3	24	6	2	4
47	1	10	4	24	6	3	12
47	1	13	0	24	6	3	35
47	1	13	1	24	6	2	43
47	1	13	2	24	6	3	inf
47	1	13	3	24	6	3	12
47	1	13	4	24	6	2	4
47	1	14	1	24	6	2	43
47	1	14	2	24	6	3	35
47	1	14	4	24	6	2	4
47	1	14	5	24	6	3	12
47	1	17	1	24	6	3	35
47	1	17	2	24	6	2	43
47	1	17	3	24	6	3	inf
47	1	17	4	24	6	3	12
47	1	17	5	24	6	2	4
47	1	18	0	24	6	3	12
47	1	18	2	24	6	2	43
47	1	18	3	24	6	3	35
47	1	18	5	24	6	2	4
47	1	21	0	24	6	2	4
47	1	21	2	24	6	3	35
47	1	21	3	24	6	2	43
47	1	21	4	24	6	3	inf
47	1	21	5	24	6	3	12
47	1	22	0	24	6	2	4
47	1	22	1	24	6	3	12
47	1	22	3	24	6	2	43
47	1	22	4	24	6	3	35
47	2	1	0	24	6	3	35
47	2	1	1	24	6	2	43
47	2	1	2	24	6	3	inf
47	2	1	3	24	6	3	12
47	2	1	4	24	6	2	4
47	2	2	1	24	6	2	43
47	2	2	2	24	6	3	35
47	2	2	4	24	6	2	4
47	2	2	5	24	6	3	12
47	2	5	1	24	6	3	35
47	2	5	2	24	6	2	43
47	2	5	3	24	6	3	inf
47	2	5	4	24	6	3	12
47	2	5	5	24	6	2	4
47	2	6	0	24	6	3	12
47	2	6	2	24	6	2	43
47	2	6	3	24	6	3	35
47	2	6	5	24	6	2	4
47	2	9	0	24	6	2	4
47	2	9	2	24	6	3	35
47	2	9	3	24	6	2	43
47	2	9	4	24	6	3	inf
47	2	9	5	24	6	3	12
47	2	10	0	24	6	2	4
47	2	10	1	24	6	3	12
47	2	10	3	24	6	2	43
47	2	10	4	24	6	3	35
47	2	13	0	24	6	3	12
47	2	13	1	24	6	2	4
47	2	13	3	24	6	3	35
47	2	13	4	24	6	2	43
47	2	13	5	24	6	3	inf
47	2	14	1	24	6	2	4
47	2	14	2	24	6	3	12
47	2	14	4	24	6	2	43
47	2	14	5	24	6	3	35
47	2	17	0	24	6	3	inf
47	2	17	1	24	6	3	12
47	2	17	2	24	6	2	4
47	2	17	4	24	6	3	35
47	2	17	5	24	6	2	43
47	2	18	0	24	6	3	35
47	2	18	2	24	6	2	4
47	2	18	3	24	6	3	12
47	2	18	5	24	6	2	43
47	2	21	0	24	6	2	43
47	2	21	1	24	6	3	inf
47	2	21	2	24	6	3	12
47	2	21	3	24	6	2	4
47	2	21	5	24	6	3	35
47	2	22	0	24	6	2	43
47	2	22	1	24	6	3	35
47	2	22	3	24	6	2	4
47	2	22	4	24	6	3	12
41	1	0	0	10	10	3	1
41	1	0	2	10	10	3	38
41	1	0	3	10	10	3	6
41	1	0	4	10	10	3	0
41	1	0	5	10	10	3	35
41	1	0	6	10	10	3	3
41	1	0	8	10	10	3	40
41	1	0	9	10	10	3	inf
41	1	1	0	10	10	3	35
41	1	1	1	10	10	3	0
41	1	1	2	10	10	3	6
41	1	1	3	10	10	3	38
41	1	1	5	10	10	3	1
41	1	1	6	10	10	3	inf
41	1	1	7	10	10	3	40
41	1	1	9	10	10	3	inf
41	1	2	0	10	10	3	3
41	1	2	2	10	10	3	40
