m	n	k	torsion_coset
-2998	-2755	-1693	1
-2998	-2755	827	1
-2998	-2755	2267	1
-2998	-1963	755	1
-2998	-1963	1835	1
-2998	-1963	-325	1
-2998	-1675	2627	1
-2998	-1675	-1333	1
-2998	-1675	1187	1
-2998	-1675	-2773	1
-2998	-883	35	1
-2998	-883	1115	1
-2998	-883	-2845	1
-2998	-883	2195	1
-2998	1205	467	1
-2998	1205	1547	1
-2998	1997	-2125	1
-2998	1997	1475	1
-2998	1997	1835	1
-2998	2285	827	1
-2998	2285	1907	1
-2998	2285	-2773	1
-2995	-1516	-1873	1
-2995	-1516	1007	1
-2995	-1516	-2953	1
-2995	-1516	2087	1
-2995	-436	-1513	1
-2995	-436	1367	1
-2995	-436	-2593	1
-2995	-436	2447	1
-2995	644	-2233	1
-2995	644	2807	1
-2995	644	-1153	1
-2995	644	1727	1
-2995	2444	287	1
-2995	2444	2807	1
-2995	2444	-1873	1
-2995	2444	-793	1
-2994	-2751	-1509	1
-2994	-2751	1371	1
-2994	-2751	-2589	1
-2994	-2751	2451	1
-2994	-2247	507	1
-2994	-2247	-573	1
-2994	-1959	-2229	1
-2994	-1959	867	1
-2994	-1959	1371	1
-2994	-1959	1947	1
-2994	-1959	-213	1
-2994	-1959	-2589	1
-2994	-1959	2451	1
-2994	-1455	-2157	1
-2994	-1455	2883	1
-2994	-1455	-1077	1
-2994	-1455	1803	1
-2994	-1167	867	1
-2994	-1167	-213	1
-2994	-375	-1797	1
-2994	-375	-717	1
-2994	-375	2163	1
-2994	129	2811	1
-2994	129	-1869	1
-2994	129	-789	1
-2994	921	-2373	1
-2994	921	-1869	1
-2994	921	1227	1
-2994	921	1587	1
-2994	921	-789	1
-2994	921	-2949	1
-2994	921	2091	1
-2994	1209	-1509	1
-2994	1209	-429	1
-2994	1713	-2373	1
-2994	1713	507	1
-2994	1713	1587	1
-2994	2001	-2013	1
-2994	2001	-1509	1
-2994	2001	1587	1
-2994	2001	1947	1
-2994	2001	-429	1
-2994	2001	-2589	1
-2994	2001	2451	1
-2994	2505	3	1
-2994	2505	-1077	1
-2994	2793	-2013	1
-2994	2793	867	1
-2994	2793	1947	1
-2991	-2808	-2193	1
-2991	-2808	2847	1
-2991	-2808	687	1
-2991	-2808	1767	1
-2991	-2592	255	1
-2991	-2592	831	1
-2991	-2592	1335	1
-2991	-2592	-609	1
-2991	-2592	1911	1
-2991	-2592	-249	1
-2991	-2592	-2625	1
-2991	-2592	2415	1
-2991	-2304	-2265	1
-2991	-2304	2775	1
-2991	-2304	-1185	1
-2991	-2304	1335	1
-2991	-2304	1695	1
-2991	-2016	183	1
-2991	-2016	759	1
-2991	-2016	-1401	1
-2991	-2016	1263	1
-2991	-2016	-897	1
-2991	-2016	-321	1
-2991	-1512	111	1
-2991	-1512	-2265	1
-2991	-1512	2775	1
-2991	-1512	615	1
-2991	-1512	1191	1
-2991	-1512	1695	1
-2991	-1512	-2769	1
-2991	-1512	-249	1
-2991	-1512	2271	1
-2991	-1224	-1905	1
-2991	-1224	-825	1
-2991	-1224	1695	1
-2991	-1224	-2985	1
-2991	-1224	2055	1
-2991	-1008	-1833	1
-2991	-1008	-753	1
-2991	-1008	1767	1
-2991	-1008	-2913	1
-2991	-1008	2127	1
-2991	-432	-2409	1
-2991	-432	111	1
-2991	-432	2631	1
-2991	-432	471	1
-2991	-432	-1905	1
-2991	-432	975	1
-2991	-432	1551	1
-2991	-432	-2985	1
-2991	-432	2055	1
-2991	-216	39	1
-2991	-216	2559	1
-2991	-216	-2337	1
-2991	-216	183	1
-2991	-216	2703	1
-2991	-216	543	1
-2991	-216	-1401	1
-2991	-216	1119	1
-2991	-216	1623	1
-2991	-216	-2841	1
-2991	72	-1473	1
-2991	72	-393	1
-2991	72	2127	1
-2991	72	-2553	1
-2991	72	2487	1
-2991	576	-1545	1
-2991	576	975	1
-2991	576	-2985	1
-2991	576	-465	1
-2991	864	-2481	1
-2991	864	399	1
-2991	864	2919	1
-2991	864	-1977	1
-2991	864	543	1
-2991	864	903	1
-2991	864	-1041	1
-2991	864	1479	1
-2991	864	1983	1
-2991	1152	-2193	1
-2991	1152	2847	1
-2991	1152	-1113	1
-2991	1152	-33	1
-2991	1152	2487	1
-2991	1368	-2049	1
-2991	1368	-1545	1
-2991	1368	975	1
-2991	1368	1551	1
-2991	1368	-609	1
-2991	1368	1911	1
-2991	1368	-2985	1
-2991	1368	-465	1
-2991	1368	-2625	1
-2991	1368	2415	1
-2991	1656	-1185	1
-2991	1656	1335	1
-2991	1656	-2625	1
-2991	1656	-105	1
-2991	1944	-2121	1
-2991	1944	759	1
-2991	1944	-1617	1
-2991	1944	903	1
-2991	1944	1263	1
-2991	1944	-681	1
-2991	1944	1839	1
-2991	1944	-2697	1
-2991	1944	2343	1
-2991	2448	-2265	1
-2991	2448	2775	1
-2991	2448	-1689	1
-2991	2448	-1185	1
-2991	2448	1335	1
-2991	2448	1911	1
-2991	2448	-2769	1
-2991	2448	-249	1
-2991	2448	2271	1
-2991	2448	-2625	1
-2991	2448	-105	1
-2991	2736	-2265	1
-2991	2736	255	1
-2991	2736	-825	1
-2991	2736	1695	1
-2991	2952	-2193	1
-2991	2952	327	1
-2991	2952	-753	1
-2991	2952	1767	1
-2990	-2771	-2305	2
-2990	-2771	2735	2
-2990	-2771	287	2
-2990	-2771	575	2
-2990	-2771	-1225	2
-2990	-2771	1295	2
-2990	-2771	1367	2
-2990	-2771	-433	2
-2990	-2771	2087	2
-2990	-2771	-2665	2
-2990	-2771	-145	2
-2990	-2483	143	2
-2990	-2483	719	2
-2990	-2483	1223	2
-2990	-2483	-721	2
-2990	-2483	1799	2
-2990	-2483	-361	2
-2990	-2483	-2737	2
-2990	-2483	2303	2
-2990	-2483	-2521	2
-2990	-2483	2519	2
-2990	-2267	-2449	2
-2990	-2267	2591	2
-2990	-2267	-2233	2
-2990	-2267	287	2
-2990	-2267	-2161	2
-2990	-2267	2879	2
-2990	-2267	719	2
-2990	-2267	791	2
-2990	-2267	-1441	2
-2990	-2267	1079	2
-2990	-2267	-793	2
-2990	-2267	1727	2
-2990	-2267	1799	2
-2990	-2267	-649	2
-2990	-2267	1871	2
-2990	-2267	-2953	2
-2990	-2267	2087	2
-2990	-2267	-289	2
-2990	-1691	-2305	2
-2990	-1691	215	2
-2990	-1691	-1945	2
-2990	-1691	647	2
-2990	-1691	935	2
-2990	-1691	-865	2
-2990	-1691	1655	2
-2990	-1691	1727	2
-2990	-1691	-2953	2
-2990	-1691	-73	2
-2990	-1691	2447	2
-2990	-1475	215	2
-2990	-1475	-2233	2
-2990	-1475	287	2
-2990	-1475	-1873	2
-2990	-1475	1007	2
-2990	-1475	1295	2
-2990	-1475	-865	2
-2990	-1475	-793	2
-2990	-1475	1727	2
-2990	-1475	-505	2
-2990	-1187	71	2
-2990	-1187	-2089	2
-2990	-1187	2951	2
-2990	-1187	-1873	2
-2990	-1187	647	2
-2990	-1187	-1801	2
-2990	-1187	1079	2
-2990	-1187	1151	2
-2990	-1187	-1081	2
-2990	-1187	1439	2
-2990	-1187	-433	2
-2990	-1187	2087	2
-2990	-1187	-2881	2
-2990	-1187	2159	2
-2990	-1187	-2809	2
-2990	-1187	-289	2
-2990	-1187	2231	2
-2990	-1187	-2593	2
-2990	-1187	2447	2
-2990	-683	-2377	2
-2990	-683	143	2
-2990	-683	2663	2
-2990	-683	719	2
-2990	-683	-1441	2
-2990	-683	1079	2
-2990	-683	-1297	2
-2990	-683	-1081	2
-2990	-683	1583	2
-2990	-683	-577	2
-2990	-683	-2881	2
-2990	-395	575	2
-2990	-395	-1873	2
-2990	-395	647	2
-2990	-395	-1513	2
-2990	-395	1367	2
-2990	-395	1655	2
-2990	-395	-505	2
-2990	-395	-433	2
-2990	-395	2087	2
-2990	-395	-2665	2
-2990	-395	-145	2
-2990	-107	-2449	2
-2990	-107	71	2
-2990	-107	2591	2
-2990	-107	-2233	2
-2990	-107	2807	2
-2990	-107	431	2
-2990	-107	-1729	2
-2990	-107	-1513	2
-2990	-107	1007	2
-2990	-107	-1441	2
-2990	-107	1439	2
-2990	-107	1511	2
-2990	-107	-721	2
-2990	-107	1799	2
-2990	-107	-2953	2
-2990	-107	-73	2
-2990	-107	2447	2
-2990	-107	-2521	2
