prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	1	8	8	3	8
11	1	0	2	8	8	3	inf
11	1	0	5	8	8	3	8
11	1	1	0	8	8	3	3
11	1	1	4	8	8	3	3
11	1	2	0	8	8	3	inf
11	1	2	3	8	8	3	8
11	1	2	7	8	8	3	8
11	1	3	2	8	8	3	3
11	1	3	6	8	8	3	3
11	1	4	1	8	8	3	8
11	1	4	5	8	8	3	8
11	1	4	6	8	8	3	inf
11	1	5	0	8	8	3	3
11	1	5	4	8	8	3	3
11	1	6	3	8	8	3	8
11	1	6	4	8	8	3	inf
11	1	6	7	8	8	3	8
11	1	7	2	8	8	3	3
11	1	7	6	8	8	3	3
11	2	0	1	8	8	3	3
11	2	0	5	8	8	3	3
11	2	1	0	8	8	3	8
11	2	1	1	8	8	3	inf
11	2	1	4	8	8	3	8
11	2	2	3	8	8	3	3
11	2	2	7	8	8	3	3
11	2	3	2	8	8	3	8
11	2	3	6	8	8	3	8
11	2	3	7	8	8	3	inf
11	2	4	1	8	8	3	3
11	2	4	5	8	8	3	3
11	2	5	0	8	8	3	8
11	2	5	4	8	8	3	8
11	2	5	5	8	8	3	inf
11	2	6	3	8	8	3	3
11	2	6	7	8	8	3	3
11	2	7	2	8	8	3	8
11	2	7	3	8	8	3	inf
11	2	7	6	8	8	3	8
