torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	133872	157080	0	1
1	110072	157080	0	1
1	71992	157080	0	1
1	48192	157080	0	1
1	143392	157080	0	1
1	38672	157080	0	1
1	119592	157080	0	1
1	19632	157080	0	1
1	114237	157080	0	1
1	90437	157080	0	1
1	52357	157080	0	1
1	28557	157080	0	1
1	123757	157080	0	1
1	19037	157080	0	1
1	99957	157080	0	1
1	157077	157080	0	1
1	69192	157080	0	1
1	45392	157080	0	1
1	7312	157080	0	1
1	140592	157080	0	1
1	78712	157080	0	1
1	131072	157080	0	1
1	54912	157080	0	1
1	112032	157080	0	1
1	49557	157080	0	1
1	25757	157080	0	1
1	144757	157080	0	1
1	120957	157080	0	1
1	59077	157080	0	1
1	111437	157080	0	1
1	35277	157080	0	1
1	92397	157080	0	1
1	50712	157080	0	1
1	26912	157080	0	1
1	145912	157080	0	1
1	122112	157080	0	1
1	60232	157080	0	1
1	112592	157080	0	1
1	36432	157080	0	1
1	93552	157080	0	1
1	31077	157080	0	1
1	7277	157080	0	1
1	126277	157080	0	1
1	102477	157080	0	1
1	40597	157080	0	1
1	92957	157080	0	1
1	16797	157080	0	1
1	73917	157080	0	1
1	32232	157080	0	1
1	8432	157080	0	1
1	127432	157080	0	1
1	103632	157080	0	1
1	41752	157080	0	1
1	94112	157080	0	1
1	17952	157080	0	1
1	75072	157080	0	1
1	12597	157080	0	1
1	145877	157080	0	1
1	107797	157080	0	1
1	83997	157080	0	1
1	22117	157080	0	1
1	74477	157080	0	1
1	155397	157080	0	1
1	55437	157080	0	1
1	87672	157080	0	1
1	63872	157080	0	1
1	25792	157080	0	1
1	1992	157080	0	1
1	97192	157080	0	1
1	149552	157080	0	1
1	73392	157080	0	1
1	130512	157080	0	1
1	68037	157080	0	1
1	44237	157080	0	1
1	6157	157080	0	1
1	139437	157080	0	1
1	77557	157080	0	1
1	129917	157080	0	1
1	53757	157080	0	1
1	110877	157080	0	1
1	115920	157080	0	1
1	92120	157080	0	1
1	54040	157080	0	1
1	30240	157080	0	1
1	125440	157080	0	1
1	20720	157080	0	1
1	101640	157080	0	1
1	1680	157080	0	1
1	96285	157080	0	1
1	72485	157080	0	1
1	34405	157080	0	1
1	10605	157080	0	1
1	105805	157080	0	1
1	1085	157080	0	1
1	82005	157080	0	1
1	139125	157080	0	1
1	51240	157080	0	1
1	27440	157080	0	1
1	146440	157080	0	1
1	122640	157080	0	1
1	60760	157080	0	1
1	113120	157080	0	1
1	36960	157080	0	1
1	94080	157080	0	1
1	31605	157080	0	1
1	7805	157080	0	1
1	126805	157080	0	1
1	103005	157080	0	1
1	41125	157080	0	1
1	93485	157080	0	1
1	17325	157080	0	1
1	74445	157080	0	1
1	32760	157080	0	1
1	8960	157080	0	1
1	127960	157080	0	1
1	104160	157080	0	1
1	42280	157080	0	1
1	94640	157080	0	1
1	18480	157080	0	1
1	75600	157080	0	1
1	13125	157080	0	1
1	146405	157080	0	1
1	108325	157080	0	1
1	84525	157080	0	1
1	22645	157080	0	1
1	75005	157080	0	1
1	155925	157080	0	1
1	55965	157080	0	1
1	14280	157080	0	1
1	147560	157080	0	1
1	109480	157080	0	1
1	85680	157080	0	1
1	23800	157080	0	1
1	76160	157080	0	1
1	0	157080	0	1
1	57120	157080	0	1
1	151725	157080	0	1
1	127925	157080	0	1
1	89845	157080	0	1
1	66045	157080	0	1
1	4165	157080	0	1
1	56525	157080	0	1
1	137445	157080	0	1
1	37485	157080	0	1
1	69720	157080	0	1
1	45920	157080	0	1
1	7840	157080	0	1
1	141120	157080	0	1
1	79240	157080	0	1
1	131600	157080	0	1
1	55440	157080	0	1
1	112560	157080	0	1
1	50085	157080	0	1
1	26285	157080	0	1
1	145285	157080	0	1
1	121485	157080	0	1
1	59605	157080	0	1
1	111965	157080	0	1
1	35805	157080	0	1
1	92925	157080	0	1
