prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	0	8	4	3	inf
11	1	0	2	8	4	3	inf
11	1	0	3	8	4	3	5
11	1	2	0	8	4	3	6
11	1	4	0	8	4	3	inf
11	1	4	1	8	4	3	5
11	1	4	2	8	4	3	inf
11	1	6	2	8	4	3	6
11	2	0	3	8	4	3	6
11	2	2	0	8	4	3	5
11	2	2	1	8	4	3	inf
11	2	2	3	8	4	3	inf
11	2	4	1	8	4	3	6
11	2	6	1	8	4	3	inf
11	2	6	2	8	4	3	5
11	2	6	3	8	4	3	inf
13	1	0	0	4	4	3	inf
13	1	1	1	4	4	3	inf
13	1	2	2	4	4	3	inf
13	1	3	3	4	4	3	inf
13	2	0	3	4	4	3	inf
13	2	1	0	4	4	3	inf
13	2	2	1	4	4	3	inf
13	2	3	2	4	4	3	inf
61	1	0	0	68	34	3	inf
61	1	0	14	68	34	3	inf
61	1	0	23	68	34	3	inf
61	1	0	31	68	34	3	inf
61	1	2	2	68	34	3	inf
61	1	2	5	68	34	3	inf
61	1	2	19	68	34	3	inf
61	1	2	28	68	34	3	inf
61	1	4	7	68	34	3	inf
61	1	4	10	68	34	3	inf
61	1	4	24	68	34	3	inf
61	1	4	33	68	34	3	inf
61	1	6	4	68	34	3	inf
61	1	6	12	68	34	3	inf
61	1	6	15	68	34	3	inf
61	1	6	29	68	34	3	inf
61	1	8	0	68	34	3	inf
61	1	8	9	68	34	3	inf
61	1	8	17	68	34	3	inf
61	1	8	20	68	34	3	inf
61	1	10	5	68	34	3	inf
61	1	10	14	68	34	3	inf
61	1	10	22	68	34	3	inf
61	1	10	25	68	34	3	inf
61	1	12	10	68	34	3	inf
61	1	12	19	68	34	3	inf
61	1	12	27	68	34	3	inf
61	1	12	30	68	34	3	inf
61	1	14	1	68	34	3	inf
61	1	14	15	68	34	3	inf
61	1	14	24	68	34	3	inf
61	1	14	32	68	34	3	inf
61	1	16	3	68	34	3	inf
61	1	16	6	68	34	3	inf
61	1	16	20	68	34	3	inf
61	1	16	29	68	34	3	inf
61	1	18	0	68	34	3	inf
61	1	18	8	68	34	3	inf
61	1	18	11	68	34	3	inf
61	1	18	25	68	34	3	inf
61	1	20	5	68	34	3	inf
61	1	20	13	68	34	3	inf
61	1	20	16	68	34	3	inf
61	1	20	30	68	34	3	inf
61	1	22	1	68	34	3	inf
61	1	22	10	68	34	3	inf
61	1	22	18	68	34	3	inf
61	1	22	21	68	34	3	inf
61	1	24	6	68	34	3	inf
61	1	24	15	68	34	3	inf
61	1	24	23	68	34	3	inf
61	1	24	26	68	34	3	inf
61	1	26	11	68	34	3	inf
61	1	26	20	68	34	3	inf
61	1	26	28	68	34	3	inf
61	1	26	31	68	34	3	inf
61	1	28	2	68	34	3	inf
61	1	28	16	68	34	3	inf
61	1	28	25	68	34	3	inf
61	1	28	33	68	34	3	inf
61	1	30	4	68	34	3	inf
61	1	30	7	68	34	3	inf
61	1	30	21	68	34	3	inf
61	1	30	30	68	34	3	inf
61	1	32	1	68	34	3	inf
61	1	32	9	68	34	3	inf
61	1	32	12	68	34	3	inf
61	1	32	26	68	34	3	inf
61	1	34	6	68	34	3	inf
61	1	34	14	68	34	3	inf
61	1	34	17	68	34	3	inf
61	1	34	31	68	34	3	inf
61	1	36	2	68	34	3	inf
61	1	36	11	68	34	3	inf
61	1	36	19	68	34	3	inf
61	1	36	22	68	34	3	inf
61	1	38	7	68	34	3	inf
61	1	38	16	68	34	3	inf
61	1	38	24	68	34	3	inf
61	1	38	27	68	34	3	inf
61	1	40	12	68	34	3	inf
61	1	40	21	68	34	3	inf
61	1	40	29	68	34	3	inf
61	1	40	32	68	34	3	inf
61	1	42	0	68	34	3	inf
61	1	42	3	68	34	3	inf
61	1	42	17	68	34	3	inf
61	1	42	26	68	34	3	inf
61	1	44	5	68	34	3	inf
61	1	44	8	68	34	3	inf
61	1	44	22	68	34	3	inf
61	1	44	31	68	34	3	inf
61	1	46	2	68	34	3	inf
61	1	46	10	68	34	3	inf
61	1	46	13	68	34	3	inf
61	1	46	27	68	34	3	inf
61	1	48	7	68	34	3	inf
61	1	48	15	68	34	3	inf
61	1	48	18	68	34	3	inf
61	1	48	32	68	34	3	inf
61	1	50	3	68	34	3	inf
61	1	50	12	68	34	3	inf
61	1	50	20	68	34	3	inf
61	1	50	23	68	34	3	inf
61	1	52	8	68	34	3	inf
61	1	52	17	68	34	3	inf
61	1	52	25	68	34	3	inf
