m	n	torsion_coset
-7056	8233	1
-1008	1177	1
1008	-1175	1
5040	5209	1
7056	-8231	1
9024	-935	1
-6720	-2015	1
-5760	4609	1
-4368	5713	1
-2736	-8159	1
-2400	1921	1
0	1	1
4368	-5711	1
-9576	-4535	1
-1224	-5303	1
-1176	7225	1
1176	-7223	1
3144	73	1
9192	-6983	1
9576	4537	1
0	0	1
6720	-4032	1
8064	-8064	1
-8280	-8159	1
-8280	2929	1
-6888	-7055	1
-5928	-431	1
120	3601	1
2520	1681	1
4488	8977	1
5832	-2447	1
6888	7057	1
-7056	8233	2
-1008	1177	2
1008	-1175	2
7056	-8231	2
-7728	-6386	2
-6720	6718	2
-5712	9742	2
-5040	3022	2
-3360	-2018	2
-3024	8062	2
-2688	5710	2
-2016	8734	2
-1680	2686	2
0	-7394	2
0	-2	2
336	2686	2
2016	5038	2
2688	8062	2
3024	5710	2
5712	4030	2
6720	-9074	2
8400	-9074	2
9072	-1346	2
9744	6718	2
-6888	-7055	2
-4200	-335	2
6888	7057	2
-4368	5713	2
0	1	2
1680	-1343	2
4368	-5711	2
-9576	-4535	2
-1176	7225	2
1176	-7223	2
7560	6889	2
9576	4537	2
