prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	0	0	16	16	3	inf
11	1	0	1	16	16	3	inf
11	1	0	3	16	16	3	5
11	1	0	6	16	16	3	inf
11	1	0	7	16	16	3	5
11	1	0	9	16	16	3	inf
11	1	0	11	16	16	3	6
11	1	0	15	16	16	3	6
11	1	1	0	16	16	3	6
11	1	1	4	16	16	3	6
11	1	1	5	16	16	3	inf
11	1	1	6	16	16	3	inf
11	1	1	8	16	16	3	5
11	1	1	11	16	16	3	inf
11	1	1	12	16	16	3	5
11	1	1	14	16	16	3	inf
11	1	2	0	16	16	3	inf
11	1	2	1	16	16	3	5
11	1	2	3	16	16	3	inf
11	1	2	5	16	16	3	6
11	1	2	9	16	16	3	6
11	1	2	10	16	16	3	inf
11	1	2	11	16	16	3	inf
11	1	2	13	16	16	3	5
11	1	3	0	16	16	3	inf
11	1	3	2	16	16	3	5
11	1	3	5	16	16	3	inf
11	1	3	6	16	16	3	5
11	1	3	8	16	16	3	inf
11	1	3	10	16	16	3	6
11	1	3	14	16	16	3	6
11	1	3	15	16	16	3	inf
11	1	4	3	16	16	3	6
11	1	4	4	16	16	3	inf
11	1	4	5	16	16	3	inf
11	1	4	7	16	16	3	5
11	1	4	10	16	16	3	inf
11	1	4	11	16	16	3	5
11	1	4	13	16	16	3	inf
11	1	4	15	16	16	3	6
11	1	5	0	16	16	3	5
11	1	5	2	16	16	3	inf
11	1	5	4	16	16	3	6
11	1	5	8	16	16	3	6
11	1	5	9	16	16	3	inf
11	1	5	10	16	16	3	inf
11	1	5	12	16	16	3	5
11	1	5	15	16	16	3	inf
11	1	6	1	16	16	3	5
11	1	6	4	16	16	3	inf
11	1	6	5	16	16	3	5
11	1	6	7	16	16	3	inf
11	1	6	9	16	16	3	6
11	1	6	13	16	16	3	6
11	1	6	14	16	16	3	inf
11	1	6	15	16	16	3	inf
11	1	7	2	16	16	3	6
11	1	7	3	16	16	3	inf
11	1	7	4	16	16	3	inf
11	1	7	6	16	16	3	5
11	1	7	9	16	16	3	inf
11	1	7	10	16	16	3	5
11	1	7	12	16	16	3	inf
11	1	7	14	16	16	3	6
11	1	8	1	16	16	3	inf
11	1	8	3	16	16	3	6
11	1	8	7	16	16	3	6
11	1	8	8	16	16	3	inf
11	1	8	9	16	16	3	inf
11	1	8	11	16	16	3	5
11	1	8	14	16	16	3	inf
11	1	8	15	16	16	3	5
11	1	9	0	16	16	3	5
11	1	9	3	16	16	3	inf
11	1	9	4	16	16	3	5
11	1	9	6	16	16	3	inf
11	1	9	8	16	16	3	6
11	1	9	12	16	16	3	6
11	1	9	13	16	16	3	inf
11	1	9	14	16	16	3	inf
11	1	10	1	16	16	3	6
11	1	10	2	16	16	3	inf
11	1	10	3	16	16	3	inf
11	1	10	5	16	16	3	5
11	1	10	8	16	16	3	inf
11	1	10	9	16	16	3	5
11	1	10	11	16	16	3	inf
11	1	10	13	16	16	3	6
11	1	11	0	16	16	3	inf
11	1	11	2	16	16	3	6
11	1	11	6	16	16	3	6
11	1	11	7	16	16	3	inf
11	1	11	8	16	16	3	inf
11	1	11	10	16	16	3	5
11	1	11	13	16	16	3	inf
11	1	11	14	16	16	3	5
11	1	12	2	16	16	3	inf
11	1	12	3	16	16	3	5
11	1	12	5	16	16	3	inf
11	1	12	7	16	16	3	6
11	1	12	11	16	16	3	6
11	1	12	12	16	16	3	inf
11	1	12	13	16	16	3	inf
11	1	12	15	16	16	3	5
11	1	13	0	16	16	3	6
11	1	13	1	16	16	3	inf
11	1	13	2	16	16	3	inf
11	1	13	4	16	16	3	5
11	1	13	7	16	16	3	inf
11	1	13	8	16	16	3	5
11	1	13	10	16	16	3	inf
11	1	13	12	16	16	3	6
11	1	14	1	16	16	3	6
11	1	14	5	16	16	3	6
11	1	14	6	16	16	3	inf
11	1	14	7	16	16	3	inf
11	1	14	9	16	16	3	5
11	1	14	12	16	16	3	inf
11	1	14	13	16	16	3	5
11	1	14	15	16	16	3	inf
11	1	15	1	16	16	3	inf
11	1	15	2	16	16	3	5
11	1	15	4	16	16	3	inf
11	1	15	6	16	16	3	6
11	1	15	10	16	16	3	6
11	1	15	11	16	16	3	inf
11	1	15	12	16	16	3	inf
11	1	15	14	16	16	3	5
11	2	0	1	16	16	3	inf
11	2	0	3	16	16	3	6
11	2	0	7	16	16	3	6
11	2	0	8	16	16	3	inf
11	2	0	9	16	16	3	inf
11	2	0	11	16	16	3	5
11	2	0	14	16	16	3	inf
11	2	0	15	16	16	3	5
11	2	1	0	16	16	3	5
11	2	1	3	16	16	3	inf
11	2	1	4	16	16	3	5
11	2	1	6	16	16	3	inf
11	2	1	8	16	16	3	6
11	2	1	12	16	16	3	6
11	2	1	13	16	16	3	inf
11	2	1	14	16	16	3	inf
11	2	2	1	16	16	3	6
11	2	2	2	16	16	3	inf
11	2	2	3	16	16	3	inf
11	2	2	5	16	16	3	5
11	2	2	8	16	16	3	inf
11	2	2	9	16	16	3	5
11	2	2	11	16	16	3	inf
11	2	2	13	16	16	3	6
11	2	3	0	16	16	3	inf
11	2	3	2	16	16	3	6
11	2	3	6	16	16	3	6
11	2	3	7	16	16	3	inf
11	2	3	8	16	16	3	inf
11	2	3	10	16	16	3	5
11	2	3	13	16	16	3	inf
11	2	3	14	16	16	3	5
11	2	4	2	16	16	3	inf
11	2	4	3	16	16	3	5
11	2	4	5	16	16	3	inf
11	2	4	7	16	16	3	6
11	2	4	11	16	16	3	6
11	2	4	12	16	16	3	inf
11	2	4	13	16	16	3	inf
11	2	4	15	16	16	3	5
11	2	5	0	16	16	3	6
11	2	5	1	16	16	3	inf
11	2	5	2	16	16	3	inf
11	2	5	4	16	16	3	5
11	2	5	7	16	16	3	inf
11	2	5	8	16	16	3	5
11	2	5	10	16	16	3	inf
11	2	5	12	16	16	3	6
11	2	6	1	16	16	3	6
11	2	6	5	16	16	3	6
11	2	6	6	16	16	3	inf
11	2	6	7	16	16	3	inf
11	2	6	9	16	16	3	5
11	2	6	12	16	16	3	inf
11	2	6	13	16	16	3	5
11	2	6	15	16	16	3	inf
11	2	7	1	16	16	3	inf
11	2	7	2	16	16	3	5
11	2	7	4	16	16	3	inf
11	2	7	6	16	16	3	6
11	2	7	10	16	16	3	6
11	2	7	11	16	16	3	inf
11	2	7	12	16	16	3	inf
11	2	7	14	16	16	3	5
11	2	8	0	16	16	3	inf
11	2	8	1	16	16	3	inf
11	2	8	3	16	16	3	5
11	2	8	6	16	16	3	inf
11	2	8	7	16	16	3	5
11	2	8	9	16	16	3	inf
11	2	8	11	16	16	3	6
11	2	8	15	16	16	3	6
11	2	9	0	16	16	3	6
11	2	9	4	16	16	3	6
11	2	9	5	16	16	3	inf
11	2	9	6	16	16	3	inf
11	2	9	8	16	16	3	5
11	2	9	11	16	16	3	inf
11	2	9	12	16	16	3	5
11	2	9	14	16	16	3	inf
11	2	10	0	16	16	3	inf
11	2	10	1	16	16	3	5
11	2	10	3	16	16	3	inf
11	2	10	5	16	16	3	6
11	2	10	9	16	16	3	6
11	2	10	10	16	16	3	inf
11	2	10	11	16	16	3	inf
11	2	10	13	16	16	3	5
11	2	11	0	16	16	3	inf
11	2	11	2	16	16	3	5
11	2	11	5	16	16	3	inf
11	2	11	6	16	16	3	5
11	2	11	8	16	16	3	inf
11	2	11	10	16	16	3	6
11	2	11	14	16	16	3	6
11	2	11	15	16	16	3	inf
11	2	12	3	16	16	3	6
11	2	12	4	16	16	3	inf
11	2	12	5	16	16	3	inf
11	2	12	7	16	16	3	5
11	2	12	10	16	16	3	inf
11	2	12	11	16	16	3	5
11	2	12	13	16	16	3	inf
11	2	12	15	16	16	3	6
11	2	13	0	16	16	3	5
11	2	13	2	16	16	3	inf
11	2	13	4	16	16	3	6
11	2	13	8	16	16	3	6
11	2	13	9	16	16	3	inf
11	2	13	10	16	16	3	inf
11	2	13	12	16	16	3	5
11	2	13	15	16	16	3	inf
11	2	14	1	16	16	3	5
11	2	14	4	16	16	3	inf
11	2	14	5	16	16	3	5
11	2	14	7	16	16	3	inf
11	2	14	9	16	16	3	6
11	2	14	13	16	16	3	6
11	2	14	14	16	16	3	inf
11	2	14	15	16	16	3	inf
11	2	15	2	16	16	3	6
11	2	15	3	16	16	3	inf
11	2	15	4	16	16	3	inf
11	2	15	6	16	16	3	5
11	2	15	9	16	16	3	inf
11	2	15	10	16	16	3	5
11	2	15	12	16	16	3	inf
11	2	15	14	16	16	3	6
13	1	0	0	16	8	3	inf
13	1	0	1	16	8	3	inf
13	1	0	2	16	8	3	inf
13	1	0	3	16	8	3	7
13	1	0	5	16	8	3	inf
13	1	0	7	16	8	3	6
13	1	2	0	16	8	3	7
13	1	2	2	16	8	3	inf
13	1	2	4	16	8	3	6
13	1	2	5	16	8	3	inf
13	1	2	6	16	8	3	inf
13	1	2	7	16	8	3	inf
13	1	4	1	16	8	3	6
13	1	4	2	16	8	3	inf
13	1	4	3	16	8	3	inf
13	1	4	4	16	8	3	inf
13	1	4	5	16	8	3	7
13	1	4	7	16	8	3	inf
13	1	6	0	16	8	3	inf
13	1	6	1	16	8	3	inf
13	1	6	2	16	8	3	7
13	1	6	4	16	8	3	inf
13	1	6	6	16	8	3	6
13	1	6	7	16	8	3	inf
13	1	8	1	16	8	3	inf
13	1	8	3	16	8	3	6
13	1	8	4	16	8	3	inf
13	1	8	5	16	8	3	inf
13	1	8	6	16	8	3	inf
13	1	8	7	16	8	3	7
13	1	10	0	16	8	3	6
13	1	10	1	16	8	3	inf
13	1	10	2	16	8	3	inf
13	1	10	3	16	8	3	inf
13	1	10	4	16	8	3	7
13	1	10	6	16	8	3	inf
13	1	12	0	16	8	3	inf
13	1	12	1	16	8	3	7
13	1	12	3	16	8	3	inf
13	1	12	5	16	8	3	6
13	1	12	6	16	8	3	inf
13	1	12	7	16	8	3	inf
13	1	14	0	16	8	3	inf
13	1	14	2	16	8	3	6
13	1	14	3	16	8	3	inf
13	1	14	4	16	8	3	inf
13	1	14	5	16	8	3	inf
13	1	14	6	16	8	3	7
13	2	0	1	16	8	3	inf
13	2	0	3	16	8	3	6
13	2	0	4	16	8	3	inf
13	2	0	5	16	8	3	inf
13	2	0	6	16	8	3	inf
13	2	0	7	16	8	3	7
13	2	2	0	16	8	3	6
13	2	2	1	16	8	3	inf
13	2	2	2	16	8	3	inf
13	2	2	3	16	8	3	inf
13	2	2	4	16	8	3	7
13	2	2	6	16	8	3	inf
13	2	4	0	16	8	3	inf
13	2	4	1	16	8	3	7
13	2	4	3	16	8	3	inf
13	2	4	5	16	8	3	6
13	2	4	6	16	8	3	inf
13	2	4	7	16	8	3	inf
13	2	6	0	16	8	3	inf
13	2	6	2	16	8	3	6
13	2	6	3	16	8	3	inf
13	2	6	4	16	8	3	inf
13	2	6	5	16	8	3	inf
13	2	6	6	16	8	3	7
13	2	8	0	16	8	3	inf
13	2	8	1	16	8	3	inf
13	2	8	2	16	8	3	inf
13	2	8	3	16	8	3	7
13	2	8	5	16	8	3	inf
13	2	8	7	16	8	3	6
13	2	10	0	16	8	3	7
13	2	10	2	16	8	3	inf
13	2	10	4	16	8	3	6
13	2	10	5	16	8	3	inf
13	2	10	6	16	8	3	inf
13	2	10	7	16	8	3	inf
13	2	12	1	16	8	3	6
