torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	371520	3603600	578700	900900
1	3254400	3603600	758880	900900
1	371520	3603600	758880	900900
1	371520	3603600	38160	900900
1	2533680	3603600	218340	900900
1	1092240	3603600	218340	900900
1	1092240	3603600	38160	900900
1	3254400	3603600	398520	900900
1	1092240	3603600	758880	900900
1	2533680	3603600	398520	900900
1	3254400	3603600	578700	900900
1	1812960	3603600	38160	900900
1	1812960	3603600	398520	900900
1	1812960	3603600	218340	900900
1	2533680	3603600	578700	900900
1	2992320	3603600	742500	900900
1	2271600	3603600	21780	900900
1	2992320	3603600	21780	900900
1	2992320	3603600	201960	900900
1	1550880	3603600	382140	900900
1	109440	3603600	382140	900900
1	109440	3603600	201960	900900
1	2271600	3603600	562320	900900
1	109440	3603600	21780	900900
1	1550880	3603600	562320	900900
1	2271600	3603600	742500	900900
1	830160	3603600	201960	900900
1	830160	3603600	562320	900900
1	830160	3603600	382140	900900
1	1550880	3603600	742500	900900
1	43920	3603600	414900	900900
1	2926800	3603600	595080	900900
1	43920	3603600	595080	900900
1	43920	3603600	775260	900900
1	2206080	3603600	54540	900900
1	764640	3603600	54540	900900
1	764640	3603600	775260	900900
1	2926800	3603600	234720	900900
1	764640	3603600	595080	900900
1	2206080	3603600	234720	900900
1	2926800	3603600	414900	900900
1	1485360	3603600	775260	900900
1	1485360	3603600	234720	900900
1	1485360	3603600	54540	900900
1	2206080	3603600	414900	900900
1	2992320	3603600	824400	900900
1	2271600	3603600	103680	900900
1	2992320	3603600	103680	900900
1	2992320	3603600	283860	900900
1	1550880	3603600	464040	900900
1	109440	3603600	464040	900900
1	109440	3603600	283860	900900
1	2271600	3603600	644220	900900
1	109440	3603600	103680	900900
1	1550880	3603600	644220	900900
1	2271600	3603600	824400	900900
1	830160	3603600	283860	900900
1	830160	3603600	644220	900900
1	830160	3603600	464040	900900
1	1550880	3603600	824400	900900
1	2009520	3603600	333000	900900
1	1288800	3603600	513180	900900
1	2009520	3603600	513180	900900
1	2009520	3603600	693360	900900
1	568080	3603600	873540	900900
1	2730240	3603600	873540	900900
1	2730240	3603600	693360	900900
1	1288800	3603600	152820	900900
1	2730240	3603600	513180	900900
1	568080	3603600	152820	900900
1	1288800	3603600	333000	900900
1	3450960	3603600	693360	900900
1	3450960	3603600	152820	900900
1	3450960	3603600	873540	900900
1	568080	3603600	333000	900900
1	699120	3603600	578700	900900
1	3582000	3603600	758880	900900
1	699120	3603600	758880	900900
1	699120	3603600	38160	900900
1	2861280	3603600	218340	900900
1	1419840	3603600	218340	900900
1	1419840	3603600	38160	900900
1	3582000	3603600	398520	900900
1	1419840	3603600	758880	900900
1	2861280	3603600	398520	900900
1	3582000	3603600	578700	900900
1	2140560	3603600	38160	900900
1	2140560	3603600	398520	900900
1	2140560	3603600	218340	900900
1	2861280	3603600	578700	900900
1	1354320	3603600	414900	900900
1	633600	3603600	595080	900900
1	1354320	3603600	595080	900900
1	1354320	3603600	775260	900900
1	3516480	3603600	54540	900900
1	2075040	3603600	54540	900900
1	2075040	3603600	775260	900900
1	633600	3603600	234720	900900
1	2075040	3603600	595080	900900
1	3516480	3603600	234720	900900
1	633600	3603600	414900	900900
1	2795760	3603600	775260	900900
1	2795760	3603600	234720	900900
1	2795760	3603600	54540	900900
1	3516480	3603600	414900	900900
1	1681920	3603600	824400	900900
1	961200	3603600	103680	900900
1	1681920	3603600	103680	900900
1	1681920	3603600	283860	900900
1	240480	3603600	464040	900900
1	2402640	3603600	464040	900900
1	2402640	3603600	283860	900900
1	961200	3603600	644220	900900
1	2402640	3603600	103680	900900
1	240480	3603600	644220	900900
1	961200	3603600	824400	900900
1	3123360	3603600	283860	900900
1	3123360	3603600	644220	900900
1	3123360	3603600	464040	900900
1	240480	3603600	824400	900900
1	3319920	3603600	578700	900900
1	2599200	3603600	758880	900900
1	3319920	3603600	758880	900900
1	3319920	3603600	38160	900900
1	1878480	3603600	218340	900900
1	437040	3603600	218340	900900
1	437040	3603600	38160	900900
1	2599200	3603600	398520	900900
1	437040	3603600	758880	900900
1	1878480	3603600	398520	900900
1	2599200	3603600	578700	900900
1	1157760	3603600	38160	900900
1	1157760	3603600	398520	900900
1	1157760	3603600	218340	900900
1	1878480	3603600	578700	900900
1	1026720	3603600	824400	900900
1	306000	3603600	103680	900900
1	1026720	3603600	103680	900900
1	1026720	3603600	283860	900900
1	3188880	3603600	464040	900900
1	1747440	3603600	464040	900900
1	1747440	3603600	283860	900900
1	306000	3603600	644220	900900
1	1747440	3603600	103680	900900
1	3188880	3603600	644220	900900
1	306000	3603600	824400	900900
1	2468160	3603600	283860	900900
1	2468160	3603600	644220	900900
1	2468160	3603600	464040	900900
1	3188880	3603600	824400	900900
1	699120	3603600	414900	900900
1	3582000	3603600	595080	900900
1	699120	3603600	595080	900900
1	699120	3603600	775260	900900
1	2861280	3603600	54540	900900
1	1419840	3603600	54540	900900
1	1419840	3603600	775260	900900
1	3582000	3603600	234720	900900
1	1419840	3603600	595080	900900
1	2861280	3603600	234720	900900
1	3582000	3603600	414900	900900
1	2140560	3603600	775260	900900
1	2140560	3603600	234720	900900
1	2140560	3603600	54540	900900
1	2861280	3603600	414900	900900
1	1026720	3603600	578700	900900
1	306000	3603600	758880	900900
1	1026720	3603600	758880	900900
1	1026720	3603600	38160	900900
1	3188880	3603600	218340	900900
1	1747440	3603600	218340	900900
1	1747440	3603600	38160	900900
1	306000	3603600	398520	900900
1	1747440	3603600	758880	900900
1	3188880	3603600	398520	900900
1	306000	3603600	578700	900900
1	2468160	3603600	38160	900900
1	2468160	3603600	398520	900900
1	2468160	3603600	218340	900900
1	3188880	3603600	578700	900900
1	2664720	3603600	333000	900900
1	1944000	3603600	513180	900900
1	2664720	3603600	513180	900900
1	2664720	3603600	693360	900900
1	1223280	3603600	873540	900900
1	3385440	3603600	873540	900900
1	3385440	3603600	693360	900900
1	1944000	3603600	152820	900900
1	3385440	3603600	513180	900900
1	1223280	3603600	152820	900900
1	1944000	3603600	333000	900900
1	502560	3603600	693360	900900
1	502560	3603600	152820	900900
1	502560	3603600	873540	900900
1	1223280	3603600	333000	900900
1	371520	3603600	742500	900900
1	3254400	3603600	21780	900900
1	371520	3603600	21780	900900
1	371520	3603600	201960	900900
1	2533680	3603600	382140	900900
1	1092240	3603600	382140	900900
1	1092240	3603600	201960	900900
1	3254400	3603600	562320	900900
1	1092240	3603600	21780	900900
1	2533680	3603600	562320	900900
1	3254400	3603600	742500	900900
1	1812960	3603600	201960	900900
1	1812960	3603600	562320	900900
1	1812960	3603600	382140	900900
1	2533680	3603600	742500	900900
1	1026720	3603600	414900	900900
1	306000	3603600	595080	900900
1	1026720	3603600	595080	900900
1	1026720	3603600	775260	900900
1	3188880	3603600	54540	900900
1	1747440	3603600	54540	900900
1	1747440	3603600	775260	900900
1	306000	3603600	234720	900900
1	1747440	3603600	595080	900900
1	3188880	3603600	234720	900900
1	306000	3603600	414900	900900
1	2468160	3603600	775260	900900
1	2468160	3603600	234720	900900
1	2468160	3603600	54540	900900
1	3188880	3603600	414900	900900
1	699120	3603600	742500	900900
1	3582000	3603600	21780	900900
1	699120	3603600	21780	900900
1	699120	3603600	201960	900900
1	2861280	3603600	382140	900900
1	1419840	3603600	382140	900900
1	1419840	3603600	201960	900900
1	3582000	3603600	562320	900900
1	1419840	3603600	21780	900900
1	2861280	3603600	562320	900900
1	3582000	3603600	742500	900900
1	2140560	3603600	201960	900900
1	2140560	3603600	562320	900900
1	2140560	3603600	382140	900900
1	2861280	3603600	742500	900900
1	1681920	3603600	578700	900900
1	961200	3603600	758880	900900
1	1681920	3603600	758880	900900
1	1681920	3603600	38160	900900
1	240480	3603600	218340	900900
1	2402640	3603600	218340	900900
1	2402640	3603600	38160	900900
1	961200	3603600	398520	900900
1	2402640	3603600	758880	900900
1	240480	3603600	398520	900900
1	961200	3603600	578700	900900
1	3123360	3603600	38160	900900
1	3123360	3603600	398520	900900
1	3123360	3603600	218340	900900
1	240480	3603600	578700	900900
1	371520	3603600	333000	900900
1	3254400	3603600	513180	900900
1	371520	3603600	513180	900900
1	371520	3603600	693360	900900
1	2533680	3603600	873540	900900
1	1092240	3603600	873540	900900
1	1092240	3603600	693360	900900
1	3254400	3603600	152820	900900
1	1092240	3603600	513180	900900
1	2533680	3603600	152820	900900
1	3254400	3603600	333000	900900
1	1812960	3603600	693360	900900
1	1812960	3603600	152820	900900
1	1812960	3603600	873540	900900
1	2533680	3603600	333000	900900
1	2009520	3603600	824400	900900
1	1288800	3603600	103680	900900
1	2009520	3603600	103680	900900
1	2009520	3603600	283860	900900
1	568080	3603600	464040	900900
1	2730240	3603600	464040	900900
1	2730240	3603600	283860	900900
1	1288800	3603600	644220	900900
1	2730240	3603600	103680	900900
1	568080	3603600	644220	900900
1	1288800	3603600	824400	900900
1	3450960	3603600	283860	900900
1	3450960	3603600	644220	900900
1	3450960	3603600	464040	900900
1	568080	3603600	824400	900900
1	2992320	3603600	333000	900900
1	2271600	3603600	513180	900900
1	2992320	3603600	513180	900900
1	2992320	3603600	693360	900900
1	1550880	3603600	873540	900900
1	109440	3603600	873540	900900
1	109440	3603600	693360	900900
1	2271600	3603600	152820	900900
1	109440	3603600	513180	900900
1	1550880	3603600	152820	900900
1	2271600	3603600	333000	900900
1	830160	3603600	693360	900900
1	830160	3603600	152820	900900
1	830160	3603600	873540	900900
1	1550880	3603600	333000	900900
1	1354320	3603600	742500	900900
1	633600	3603600	21780	900900
1	1354320	3603600	21780	900900
1	1354320	3603600	201960	900900
1	3516480	3603600	382140	900900
1	2075040	3603600	382140	900900
1	2075040	3603600	201960	900900
1	633600	3603600	562320	900900
1	2075040	3603600	21780	900900
