torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	221760	720720	10080	16380
1	156240	720720	10080	16380
1	614880	720720	10080	16380
1	55440	720720	1260	16380
1	710640	720720	1260	16380
1	448560	720720	1260	16380
1	55440	720720	2520	16380
1	710640	720720	2520	16380
1	448560	720720	2520	16380
1	665280	720720	12600	16380
1	599760	720720	12600	16380
1	337680	720720	12600	16380
1	221760	720720	11340	16380
1	156240	720720	11340	16380
1	614880	720720	11340	16380
1	609840	720720	10080	16380
1	544320	720720	10080	16380
1	282240	720720	10080	16380
1	554400	720720	7560	16380
1	488880	720720	7560	16380
1	226800	720720	7560	16380
1	0	720720	0	16380
1	655200	720720	0	16380
1	393120	720720	0	16380
1	166320	720720	8820	16380
1	100800	720720	8820	16380
1	559440	720720	8820	16380
1	388080	720720	2520	16380
1	322560	720720	2520	16380
1	60480	720720	2520	16380
1	110880	720720	5040	16380
1	45360	720720	5040	16380
1	504000	720720	5040	16380
1	277200	720720	13860	16380
1	211680	720720	13860	16380
1	670320	720720	13860	16380
1	514799	720720	9358	16380
1	187199	720720	9358	16380
1	252719	720720	9358	16380
1	126719	720720	10618	16380
1	519839	720720	10618	16380
1	585359	720720	10618	16380
1	570239	720720	11878	16380
1	242639	720720	11878	16380
1	308159	720720	11878	16380
1	293039	720720	3058	16380
1	686159	720720	3058	16380
1	30959	720720	3058	16380
1	182159	720720	13138	16380
1	575279	720720	13138	16380
1	640799	720720	13138	16380
1	15839	720720	4318	16380
1	408959	720720	4318	16380
1	474479	720720	4318	16380
1	71279	720720	5578	16380
1	464399	720720	5578	16380
1	529919	720720	5578	16380
1	237599	720720	14398	16380
1	630719	720720	14398	16380
1	696239	720720	14398	16380
1	403919	720720	6838	16380
1	76319	720720	6838	16380
1	141839	720720	6838	16380
1	570239	720720	15658	16380
1	242639	720720	15658	16380
1	308159	720720	15658	16380
1	348479	720720	5578	16380
1	20879	720720	5578	16380
1	86399	720720	5578	16380
1	681119	720720	1798	16380
1	353519	720720	1798	16380
1	419039	720720	1798	16380
1	720719	720720	16378	16380
1	393119	720720	16378	16380
1	458639	720720	16378	16380
1	332639	720720	1258	16380
1	5039	720720	1258	16380
1	70559	720720	1258	16380
1	55439	720720	2518	16380
1	448559	720720	2518	16380
1	514079	720720	2518	16380
1	498959	720720	10078	16380
1	171359	720720	10078	16380
1	236879	720720	10078	16380
1	388079	720720	3778	16380
1	60479	720720	3778	16380
1	125999	720720	3778	16380
1	221759	720720	11338	16380
1	614879	720720	11338	16380
1	680399	720720	11338	16380
1	277199	720720	12598	16380
1	670319	720720	12598	16380
1	15119	720720	12598	16380
1	443519	720720	5038	16380
1	115919	720720	5038	16380
1	181439	720720	5038	16380
1	609839	720720	13858	16380
1	282239	720720	13858	16380
1	347759	720720	13858	16380
1	55439	720720	6298	16380
1	448559	720720	6298	16380
1	514079	720720	6298	16380
1	554399	720720	12598	16380
1	226799	720720	12598	16380
1	292319	720720	12598	16380
1	166319	720720	8818	16380
1	559439	720720	8818	16380
1	624959	720720	8818	16380
