prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
11	1	3	0	8	1	3	8
11	1	6	0	8	1	3	inf
11	1	7	0	8	1	3	8
11	2	3	0	8	1	3	3
11	2	7	0	8	1	3	3
13	1	0	0	12	1	3	1
13	1	1	0	12	1	3	inf
13	1	2	0	12	1	3	inf
13	1	3	0	12	1	3	inf
13	1	4	0	12	1	3	inf
13	1	5	0	12	1	3	inf
13	1	6	0	12	1	3	inf
13	1	7	0	12	1	3	inf
13	1	8	0	12	1	3	inf
13	1	9	0	12	1	3	inf
13	1	10	0	12	1	3	inf
13	1	11	0	12	1	3	inf
13	2	0	0	12	1	3	inf
13	2	1	0	12	1	3	inf
13	2	2	0	12	1	3	inf
13	2	3	0	12	1	3	inf
13	2	4	0	12	1	3	inf
13	2	5	0	12	1	3	inf
13	2	6	0	12	1	3	1
13	2	7	0	12	1	3	inf
13	2	8	0	12	1	3	inf
13	2	9	0	12	1	3	inf
13	2	10	0	12	1	3	inf
13	2	11	0	12	1	3	inf
19	1	3	0	8	1	3	12
19	1	6	0	8	1	3	inf
19	1	7	0	8	1	3	12
19	2	3	0	8	1	3	7
19	2	7	0	8	1	3	7
23	1	0	0	12	1	3	1
23	1	1	0	12	1	3	inf
23	1	2	0	12	1	3	inf
23	1	3	0	12	1	3	inf
23	1	4	0	12	1	3	inf
23	1	5	0	12	1	3	inf
23	1	6	0	12	1	3	inf
23	1	7	0	12	1	3	inf
23	1	8	0	12	1	3	inf
23	1	9	0	12	1	3	inf
23	1	10	0	12	1	3	inf
23	1	11	0	12	1	3	inf
23	2	0	0	12	1	3	inf
23	2	1	0	12	1	3	inf
23	2	2	0	12	1	3	inf
23	2	3	0	12	1	3	inf
23	2	4	0	12	1	3	inf
23	2	5	0	12	1	3	inf
23	2	6	0	12	1	3	1
23	2	7	0	12	1	3	inf
23	2	8	0	12	1	3	inf
23	2	9	0	12	1	3	inf
23	2	10	0	12	1	3	inf
23	2	11	0	12	1	3	inf
29	1	1	0	32	1	2	20
29	1	3	0	32	1	2	19
29	1	4	0	32	1	3	23
29	1	5	0	32	1	3	inf
29	1	6	0	32	1	3	inf
29	1	7	0	32	1	2	10
29	1	9	0	32	1	2	9
29	1	17	0	32	1	2	9
29	1	19	0	32	1	2	10
29	1	20	0	32	1	3	6
29	1	21	0	32	1	3	inf
29	1	22	0	32	1	3	23
29	1	23	0	32	1	2	19
29	1	25	0	32	1	2	20
29	2	1	0	32	1	2	9
29	2	3	0	32	1	2	10
29	2	4	0	32	1	3	6
29	2	5	0	32	1	3	inf
29	2	6	0	32	1	3	23
29	2	7	0	32	1	2	19
29	2	9	0	32	1	2	20
29	2	17	0	32	1	2	20
29	2	19	0	32	1	2	19
29	2	20	0	32	1	3	23
29	2	21	0	32	1	3	inf
29	2	22	0	32	1	3	inf
29	2	23	0	32	1	2	10
29	2	25	0	32	1	2	9
31	1	6	0	7	1	3	inf
37	1	6	0	36	1	3	inf
37	1	14	0	36	1	2	7
37	1	15	0	36	1	3	23
37	1	16	0	36	1	2	7
37	1	24	0	36	1	3	inf
37	1	32	0	36	1	2	30
37	1	33	0	36	1	3	14
37	1	34	0	36	1	2	30
37	2	6	0	36	1	3	inf
37	2	14	0	36	1	2	30
37	2	15	0	36	1	3	14
37	2	16	0	36	1	2	30
37	2	24	0	36	1	3	inf
37	2	32	0	36	1	2	7
37	2	33	0	36	1	3	23
37	2	34	0	36	1	2	7
41	1	0	0	10	1	3	1
41	1	4	0	10	1	3	1
41	1	5	0	10	1	2	34
41	1	6	0	10	1	3	inf
41	1	7	0	10	1	3	35
41	1	9	0	10	1	2	34
41	2	0	0	10	1	3	40
41	2	4	0	10	1	3	40
41	2	5	0	10	1	2	7
41	2	7	0	10	1	3	6
41	2	9	0	10	1	2	7
43	1	5	0	24	1	2	17
43	1	6	0	24	1	3	inf
43	1	7	0	24	1	3	34
43	1	8	0	24	1	2	5
43	1	9	0	24	1	3	19
43	1	10	0	24	1	2	5
43	1	11	0	24	1	3	34
43	1	12	0	24	1	2	14
43	1	13	0	24	1	2	17
43	2	5	0	24	1	2	26
43	2	6	0	24	1	2	29
43	2	7	0	24	1	3	9
43	2	8	0	24	1	2	38
43	2	9	0	24	1	3	24
43	2	10	0	24	1	2	38
43	2	11	0	24	1	3	9
43	2	12	0	24	1	2	29
43	2	13	0	24	1	2	26
47	1	0	0	5	1	2	1
47	1	1	0	5	1	3	inf
47	1	4	0	5	1	2	1
47	2	0	0	5	1	2	46
47	2	4	0	5	1	2	46
53	1	0	0	64	1	2	1
53	1	2	0	64	1	2	24
53	1	4	0	64	1	2	11
53	1	6	0	64	1	3	inf
53	1	12	0	64	1	3	27
53	1	13	0	64	1	3	inf
53	1	14	0	64	1	3	26
53	1	20	0	64	1	2	43
53	1	22	0	64	1	2	42
53	1	24	0	64	1	2	29
53	1	26	0	64	1	2	52
53	1	29	0	64	1	3	15
53	1	32	0	64	1	2	52
53	1	34	0	64	1	2	29
53	1	36	0	64	1	2	42
53	1	38	0	64	1	2	43
53	1	44	0	64	1	3	26
