torsion_coset	m_residue	m_modulus	n_residue	n_modulus
1	1828	2244	734	1122
1	1960	2244	1064	1122
1	1300	2244	932	1122
1	112	2244	206	1122
1	2224	2244	866	1122
1	508	2244	899	1122
1	1432	2244	272	1122
1	508	2244	338	1122
1	772	2244	800	1122
1	640	2244	338	1122
1	1696	2244	602	1122
1	2092	2244	305	1122
1	1300	2244	470	1122
1	1960	2244	635	1122
1	112	2244	767	1122
1	1696	2244	173	1122
1	2092	2244	866	1122
1	2092	2244	734	1122
1	2092	2244	74	1122
1	1564	2244	272	1122
1	1564	2244	503	1122
1	1300	2244	41	1122
1	904	2244	800	1122
1	2224	2244	536	1122
1	1828	2244	404	1122
1	1036	2244	140	1122
1	376	2244	998	1122
1	376	2244	668	1122
1	772	2244	668	1122
1	508	2244	206	1122
1	1432	2244	140	1122
1	1168	2244	140	1122
1	1168	2244	371	1122
1	1036	2244	701	1122
1	244	2244	866	1122
1	640	2244	8	1122
1	2224	2244	404	1122
1	772	2244	8	1122
1	1564	2244	932	1122
1	1036	2244	470	1122
1	1168	2244	800	1122
1	1828	2244	272	1122
1	112	2244	536	1122
1	1960	2244	404	1122
1	1036	2244	8	1122
1	640	2244	569	1122
1	1168	2244	932	1122
1	904	2244	1031	1122
1	1960	2244	74	1122
1	508	2244	668	1122
1	1432	2244	602	1122
1	112	2244	74	1122
1	772	2244	239	1122
1	1300	2244	602	1122
1	244	2244	206	1122
1	640	2244	998	1122
1	376	2244	536	1122
1	376	2244	107	1122
1	244	2244	998	1122
1	1696	2244	1064	1122
1	1696	2244	734	1122
1	244	2244	437	1122
1	904	2244	338	1122
1	2224	2244	1097	1122
1	1564	2244	1064	1122
1	904	2244	470	1122
1	1828	2244	965	1122
1	1432	2244	833	1122
1	1420	2244	428	1122
1	1552	2244	758	1122
1	892	2244	626	1122
1	1948	2244	1022	1122
1	1816	2244	560	1122
1	100	2244	593	1122
1	1024	2244	1088	1122
1	100	2244	32	1122
1	364	2244	494	1122
1	232	2244	32	1122
1	1288	2244	296	1122
1	1684	2244	1121	1122
1	892	2244	164	1122
1	1552	2244	329	1122
1	1948	2244	461	1122
1	1288	2244	989	1122
1	1684	2244	560	1122
1	1684	2244	428	1122
1	1684	2244	890	1122
1	1156	2244	1088	1122
1	1156	2244	197	1122
1	892	2244	857	1122
1	496	2244	494	1122
1	1816	2244	230	1122
1	1420	2244	98	1122
1	628	2244	956	1122
1	2212	2244	692	1122
1	2212	2244	362	1122
1	364	2244	362	1122
1	100	2244	1022	1122
1	1024	2244	956	1122
1	760	2244	956	1122
1	760	2244	65	1122
1	628	2244	395	1122
1	2080	2244	560	1122
1	232	2244	824	1122
1	1816	2244	98	1122
1	364	2244	824	1122
1	1156	2244	626	1122
1	628	2244	164	1122
1	760	2244	494	1122
1	1420	2244	1088	1122
1	1948	2244	230	1122
1	1552	2244	98	1122
1	628	2244	824	1122
1	232	2244	263	1122
1	760	2244	626	1122
1	496	2244	725	1122
1	1552	2244	890	1122
1	100	2244	362	1122
1	1024	2244	296	1122
1	1948	2244	890	1122
1	364	2244	1055	1122
1	892	2244	296	1122
1	2080	2244	1022	1122
1	232	2244	692	1122
1	2212	2244	230	1122
1	2212	2244	923	1122
1	2080	2244	692	1122
1	1288	2244	758	1122
1	1288	2244	428	1122
1	2080	2244	131	1122
1	496	2244	32	1122
1	1816	2244	791	1122
1	1156	2244	758	1122
1	496	2244	164	1122
1	1420	2244	659	1122
1	1024	2244	527	1122
1	1624	2244	122	1122
1	1756	2244	452	1122
1	1096	2244	320	1122
1	2152	2244	716	1122
1	2020	2244	254	1122
1	304	2244	287	1122
1	1228	2244	782	1122
1	304	2244	848	1122
1	568	2244	188	1122
1	436	2244	848	1122
1	1492	2244	1112	1122
1	1888	2244	815	1122
1	1096	2244	980	1122
1	1756	2244	23	1122
1	2152	2244	155	1122
1	1492	2244	683	1122
1	1888	2244	254	1122
1	1888	2244	122	1122
1	1888	2244	584	1122
1	1360	2244	782	1122
1	1360	2244	1013	1122
1	1096	2244	551	1122
1	700	2244	188	1122
1	2020	2244	1046	1122
1	1624	2244	914	1122
1	832	2244	650	1122
1	172	2244	386	1122
1	172	2244	56	1122
1	568	2244	56	1122
1	304	2244	716	1122
1	1228	2244	650	1122
1	964	2244	650	1122
1	964	2244	881	1122
1	832	2244	89	1122
1	40	2244	254	1122
1	436	2244	518	1122
1	2020	2244	914	1122
1	568	2244	518	1122
1	1360	2244	320	1122
1	832	2244	980	1122
1	964	2244	188	1122
1	1624	2244	782	1122
1	2152	2244	1046	1122
1	1756	2244	914	1122
1	832	2244	518	1122
1	436	2244	1079	1122
1	964	2244	320	1122
1	700	2244	419	1122
1	1756	2244	584	1122
1	304	2244	56	1122
1	1228	2244	1112	1122
1	2152	2244	584	1122
1	568	2244	749	1122
1	1096	2244	1112	1122
1	40	2244	716	1122
1	436	2244	386	1122
1	172	2244	1046	1122
1	172	2244	617	1122
1	40	2244	386	1122
1	1492	2244	452	1122
1	1492	2244	122	1122
1	40	2244	947	1122
1	700	2244	848	1122
1	2020	2244	485	1122
1	1360	2244	452	1122
1	700	2244	980	1122
1	1624	2244	353	1122
1	1228	2244	221	1122
1	2236	2244	326	1122
1	124	2244	656	1122
1	1708	2244	524	1122
1	520	2244	920	1122
1	388	2244	458	1122
1	916	2244	491	1122
1	1840	2244	986	1122
1	916	2244	1052	1122
1	1180	2244	392	1122
1	1048	2244	1052	1122
1	2104	2244	194	1122
1	256	2244	1019	1122
1	1708	2244	62	1122
1	124	2244	227	1122
1	520	2244	359	1122
1	2104	2244	887	1122
1	256	2244	458	1122
1	256	2244	326	1122
1	256	2244	788	1122
1	1972	2244	986	1122
1	1972	2244	95	1122
1	1708	2244	755	1122
1	1312	2244	392	1122
1	388	2244	128	1122
1	2236	2244	1118	1122
1	1444	2244	854	1122
1	784	2244	590	1122
1	784	2244	260	1122
1	1180	2244	260	1122
1	916	2244	920	1122
1	1840	2244	854	1122
1	1576	2244	854	1122
1	1576	2244	1085	1122
1	1444	2244	293	1122
1	652	2244	458	1122
1	1048	2244	722	1122
1	388	2244	1118	1122
1	1180	2244	722	1122
1	1972	2244	524	1122
1	1444	2244	62	1122
1	1576	2244	392	1122
1	2236	2244	986	1122
1	520	2244	128	1122
1	124	2244	1118	1122
1	1444	2244	722	1122
1	1048	2244	161	1122
1	1576	2244	524	1122
1	1312	2244	623	1122
1	124	2244	788	1122
1	916	2244	260	1122
1	1840	2244	194	1122
1	520	2244	788	1122
1	1180	2244	953	1122
1	1708	2244	194	1122
1	652	2244	920	1122
1	1048	2244	590	1122
1	784	2244	128	1122
1	784	2244	821	1122
1	652	2244	590	1122
1	2104	2244	656	1122
1	2104	2244	326	1122
1	652	2244	29	1122
1	1312	2244	1052	1122
1	388	2244	689	1122
1	1972	2244	656	1122
1	1312	2244	62	1122
1	2236	2244	557	1122
1	1840	2244	425	1122
1	1828	2244	938	1122
1	1960	2244	146	1122
1	1300	2244	14	1122
1	112	2244	410	1122
1	2224	2244	1070	1122
1	508	2244	1103	1122
1	1432	2244	476	1122
1	508	2244	542	1122
1	772	2244	1004	1122
1	640	2244	542	1122
1	1696	2244	806	1122
1	2092	2244	509	1122
1	1300	2244	674	1122
1	1960	2244	839	1122
1	112	2244	971	1122
1	1696	2244	377	1122
1	2092	2244	1070	1122
1	2092	2244	938	1122
1	2092	2244	278	1122
1	1564	2244	476	1122
1	1564	2244	707	1122
1	1300	2244	245	1122
1	904	2244	1004	1122
1	2224	2244	740	1122
1	1828	2244	608	1122
1	1036	2244	344	1122
1	376	2244	80	1122
1	376	2244	872	1122
1	772	2244	872	1122
1	508	2244	410	1122
1	1432	2244	344	1122
1	1168	2244	344	1122
1	1168	2244	575	1122
1	1036	2244	905	1122
1	244	2244	1070	1122
1	640	2244	212	1122
1	2224	2244	608	1122
1	772	2244	212	1122
1	1564	2244	14	1122
1	1036	2244	674	1122
1	1168	2244	1004	1122
1	1828	2244	476	1122
1	112	2244	740	1122
1	1960	2244	608	1122
1	1036	2244	212	1122
1	640	2244	773	1122
1	1168	2244	14	1122
1	904	2244	113	1122
1	1960	2244	278	1122
1	508	2244	872	1122
1	1432	2244	806	1122
1	112	2244	278	1122
1	772	2244	443	1122
1	1300	2244	806	1122
1	244	2244	410	1122
1	640	2244	80	1122
1	376	2244	740	1122
1	376	2244	311	1122
1	244	2244	80	1122
1	1696	2244	146	1122
1	1696	2244	938	1122
1	244	2244	641	1122
1	904	2244	542	1122
1	2224	2244	179	1122
1	1564	2244	146	1122
1	904	2244	674	1122
1	1828	2244	47	1122
1	1432	2244	1037	1122
1	2032	2244	632	1122
1	2164	2244	962	1122
1	1504	2244	830	1122
1	316	2244	104	1122
1	184	2244	764	1122
1	712	2244	797	1122
1	1636	2244	170	1122
1	712	2244	236	1122
1	976	2244	698	1122
1	844	2244	236	1122
1	1900	2244	500	1122
1	52	2244	203	1122
1	1504	2244	368	1122
1	2164	2244	533	1122
1	316	2244	665	1122
1	1900	2244	71	1122
1	52	2244	764	1122
1	52	2244	632	1122
1	52	2244	1094	1122
1	1768	2244	170	1122
1	1768	2244	401	1122
1	1504	2244	1061	1122
1	1108	2244	698	1122
1	184	2244	434	1122
1	2032	2244	302	1122
1	1240	2244	38	1122
1	580	2244	896	1122
1	580	2244	566	1122
1	976	2244	566	1122
1	712	2244	104	1122
1	1636	2244	38	1122
1	1372	2244	38	1122
1	1372	2244	269	1122
1	1240	2244	599	1122
1	448	2244	764	1122
1	844	2244	1028	1122
1	184	2244	302	1122
1	976	2244	1028	1122
1	1768	2244	830	1122
1	1240	2244	368	1122
1	1372	2244	698	1122
1	2032	2244	170	1122
1	316	2244	434	1122
1	2164	2244	302	1122
1	1240	2244	1028	1122
1	844	2244	467	1122
1	1372	2244	830	1122
