prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
19	1	0	0	12	3	3	inf
19	1	3	1	12	3	3	inf
19	1	4	2	12	3	3	inf
19	1	7	0	12	3	3	inf
19	1	8	1	12	3	3	inf
19	1	11	2	12	3	3	inf
19	2	1	0	12	3	3	inf
19	2	2	1	12	3	3	inf
19	2	5	2	12	3	3	inf
19	2	6	0	12	3	3	inf
19	2	9	1	12	3	3	inf
19	2	10	2	12	3	3	inf
37	1	0	0	11	11	3	inf
37	1	0	6	11	11	3	0
37	1	1	4	11	11	3	inf
37	1	1	10	11	11	3	0
37	1	2	3	11	11	3	0
37	1	2	8	11	11	3	inf
37	1	3	1	11	11	3	inf
37	1	3	7	11	11	3	0
37	1	4	0	11	11	3	0
37	1	4	5	11	11	3	inf
37	1	5	4	11	11	3	0
37	1	5	9	11	11	3	inf
37	1	6	2	11	11	3	inf
37	1	6	8	11	11	3	0
37	1	7	1	11	11	3	0
37	1	7	6	11	11	3	inf
37	1	8	5	11	11	3	0
37	1	8	10	11	11	3	inf
37	1	9	3	11	11	3	inf
37	1	9	9	11	11	3	0
37	1	10	2	11	11	3	0
37	1	10	7	11	11	3	inf
37	2	0	6	11	11	3	0
37	2	0	10	11	11	3	inf
37	2	1	3	11	11	3	inf
37	2	1	10	11	11	3	0
37	2	2	3	11	11	3	0
37	2	2	7	11	11	3	inf
37	2	3	0	11	11	3	inf
37	2	3	7	11	11	3	0
37	2	4	0	11	11	3	0
37	2	4	4	11	11	3	inf
37	2	5	4	11	11	3	0
37	2	5	8	11	11	3	inf
37	2	6	1	11	11	3	inf
37	2	6	8	11	11	3	0
37	2	7	1	11	11	3	0
37	2	7	5	11	11	3	inf
37	2	8	5	11	11	3	0
37	2	8	9	11	11	3	inf
37	2	9	2	11	11	3	inf
37	2	9	9	11	11	3	0
37	2	10	2	11	11	3	0
37	2	10	6	11	11	3	inf
61	1	0	0	17	34	3	inf
61	1	0	10	17	34	3	48
61	1	0	14	17	34	3	inf
61	1	0	27	17	34	3	13
61	1	1	6	17	34	3	inf
61	1	1	16	17	34	3	48
61	1	1	20	17	34	3	inf
61	1	1	33	17	34	3	13
61	1	2	5	17	34	3	13
61	1	2	12	17	34	3	inf
61	1	2	22	17	34	3	48
61	1	2	26	17	34	3	inf
61	1	3	11	17	34	3	13
61	1	3	18	17	34	3	inf
61	1	3	28	17	34	3	48
61	1	3	32	17	34	3	inf
61	1	4	0	17	34	3	48
61	1	4	4	17	34	3	inf
61	1	4	17	17	34	3	13
61	1	4	24	17	34	3	inf
61	1	5	6	17	34	3	48
61	1	5	10	17	34	3	inf
61	1	5	23	17	34	3	13
61	1	5	30	17	34	3	inf
61	1	6	2	17	34	3	inf
61	1	6	12	17	34	3	48
61	1	6	16	17	34	3	inf
61	1	6	29	17	34	3	13
61	1	7	1	17	34	3	13
61	1	7	8	17	34	3	inf
61	1	7	18	17	34	3	48
61	1	7	22	17	34	3	inf
61	1	8	7	17	34	3	13
61	1	8	14	17	34	3	inf
61	1	8	24	17	34	3	48
61	1	8	28	17	34	3	inf
61	1	9	0	17	34	3	inf
61	1	9	13	17	34	3	13
61	1	9	20	17	34	3	inf
61	1	9	30	17	34	3	48
61	1	10	2	17	34	3	48
61	1	10	6	17	34	3	inf
61	1	10	19	17	34	3	13
61	1	10	26	17	34	3	inf
61	1	11	8	17	34	3	48
61	1	11	12	17	34	3	inf
61	1	11	25	17	34	3	13
61	1	11	32	17	34	3	inf
61	1	12	4	17	34	3	inf
61	1	12	14	17	34	3	48
61	1	12	18	17	34	3	inf
61	1	12	31	17	34	3	13
61	1	13	3	17	34	3	13
61	1	13	10	17	34	3	inf
61	1	13	20	17	34	3	48
61	1	13	24	17	34	3	inf
61	1	14	9	17	34	3	13
61	1	14	16	17	34	3	inf
61	1	14	26	17	34	3	48
61	1	14	30	17	34	3	inf
61	1	15	2	17	34	3	inf
61	1	15	15	17	34	3	13
61	1	15	22	17	34	3	inf
61	1	15	32	17	34	3	48
61	1	16	4	17	34	3	48
61	1	16	8	17	34	3	inf
61	1	16	21	17	34	3	13
61	1	16	28	17	34	3	inf
61	2	0	10	17	34	3	13
61	2	0	17	17	34	3	inf
61	2	0	27	17	34	3	48
61	2	0	31	17	34	3	inf
61	2	1	3	17	34	3	inf
61	2	1	16	17	34	3	13
61	2	1	23	17	34	3	inf
61	2	1	33	17	34	3	48
61	2	2	5	17	34	3	48
61	2	2	9	17	34	3	inf
61	2	2	22	17	34	3	13
61	2	2	29	17	34	3	inf
61	2	3	1	17	34	3	inf
61	2	3	11	17	34	3	48
61	2	3	15	17	34	3	inf
61	2	3	28	17	34	3	13
61	2	4	0	17	34	3	13
61	2	4	7	17	34	3	inf
61	2	4	17	17	34	3	48
61	2	4	21	17	34	3	inf
61	2	5	6	17	34	3	13
61	2	5	13	17	34	3	inf
61	2	5	23	17	34	3	48
61	2	5	27	17	34	3	inf
61	2	6	12	17	34	3	13
61	2	6	19	17	34	3	inf
61	2	6	29	17	34	3	48
61	2	6	33	17	34	3	inf
61	2	7	1	17	34	3	48
61	2	7	5	17	34	3	inf
61	2	7	18	17	34	3	13
61	2	7	25	17	34	3	inf
61	2	8	7	17	34	3	48
61	2	8	11	17	34	3	inf
61	2	8	24	17	34	3	13
61	2	8	31	17	34	3	inf
61	2	9	3	17	34	3	inf
61	2	9	13	17	34	3	48
61	2	9	17	17	34	3	inf
61	2	9	30	17	34	3	13
61	2	10	2	17	34	3	13
61	2	10	9	17	34	3	inf
61	2	10	19	17	34	3	48
61	2	10	23	17	34	3	inf
61	2	11	8	17	34	3	13
61	2	11	15	17	34	3	inf
61	2	11	25	17	34	3	48
61	2	11	29	17	34	3	inf
61	2	12	1	17	34	3	inf
61	2	12	14	17	34	3	13
61	2	12	21	17	34	3	inf
61	2	12	31	17	34	3	48
61	2	13	3	17	34	3	48
61	2	13	7	17	34	3	inf
61	2	13	20	17	34	3	13
61	2	13	27	17	34	3	inf
61	2	14	9	17	34	3	48
61	2	14	13	17	34	3	inf
61	2	14	26	17	34	3	13
61	2	14	33	17	34	3	inf
61	2	15	5	17	34	3	inf
61	2	15	15	17	34	3	48
61	2	15	19	17	34	3	inf
61	2	15	32	17	34	3	13
61	2	16	4	17	34	3	13
61	2	16	11	17	34	3	inf
61	2	16	21	17	34	3	48
61	2	16	25	17	34	3	inf
