p	cover_residues	singular_cover	J3_cover	infinity_full	complete_kill
11	[ 1, 5, 6, 10 ]	[ 1, 10 ]	[]	0	0
17	[ 1, 5, 8, 9, 12, 16 ]	[ 1, 5, 8, 9, 12, 16 ]	[]	0	0
23	[ 1, 4, 7, 16, 19, 22 ]	[]	[ 4, 19 ]	0	0
29	[ 1, 8, 12, 17, 21, 28 ]	[]	[ 8, 21 ]	0	0
31	[ 1, 2, 10, 21, 29, 30 ]	[ 1, 10, 21, 30 ]	[]	1	0
37	[ 1, 14, 17, 20, 23, 36 ]	[]	[ 1, 36 ]	0	0
41	[ 1, 4, 9, 32, 37, 40 ]	[ 4, 37 ]	[ 1, 9, 32, 40 ]	0	0
43	[ 0, 1, 10, 20, 23, 33, 42 ]	[ 0, 10, 33 ]	[ 20, 23 ]	0	0
47	[ 0, 1, 4, 12, 35, 43, 46 ]	[ 0, 1, 46 ]	[ 4, 12, 35, 43 ]	0	0
53	[ 0, 1, 8, 45, 52 ]	[ 0 ]	[]	0	0
59	[ 1, 19, 20, 39, 40, 58 ]	[]	[ 19, 20, 39, 40 ]	0	0
61	[ 1, 7, 10, 27, 34, 51, 54, 60 ]	[ 1, 60 ]	[ 27, 34 ]	0	0
67	[ 1, 5, 17, 18, 23, 27, 40, 44, 49, 50, 62, 66 ]	[ 23, 27, 40, 44 ]	[]	0	0
71	[ 1, 4, 9, 20, 33, 34, 37, 38, 51, 62, 67, 70 ]	[]	[]	0	1
73	[ 0, 1, 13, 15, 32, 41, 58, 60, 72 ]	[ 0 ]	[]	0	0
79	[ 1, 3, 9, 14, 17, 25, 54, 62, 65, 70, 76, 78 ]	[]	[ 17, 62 ]	0	0
83	[ 1, 4, 6, 21, 22, 33, 41, 42, 50, 61, 62, 77, 79, 82 ]	[]	[ 4, 21, 22, 41, 42, 61, 62, 79 ]	0	0
89	[ 1, 6, 8, 9, 19, 20, 25, 64, 69, 70, 80, 81, 83, 88 ]	[]	[ 1, 19, 20, 69, 70, 88 ]	0	0
97	[ 0, 1, 2, 8, 14, 23, 27, 31, 44, 53, 66, 70, 74, 83, 89, 95, 96 ]	[ 0 ]	[ 2, 31, 44, 53, 66, 95 ]	0	0
101	[ 1, 3, 10, 11, 14, 20, 44, 50, 51, 57, 81, 87, 90, 91, 98, 100 ]	[]	[ 3, 11, 90, 98 ]	0	0
103	[ 1, 6, 15, 24, 31, 43, 48, 55, 60, 72, 79, 88, 97, 102 ]	[]	[ 1, 6, 24, 48, 55, 79, 97, 102 ]	0	0
107	[ 1, 6, 20, 22, 29, 31, 34, 35, 50, 57, 72, 73, 76, 78, 85, 87, 101, 106 ]	[ 22, 85 ]	[ 1, 6, 20, 29, 35, 72, 78, 87, 101, 106 ]	1	0
109	[ 1, 14, 24, 30, 31, 35, 49, 52, 57, 60, 74, 78, 79, 85, 95, 108 ]	[ 31, 78 ]	[ 1, 14, 24, 30, 79, 85, 95, 108 ]	0	0
113	[ 1, 5, 28, 29, 30, 33, 37, 42, 45, 53, 60, 68, 71, 76, 80, 83, 84, 85, 108, 112 ]	[ 30, 45, 68, 83 ]	[ 5, 28, 29, 37, 76, 84, 85, 108 ]	0	0
127	[ 1, 8, 13, 17, 30, 46, 47, 59, 68, 80, 81, 97, 110, 114, 119, 126 ]	[]	[ 1, 13, 114, 126 ]	0	0
131	[ 1, 17, 20, 22, 36, 41, 59, 72, 90, 95, 109, 111, 114, 130 ]	[ 36, 95 ]	[ 20, 41, 59, 72, 90, 111 ]	1	0
137	[ 1, 17, 20, 22, 27, 31, 33, 47, 64, 65, 72, 73, 90, 104, 106, 110, 115, 117, 120, 136 ]	[ 17, 27, 110, 120 ]	[ 22, 64, 73, 115 ]	0	0
139	[ 1, 7, 13, 15, 31, 41, 45, 47, 53, 63, 76, 86, 92, 94, 98, 108, 124, 126, 132, 138 ]	[]	[ 1, 7, 15, 124, 132, 138 ]	0	0
149	[ 0, 1, 4, 11, 13, 30, 31, 41, 43, 46, 55, 68, 81, 94, 103, 106, 108, 118, 119, 136, 138, 145, 148 ]	[ 0 ]	[ 11, 68, 81, 138 ]	1	0
151	[ 1, 2, 6, 10, 15, 33, 56, 69, 72, 79, 82, 95, 118, 136, 141, 145, 149, 150 ]	[ 6, 145 ]	[ 1, 10, 33, 56, 95, 118, 141, 150 ]	1	0
157	[ 1, 10, 11, 40, 46, 64, 67, 74, 83, 90, 93, 111, 117, 146, 147, 156 ]	[ 67, 90 ]	[ 11, 40, 46, 111, 117, 146 ]	0	0
163	[ 1, 12, 22, 27, 36, 38, 39, 46, 53, 69, 71, 92, 94, 110, 117, 124, 125, 127, 136, 141, 151, 162 ]	[]	[ 1, 22, 39, 69, 71, 92, 94, 124, 141, 162 ]	0	0
