chart	T_residue	cover_radicands	signed_branches	branch_squares	smooth	J_order	J_order_mod3	affine_contact_count
finite	1	[ 29, 49, 37, 48 ]	[ 14, 4, 37, 35 ]	[ 54, 16, 20, 18 ]	1	5632	1	0
finite	4	[ 38, 6, 49, 43 ]	[ 14, 4, 37, 63 ]	[ 54, 16, 20, 64 ]	1	4096	1	0
finite	9	[ 6, 9, 30, 45 ]	[ 14, 4, 37, 66 ]	[ 54, 16, 20, 25 ]	1	5312	2	0
finite	20	[ 27, 27, 58, 57 ]	[ 14, 4, 37, 13 ]	[ 54, 16, 20, 27 ]	1	4480	1	0
finite	33	[ 57, 2, 27, 64 ]	[ 14, 4, 37, 59 ]	[ 54, 16, 20, 2 ]	1	4096	1	0
finite	34	[ 12, 4, 38, 18 ]	[ 14, 4, 37, 61 ]	[ 54, 16, 20, 29 ]	1	3584	2	0
finite	37	[ 12, 4, 38, 18 ]	[ 14, 4, 37, 61 ]	[ 54, 16, 20, 29 ]	1	3584	2	0
finite	38	[ 57, 2, 27, 64 ]	[ 14, 4, 37, 59 ]	[ 54, 16, 20, 2 ]	1	4096	1	0
finite	51	[ 27, 27, 58, 57 ]	[ 14, 4, 37, 13 ]	[ 54, 16, 20, 27 ]	1	4480	1	0
finite	62	[ 6, 9, 30, 45 ]	[ 14, 4, 37, 66 ]	[ 54, 16, 20, 25 ]	1	5312	2	0
finite	67	[ 38, 6, 49, 43 ]	[ 14, 4, 37, 63 ]	[ 54, 16, 20, 64 ]	1	4096	1	0
finite	70	[ 29, 49, 37, 48 ]	[ 14, 4, 37, 35 ]	[ 54, 16, 20, 18 ]	1	5632	1	0
infinity	-1	[ 29, 35, 15, 47 ]	[]	[]	-1	-1	-1	-1
